listing_id,url,district,price,area_sqm,price_per_sqm,raghdan_avg_price_per_sqm,raghdan_range_low,raghdan_range_high,raghdan_transactions,raghdan_yoy_growth_pct,price_assessment,price_vs_avg_pct,مصدر_المقارنة,raghdan_url,target_purchase_price,actual_annual_rent,current_yield_pct,rent_sustainability,rent_sustainability_reason,stress_test_rent_low,stress_test_yield_low,lease_term_note,key_risk,final_verdict,verdict_summary
6609036,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-القماري-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6609036,حي المونسية,1050000.0,119.0,8824,5532.0,,,,,أعلى من متوسط الحي بـ+59.5% -- النطاق الكامل غير متوفر، تحفّظ بالحكم,59.5,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%A7%D9%84%D9%85%D9%88%D9%86%D8%B3%D9%8A%D8%A9/,658308,160000.0,15.24,غير مؤكد,لا توجد بيانات مرجعية من سكني للمقارنة؛ الإيجار الحالي 160 ألف سنويًا (80 ألف دفعتين) لشقة مؤثثة بدور أرضي، لكن عدم توفر النطاق الرسمي يجعل التقييم غير حاسم,120000,18.21,عقد منتهي الصلاحية نهاية مارس 2027 (حوالي سنتين تقريبًا)؛ ما بعده يعتمد على إعادة التأجير بنفس المعدل أو أقل,السعر المعروض أعلى من المتوسط بـ 59.5% بدون نطاق كامل للتحقق، والعقد ينتهي قريبًا مما قد يترتب عليه فترة شغور أو إعادة تأجير برسوم أقل,🟡 Review,الشقة تحمل عائد إيجار قويًا (15.24% حاليًا) مع مستأجر نشط حتى مارس 2027، لكن السعر المعروض (1.05 مليون) مرتفع جدًا مقارنة بالحي (+59.5%) وبدون مرجعية سوقية واضحة للتحقق. السيناريو المحافظ بعد انتهاء العقد قد يخفض العائد لـ 18% إذا انخفض الإيجار، مما يستحق مراجعة السعر نحو الحد المقترح (658 ألف) أو توضيح الأساس السعري للحي.
6686807,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الفحيحيل-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6686807,حي ظهرة لبن,480000.0,109.0,4404,3226.0,,,,,أعلى من متوسط الحي بـ+36.5% -- النطاق الكامل غير متوفر، تحفّظ بالحكم,36.5,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B8%D9%87%D8%B1%D8%A9%20%D9%84%D8%A8%D9%86/,351634,72000.0,15.0,غير مؤكد,"لا توجد بيانات مرجعية من سكني للمقارنة، والإيجار المذكور (72,000 سنويًا) لا يمكن التحقق من واقعيته في السوق",54000,11.2,"العقد الحالي بـ 36,000 ريال كل 6 أشهر، لكن مدة العقد المتبقية غير محددة في البيانات",السعر المطلوب أعلى من متوسط الحي بـ 36.5% مع غياب تام لبيانات مرجعية توثق الإيجار الفعلي في السوق,🟡 Review,"الشقة تقدم عائدًا اسميًا قويًا (15% على السعر الحالي، 20.5% على السعر المستهدف)، لكن السعر المطلوب يتجاوز متوسط الحي بهامش كبير دون توثيق واضح للإيجار المرجعي. قبل المتابعة: تحقق من واقعية الإيجار المذكور (72,000 سنويًا) مع مكاتب محايدة، وتأكد من مدة العقد المتبقية وضمانات التجديد."
6497911,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-بشير-البصري-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6497911,حي النرجس,1100000.0,113.0,9735,8478.0,,,,,قريب من متوسط الحي (+14.8%) -- النطاق الكامل غير متوفر,14.8,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%A7%D9%84%D9%86%D8%B1%D8%AC%D8%B3/,1100055,130000.0,11.82,مرتفع مؤقتًا,"الإيجار الحالي 130,000 ريال سنويًا يزيد بنسبة 184% عن المرجع الرسمي (45,700 ريال)، مما يشير إلى عائد غير مستدام على المدى الطويل.",45700,4.16,عقد قائم بدفعتين، الدفعة الثانية مستحقة أبريل 2026 — مدة متبقية قصيرة جداً (حوالي 16 شهر فقط).,عقد الإيجار الحالي ينتهي خلال أقل من سنتين، وإعادة التأجير بنفس السعر غير محتملة حسب معايير السوق الرسمية.,🟡 Review,"الشقة بسعر 1.1 مليون في حي معقول توفر عائد قصير الأجل جذاب (11.82%)، لكن هذا العائد مدعوم بعقد إيجار استثنائي ينتهي أبريل 2026. عند تجديد العقد بالأسعار السوقية الحقيقية (45,700 ريال)، ينخفض العائد إلى 4.16% فقط. الصفقة تستحق مراجعة عميقة لقدرتك على إدارة الفجوة بين الإيجار الحالي والسوقي، وتوقعات المستأجر الحالي عند التجديد."
6541128,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-بشير-البصري-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6541128,حي النرجس,1100000.0,113.0,9735,8478.0,,,,,قريب من متوسط الحي (+14.8%) -- النطاق الكامل غير متوفر,14.8,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%A7%D9%84%D9%86%D8%B1%D8%AC%D8%B3/,1100055,130000.0,11.82,مرتفع مؤقتًا,"الإيجار الحالي 65,000 ريال يزيد بنسبة 42% عن المرجع الرسمي (45,700 ريال)، مما يشير إلى أسعار مرتفعة مؤقتًا قد لا تستدام عند التجديد",45700,4.16,العقد الحالي متبقي حتى أبريل 2026 (حوالي 16 شهرًا)، مع عدم وضوح شروط التجديد,انخفاض حاد في العائد المتوقع عند تجديد العقد من 11.82% إلى ~4.2% إذا انخفض الإيجار للمعدل المرجعي,🟡 Review,الصفقة بسعر معقول نسبيًا (+14.8% من متوسط الحي)، لكن العائد الحالي 11.82% مضخّم بسبب إيجار مرتفع بـ42% عن السعر المرجعي. المخاطرة الأساسية في عدم استدامة هذا الإيجار بعد أبريل 2026، حيث قد ينخفض العائد الفعلي إلى أقل من 4.2%. يستحق المراجعة مع المستأجر الحالي وضمانات التجديد قبل الشراء.
6751389,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-وادي-الشاطئ-حي-القادسية-الرياض-منطقة-الرياض-6751389,حي القادسية,950000.0,165.0,5758,5292.0,,,,,قريب من متوسط الحي (+8.8%) -- النطاق الكامل غير متوفر,8.8,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%A7%D9%84%D9%82%D8%A7%D8%AF%D8%B3%D9%8A%D8%A9/,950070,110000.0,11.58,غير مؤكد,لا توجد بيانات مرجعية من سكني للمقارنة، والإيجار الحالي 55 ألف قد يكون أقل من السوق الحالي لشقة أرضية بهذه المواصفات في القادسية,45000,4.74,العقد ينتهي خلال 6 أشهر فقط، يتطلب إعادة تفاوض فوري أو مخاطرة بفترة شاغرة,انتهاء العقد الحالي خلال 6 أشهر مع غياب بيانات سكني المرجعية يجعل من الصعب التنبؤ بالإيجار المستدام الفعلي بعد التجديد,🟡 Review,شقة أرضية بمساحة جيدة وموقع حي القادسية بسعر قريب من المتوسط (9% أعلى)، والعائد الحالي 11.58% جاذب لكنه مرتبط بعقد ينتهي خلال ستة أشهر فقط. غياب البيانات المرجعية من سكني يعني عدم القدرة على التأكد من استدامة هذا الإيجار، والمخاطرة الحقيقية تكمن في التفاوض على عقد جديد. يستحق الفرصة مراجعة معمقة مع اختبار احتمالية تجديد بإيجار أقل.
6739458,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-وادي-نعام-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6739458,حي الملقا,1400000.0,174.0,8046,9000.0,,,,,قريب من متوسط الحي (-10.6%) -- النطاق الكامل غير متوفر,-10.6,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%A7%D9%84%D9%85%D9%84%D9%82%D8%A7/,1400004,150000.0,10.71,مرتفع مؤقتًا,الإيجار الحالي (150 ألف سنويًا) يزيد بمقدار 173% عن المرجع الرسمي من سكني (54.8 ألف)، مما يشير إلى تسعير مؤقت غير قابل للاستدامة على المدى الطويل,54800,3.91,مدة العقد الحالي غير محددة في الإعلان؛ يتعين التحقق من تاريخ انتهاء العقد وإمكانية التجديد,فجوة إيجارية كبيرة جدًا بين السعر الحالي والمرجع الرسمي قد تنذر بانخفاض حاد في العائد عند تجديد العقد,🟡 Review,السعر قريب من متوسط الحي وعائد ظاهري جذاب (10.71%)، لكن الإيجار الحالي (150 ألف) مرتفع بشكل غير طبيعي مقارنة بالمرجع الرسمي (54.8 ألف)، ما يحوله إلى عائد مؤقت غير مستدام. يجب التحقق من مدة العقد المتبقية وسيناريو التجديد؛ إذا انخفض الإيجار للمستوى المرجعي، سينخفض العائد إلى 3.91% فقط، وهو غير جاذب اقتصاديًا.
6766168,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/حي-الملقا-الرياض-منطقة-الرياض-6766168,حي الملقا,1700000.0,138.0,12319,9000.0,,,,,أعلى من متوسط الحي بـ+36.9% -- النطاق الكامل غير متوفر، تحفّظ بالحكم,36.9,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%A7%D9%84%D9%85%D9%84%D9%82%D8%A7/,1242000,174000.0,10.24,مرتفع مؤقتًا,"الإيجار الحالي 174,000 ريال سنويًا يزيد بـ 218% عن المرجع الرسمي (54,800 ريال)، مما يشير إلى تسعير مؤقت غير قابل للاستدامة طويلة الأمد عند تجديد العقد.",54800,4.41,عقد حديث جدًا (4 أيام فقط) مع رغبة المستأجر في التجديد، لكن عدم وضوح مدة العقد الأصلية يشكل غموضًا حول التزام الإيجار المستقبلي.,فجوة إيجارية حادة بـ 218% فوق السعر المرجعي تشير إلى احتمالية هبوط حاد عند التجديد، وبالتالي تراجع العائد من 10.24% إلى ~4.4% في السيناريو المحافظ.,🟡 Review,الصفقة تقدم عائدًا جاذبًا بـ 10.24% في السنة الأولى على سعر مطلوب 1.7 مليون (أعلى من المتوسط بـ 37%)، والوحدة جديدة مع طلب تجديد إيجار إيجابي. لكن الإيجار الحالي يفوق مؤشرات السوق الرسمية بـ 218%، مما يهدد استدامة العائد بعد تجديد العقد. التقييم السعري يحتاج تحقق إضافي قبل التنفيذ، والاستثمار مناسب فقط للباحثين عن دخل قصير الأمد مع قبول خطر تصحيح إيجاري.
6596605,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-عبادة-بن-الصامت-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6596605,حي الروضة,1150000.0,148.0,7770,7199.0,,,,,قريب من متوسط الحي (+7.9%) -- النطاق الكامل غير متوفر,7.9,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%A7%D9%84%D8%B1%D9%88%D8%B6%D8%A9/,1149960,108000.0,9.39,غير مؤكد,لا توجد بيانات مرجعية من سكني للمقارنة — العائد 9.39% مرتفع نسبيًا ويحتاج تحقق ميداني من استدامة الإيجار في الحي,7200,6.26,عقد شهري فقط بدون ضمانات استمرارية طويلة الأمد — قابل للإنهاء بسهولة,العقد شهري وغير محمي من مخاطر عدم التجديد أو انخفاض الإيجار عند إعادة التفاوض,🟡 Review,"الشقة بسعر قريب من متوسط الحي (+7.9%) وتعرض عائدًا جذابًا 9.39% على ورقة، لكن الإيجار الحالي محمي فقط بعقد شهري موثّق دون ضمانات استمرارية. غياب البيانات المرجعية من سكني يجعل من الصعب التحقق من استدامة السعر الإيجاري. قبل المتابعة، يلزم تأكيد عمليّ أن الإيجار 9,000 ريال قابل للتجديد والاستمرار، وتقييم مستقل من متخصص عقاري محلي."
6644897,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-إبراهيم-بن-شداد-حي-طويق-مدينة-الرياض-منطقة-الرياض-6644897,حي طويق,575000.0,123.0,4675,2320.0,,,,,أعلى من متوسط الحي بـ+101.5% -- النطاق الكامل غير متوفر، تحفّظ بالحكم,101.5,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B7%D9%88%D9%8A%D9%82/,285360,60000.0,10.43,غير مؤكد,"لا توجد بيانات مرجعية من سكني للمقارنة، والإيجار 30,000 ريال/سنة لشقة 118-121 م² يحتاج تحقق ميداني لتقييم معقوليته في طويق",20000,7.01,العقود تنتهي خلال 5 أشهر فقط، مما يخلق فراغ إيجاري حتمي قريب جداً ويتطلب إعادة تأجير فورية,"انتهاء العقود بعد 5 أشهر يعرّض الاستثمار لفترة شغور وعدم استقرار إيجاري، خاصة إذا كان السعر الحالي (30,000) مرتفعاً عن السوق الفعلي",🔴 Reject,"الصفقة تُعرض بـ 575,000 ريال (أعلى من الحي بـ 101.5% - مع تحفّظ على البيانات)، تحقق عائد حالي 10.43% لكن هذا مصطنع جداً لأن الإيجار المذكور (30,000 سنة) منخفض جداً ولم يثبت مقابل مرجعي. الخطر الأساسي: العقود تنتهي بـ 5 أشهر فقط، مما يجبرك على إعادة تأجير فورية في سوق قد لا يدعم الأسعار الحالية. التوصية: رفض الصفقة بهذا السعر وهذه الشروط العقدية؛ السعر مرتفع جداً والعائد الحالي وهم."
6801310,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-الذهبي-حي-طويق-مدينة-الرياض-منطقة-الرياض-6801310,حي طويق,515000.0,133.0,3872,2320.0,,,,,أعلى من متوسط الحي بـ+66.9% -- النطاق الكامل غير متوفر، تحفّظ بالحكم,66.9,رغدان (raghdan.sa) -- مبني على بيانات وزارة العدل,https://raghdan.sa/en/market/%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%B6/%D8%B7%D9%88%D9%8A%D9%82/,308560,50000.0,9.71,غير مؤكد,لا توجد بيانات مرجعية من سكني لحي طويق بهذه المواصفات (4 غرف)، لا يمكن التحقق من مدى واقعية الإيجار الحالي 25 ألف دفعتين,30000,5.83,عقد إيجار نشط حتى 1-9-2026 (حوالي 9 أشهر متبقية)، ثم توقف كامل للدخل ما لم يتم تجديد,السعر مرتفع جداً (+66.9% فوق المتوسط) مع غياب بيانات مرجعية توثّق هذا السعر، وعدم وضوح قابلية الإيجار للتجديد بنفس المستوى بعد انتهاء العقد الحالي,🔴 Reject,الشقة موجرة بعائد 9.71% لكن الإيجار غير قابل للتحقق مقابل السعق المرجعي (بيانات سكني غير متوفرة)، والسعر نفسه مرتفع جداً (+66.9%) بدون دعم رقمي واضح. العقد الحالي ينتهي خلال 9 أشهر فقط، مما يضع الاستثمار في وضع انتقالي غير مؤكد. التوصية: تجنب الصفقة بهذا السعر إلا بعد توثيق الإيجار المرجعي وتحديد خطة إعادة التأجير.
