المنطقة,الحي,العدد_الرسمي_بالموقع,عندنا,الفرق
شرق الرياض,حي الرمال,628,509,-119
شمال الرياض,حي النرجس,625,541,-84
شمال الرياض,حي السليمانية,74,17,-57
شمال الرياض,حي الربيع,41,17,-24
شمال الرياض,حي التعاون,66,45,-21
شرق الرياض,حي الجنادرية,324,305,-19
شمال الرياض,حي القيروان,120,102,-18
شمال الرياض,حي المصيف,43,25,-18
شمال الرياض,حي الوادي,33,16,-17
غرب الرياض,حي طويق,407,390,-17
غرب الرياض,حي شبرا,25,10,-15
شمال الرياض,حي العارض,439,426,-13
وسط الرياض,حي الربوة,17,4,-13
غرب الرياض,حي ظهرة لبن,433,420,-13
شمال الرياض,حي الصحافة,156,144,-12
غرب الرياض,حي المهدية,1653,1641,-12
شرق الرياض,حي اشبيلية,257,250,-7
شمال الرياض,حي النخيل,28,21,-7
شمال الرياض,حي حطين,91,85,-6
شرق الرياض,حي المونسية,387,381,-6
غرب الرياض,حي الحزم,203,198,-5
شرق الرياض,حي اليرموك,447,443,-4
شرق الرياض,حي قرطبة,207,204,-3
شرق الرياض,حي الريان,22,19,-3
شمال الرياض,حي الملقا,392,389,-3
جنوب الرياض,حي عكاظ,173,170,-3
شمال الرياض,حي العليا,57,55,-2
شرق الرياض,حي السعادة,100,98,-2
شرق الرياض,حي الصفا,24,22,-2
شرق الرياض,حي الفيحاء,38,36,-2
شرق الرياض,حي الروابي,44,43,-1
شرق الرياض,حي القادسية,80,79,-1
غرب الرياض,حي ديراب,63,62,-1
غرب الرياض,حي ضاحية نمار,74,73,-1
جنوب الرياض,حي بدر,298,297,-1
غرب الرياض,حي ام الحمام الغربي,7,6,-1
غرب الرياض,حي ظهرة نمار,108,107,-1
غرب الرياض,حي العريجاء الغربية,45,44,-1
غرب الرياض,حي السويدي,58,57,-1
غرب الرياض,حي عرقة,38,37,-1
شمال الرياض,حي الياسمين,219,218,-1
شرق الرياض,حي النهضة,111,110,-1
شرق الرياض,حي القدس,56,55,-1
شرق الرياض,حي الروضة,25,24,-1
شمال الرياض,حي بنبان,2,2,0
شمال الرياض,حي الملك فهد,24,24,0
شمال الرياض,حي النزهة,32,32,0
شرق الرياض,حي النظيم,126,126,0
شرق الرياض,حي الملك فيصل,25,25,0
شمال الرياض,حي الورود,2,2,0
شمال الرياض,حي الملك عبدالله,2,2,0
شمال الرياض,حي المرسلات,2,2,0
شمال الرياض,حي المعذر الشمالي,3,3,0
شمال الرياض,حي سدرة,5,5,0
شمال الرياض,حي الواحة,5,5,0
شمال الرياض,حي المحمدية,6,6,0
شمال الرياض,حي الفلاح,7,7,0
شمال الرياض,حي النفل,11,11,0
شمال الرياض,حي الغدير,13,13,0
شمال الرياض,حي الرحمانية,14,14,0
شمال الرياض,حي المغرزات,15,15,0
شمال الرياض,حي المروج,32,32,0
شمال الرياض,حي الندى,46,46,0
شمال الرياض,حي العقيق,51,51,0
جنوب الرياض,حي طيبة,84,84,0
شرق الرياض,حي الملك عبدالعزيز,2,2,0
شرق الرياض,حي السلام,14,14,0
شرق الرياض,حي الملز,3,3,0
شرق الرياض,حي النسيم الغربي,19,19,0
شرق الرياض,حي المنار,23,23,0
شرق الرياض,حي الاندلس,23,23,0
شرق الرياض,حي الشهداء,15,15,0
شرق الرياض,حي الخليج,49,49,0
شرق الرياض,حي الحمراء,26,26,0
شرق الرياض,حي الازدهار,37,37,0
شمال الرياض,حي صلاح الدين,1,1,0
شرق الرياض,حي النسيم الشرقي,62,62,0
شرق الرياض,حي المعيزلة,67,67,0
شرق الرياض,حي غرناطة,54,54,0
غرب الرياض,حي الزهرة,87,87,0
غرب الرياض,حي لبن,18,18,0
غرب الرياض,حي ظهرة البديعة,29,29,0
غرب الرياض,حي السويدي الغربي,32,32,0
غرب الرياض,حي الدريهمية,12,12,0
غرب الرياض,حي الرائد,6,6,0
غرب الرياض,حي الخزامى,3,3,0
غرب الرياض,حي العريجاء الوسطى,8,8,0
غرب الرياض,حي نمار,8,8,0
غرب الرياض,حي عليشة,2,2,0
غرب الرياض,حي الرفيعة,3,3,0
غرب الرياض,حي الشرفية,1,1,0
غرب الرياض,حي البديعة,1,1,0
غرب الرياض,حي سلطانة,1,1,0
جنوب الرياض,حي الدار البيضاء,108,108,0
جنوب الرياض,حي المروة,107,107,0
شرق الرياض,حي الرماية,1,1,0
وسط الرياض,حي الفاروق,11,11,0
جنوب الرياض,حي الشفا,32,32,0
جنوب الرياض,حي البرية,11,11,0
جنوب الرياض,حي العزيزية,20,20,0
جنوب الرياض,حي أحد,10,10,0
جنوب الرياض,حي الاسكان,2,2,0
جنوب الرياض,حي خشم العان,1,1,0
جنوب الرياض,حي عريض,1,1,0
وسط الرياض,حي الضباط,2,2,0
وسط الرياض,حي المربع,10,10,0
وسط الرياض,حي اليمامة,5,5,0
وسط الرياض,حي جرير,3,3,0
وسط الرياض,حي ثليم,2,2,0
وسط الرياض,حي المنصورة,2,2,0
وسط الرياض,حي الوزارات,1,1,0
شرق الرياض,حي الشرق,229,230,1
