district_id,name,name_en
588,حي المهدية,Al Mahdiyah
446,حي الرمال,Ar Rimal
600,حي النرجس,An Narjis
634,حي اليرموك,Al Yarmouk
494,حي العارض,Al Arid
570,حي الملقا,Al Malqa
688,حي ظهرة لبن,Dhahrat Laban
682,حي طويق,Tuwaiq
590,حي المونسية,Al Munsiyah
410,حي الجنادرية,Al Janadriyah
648,حي بدر,Badr
414,حي الحزم,Al Hazm
476,حي الشرق,Ash Sharq
706,حي قرطبة,Qurtubah
632,حي الياسمين,Al Yasmin
390,حي اشبيلية,Ishbiliyah
698,حي عكاظ,Okaz
486,حي الصحافة,As Sahafah
690,حي ظهرة نمار,Dhahrat Namar
608,حي النظيم,An Nadhim
424,حي الدار البيضاء,Ad Dar Al Baida
614,حي النهضة,An Nahdah
536,حي القيروان,Al Qirawan
564,حي المعيزلة,Al Maizilah
546,حي المروة,Al Marwah
668,حي ديراب,Dirab
458,حي الزهرة,Az Zahrah
460,حي السعادة,As Saadah
664,حي حطين,Hittin
530,حي القادسية,Al Qadisiyah
680,حي ضاحية نمار,Dahiat Namar
468,حي السليمانية,As Sulimaniyah
684,حي طيبة,Taiba
404,حي التعاون,At Taawon
422,حي الخليج,Al Khaleej
704,حي غرناطة,Ghirnatah
470,حي السويدي,Sultanah
504,حي العقيق,Al Aqiq
526,حي الفيحاء,Al Fayha
532,حي القدس,Al Quds
498,حي العريجاء الغربية,Al Uraija Al Gharbiyah
604,حي النسيم الشرقي,An Nasim Ash Sharqi
506,حي العليا,Al Olaya
598,حي الندى,An Nada
556,حي المصيف,Al Masif
694,حي عرقة,Irqah
440,حي الربيع,Ar Rabie
548,حي المروج,Al Muruj
416,حي الحمراء,Al Hamra
450,حي الروابي,Ar Rawabi
596,حي النخيل,An Nakheel
392,حي الازدهار,Al Ezdihar
602,حي النزهة,An Nuzhah
452,حي الروضة,Ar Rawdah
686,حي ظهرة البديعة,Dhahrat Al Badi'ah
578,حي الملك فيصل,King Faisal
606,حي النسيم الغربي,An Nasim Al Gharbi
472,حي السويدي الغربي,As Suwaidi Al Gharabi
514,حي الغدير,Al Ghadir
478,حي الشفا,Ash Shifa
502,حي العزيزية,Al Aziziyah
582,حي المنار,Al Manar
396,حي الاندلس,Al Andalus
442,حي الرحمانية,Ar Rahmaniyah
454,حي الريان,Ar Rayan
576,حي الملك فهد,King Fahd
488,حي الصفا,As Safaa
482,حي الشهداء,Ash Shuhada
622,حي الوادي,Al Wadi
610,حي النفل,An Nafal
708,حي لبن,Laban
566,حي المغرزات,Al Mughrizat
464,حي السلام,As Salam
428,حي الدريهمية,Ad Duraihimiyah
400,حي البرية,Al Bariah
436,حي الرائد,Ar Raid
520,حي الفاروق,Al Faruq
542,حي المربع,Al Murabba
718,حي نمار,Namar
712,حي مطار الملك خالد الدولي,King Khalid International Airport
500,حي العريجاء الوسطى,Al Uraija Al Wusta
538,حي المحمدية,Al Mohammadiyah
620,حي الواحة,Al Wahah
568,حي الملز,Al Malaz
640,حي ام الحمام الغربي,Umm Al Hamam Al Gharbi
646,حي أحد,Uhud
674,حي شبرا,Shubra
522,حي الفلاح,Al Falah
438,حي الربوة,Ar Rabwah
662,حي جرير,Jarir
700,حي عليشة,Ulaishah
420,حي الخزامى,Al Khuzamy
444,حي الرفيعة,Ar Rafiah
544,حي المرسلات,Al Mursalat
560,حي المعذر الشمالي,Al Mathar Ash Shamali
572,حي الملك عبدالعزيز,King Abdul Aziz
650,حي بنبان,Banban
394,حي الاسكان,Al Eskan
398,حي البديعة,Al Badi'ah
574,حي الملك عبدالله,King Abdullah
652,حي ثليم,Thalim
676,حي صلاح الدين,Salah Ad Din
434,حي الديرة,Ad Deerah
448,حي الرماية,Ar Rimayah
492,حي الضباط,Ad Dhubbat
516,حي الغنامية,Al Ghnamiah
554,حي المصفاة,Al Misfat
584,حي المنصورة,Al Mansourah
624,حي الورود,Al Wurud
626,حي الوزارات,Al Wizarat
636,حي اليمامة,Al Yamamah
672,حي سلطانة,Sultana
696,حي عريض,Uraidh
714,حي منفوحة,Manfuhah
