تاريخ التسجيل,التصنيف,النوع,سعر المتر (ريال),الإيجار السنوي (ريال),المساحة (م²),المدينة,الحي,المدة (بالأشهر)
2025-10-02,سكني,شقة,177,16000,90,الرياض,الصفاء,12
2025-10-21,سكني,شقة,208,24982,120,الرياض,الصفاء,48
2025-12-31,سكني,شقة,373,40000,107,الرياض,الصفاء,12
2025-11-06,سكني,شقة,566,25500,45,الرياض,الصفاء,12
2025-12-11,سكني,شقة,353,40000,113,الرياض,الصفاء,12
2025-10-29,سكني,شقة,181,20000,110,الرياض,الصفاء,12
2025-12-11,سكني,شقة,394,45000,114,الرياض,الصفاء,12
2025-12-30,سكني,شقة,388,40000,103,الرياض,الصفاء,12
2025-10-05,سكني,شقة,280,25500,91,الرياض,الصفاء,12
2025-10-23,سكني,شقة,312,25000,80,الرياض,الصفاء,12
2026-01-29,سكني,شقة,448,22000,49,الرياض,الصفاء,12
2025-12-31,سكني,شقة,423,25000,59,الرياض,الصفاء,12
2025-12-08,سكني,شقة,400,14000,35,الرياض,الصفاء,12
2026-01-03,سكني,شقة,423,25000,59,الرياض,الصفاء,12
2025-10-19,سكني,شقة,219,32994,150,الرياض,الصفاء,12
2026-06-01,سكني,شقة,312,25000,80,الرياض,الصفاء,12
2026-01-06,سكني,شقة,282,9050,32,الرياض,الصفاء,12
2026-04-15,سكني,شقة,375,30000,80,الرياض,الصفاء,12
2026-02-13,سكني,شقة,171,10300,60,الرياض,الصفاء,12
2025-08-03,سكني,شقة,250,30000,120,الرياض,الصفاء,12
2026-04-01,سكني,شقة,382,44000,115,الرياض,الصفاء,12
2026-01-13,سكني,شقة,150,15000,100,الرياض,الصفاء,12
2025-08-30,سكني,شقة,125,25000,200,الرياض,الصفاء,12
2025-08-26,سكني,شقة,254,30500,120,الرياض,الصفاء,12
2025-09-17,سكني,شقة,240,38500,160,الرياض,الصفاء,12
2026-01-21,سكني,شقة,266,32000,120,الرياض,الصفاء,12
2026-03-02,سكني,شقة,283,28300,100,الرياض,الصفاء,12
2025-09-17,سكني,شقة,303,35694,144,الرياض,الصفاء,60
2025-09-17,سكني,شقة,303,35694,100,الرياض,الصفاء,60
2025-09-17,سكني,شقة,303,35694,120,الرياض,الصفاء,60
2025-09-17,سكني,شقة,293,37479,140,الرياض,الصفاء,60
2026-06-17,سكني,شقة,294,41176,140,الرياض,الصفاء,60
2025-09-17,سكني,شقة,293,37479,120,الرياض,الصفاء,60
