listing_id,التوصية_النهائية,درجة_الثقة,سبب_التوصية_النهائية,url,district,price,area_sqm,rooms,bathrooms,yield_low_pct,price_per_sqm,ratio,title,direction,ضمن_الـ11_حي_التجريبية,livings,age_years,مؤثثة,رقم_التواصل,rent_low,rent_mid,rent_high,yield_mid_pct,yield_high_pct,strengths,risks,verdict_yield,verdict_yield_reason,ad_price_per_sqm,comparable_deals_count,comparable_median_price_per_sqm,verdict_price,verdict_price_reason,is_multi_unit,unit_label,llm_corrections,llm_notes,description
6692936,🟢 فرصة قوية,عالية,عائد إيجاري قوي، وسعر بيع عادل مقارنة بصفقات رسمية، وبدون أي تعارض بالبيانات,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الصفا/حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6692936,حي الصفا,790000.0,290.25,4.0,3.0,10.31,2842.0,0.81,"شقة للبيع في حي الصفاء, مدينة الرياض, منطقة الرياض",شرق الرياض,True,1.0,0.0,لا,508080959.0,85043,85043,85043,10.31,10.31,يوجد مصعد | يوجد موقف سيارة | كاميرات مراقبة | قريب من محطة مترو | قريب من مدارس | عقار جديد | يوجد سطح/ملحق | غرفة ماستر بحمام خاص | إطلالة مميزة,,🟢 Proceed,العائد من الإيجار وحده 10.3%,2842.0,154.0,3495.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (81%),False,شقة مع سطح خاص - مشروع الصفاء 181,{},اختلاف في السعر: المسجل 825000 ريال بينما الوصف يذكر 790000 ريال. مساحة الأرض 290.25 م² ومساحة البناء 166.54 م².,"✴️شقة مع سطح خاص للبيع – مشروع الصفاء 181 ✴️

📍 الموقع: حي الصفاء–شارع محمد بن الهيثم
📅 العمر: جديد
📐 المساحة: 290.25 م²
🏗️ مسطح البناء: 166.54 م²

📎 مرفق فديو في الإعلان

🏡 المرافق 🏡
🚗 موقف سيارة خاص
🛋️ غرفة طعام+دورة مياه
🖼️ صالة+مطبخ+دورة مياه
🛏️ غرفة نوم ماستر بدورة مياه خاصة+مساحة خزائن
🛏️ غرفة نوم
🏢 سطح خاص
🌿حدائق
🛗مصعد

💡مميزات الموقع والمشروع💡
🚇 قريب من محطة المترو، مجمع رعاية الطبي، و مستشفى قوى الأمن
⚡ عداد كهرباء ومياه مستقل
🎥 أنظمة أمنية (كاميرات + دخول ذكي)
🏫 مدارس أهلية وحكومية قريبة
🛣️ قريب من مخرج 15 وطريق خريص
🛍️ مستشفى، مدارس، نوادي، كافيهات
🌄 إطلالة مفتوحة بدون أبراج قريبة
🧭 سهولة الوصول من عدة طرق رئيسية

✴️ Apartment with Private Rooftop for Sale –Safa 181 Project ✴️
📍Location:Al-Safa Area– Mohammed bin Al-Haytham Street
📅Brand New
📐Land Area:290.25m²
🏗️Built-up Area:166.54m²

📎A video is attached in the ad

📝Property Description

🏡Facilities
🚗Private Parking
🚽Dining Room+Guest Bathroom
🖼️Living Room+Kitchen
🛏️Master Bedroom with Private Bathroom
🛏️Additional Bedroom+Bathroom
🌿Gardens
🏢RoofTop
🛗 Elevator

💵 السعر/ Price 💵
790,000 ريال
سبع مائة وتسعون الف ريال
🌐 مساكن ركاز للعقارات وإدارة الأملاك-Msakin Rikaz Real Estate 🌐

📞أبو حمود: 0508080959 - English
📞أبو عمر: 0539559998 
📞أبو أحمد: 0501133379
📞أبو ابوراشد: 0581516171 
📞أبو سعود: 0573704030
💬واتساب مباشر: 0506656563"
6753503,🟢 فرصة قوية,عالية,عائد إيجاري قوي، وسعر بيع عادل مقارنة بصفقات رسمية، وبدون أي تعارض بالبيانات,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-الحارث-بن-زهرة-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6753503,حي طيبة,670000.0,275.0,4.0,0.0,10.0,2000.0,0.62,"شقة للبيع في شارع الحارث بن زهرة, حي طيبة, مدينة الرياض, منطقة الرياض",جنوب الرياض,True,0.0,0.0,نعم,,55000,55000,55000,10.0,10.0,,,🟢 Proceed,العائد من الإيجار وحده 10.0%,2000.0,18.0,3208.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (62%),True,دور أرضي تاون هاوس مؤثث,{},الإعلان يعرض عدة وحدات بأسعار مختلفة. السعر المسجل (550000) يطابق أدنى سعم للأدوار العلوية والدور الأرضي الثاني. الدور الأرضي الأول بسعر أعلى (670000). المساحات المذكورة (260-290 م²) تطابق تقريباً المساحة المسجلة. عدد الحمامات غير مذكور في الوصف.,"🏡 أسعار مخفضة لفترة محدودة

✨ دور أرضي تاون هاوس مؤثث بالكامل
✔️ مطبخ متكامل مع جميع الأجهزة الكهربائية
✔️ ثلاجات + ميكروويف + فرن
✔️ 4 غرف نوم مجهزة
✔️ صالات واسعة ومجالس أنيقة

💰 السعر: 670,000 ريال فقط

كما تتوفر:

🏠 أدوار علوية مع ملحق
💰 ابتداءً من 550,000 ريال

🏠 دور أرضي تاون هاوس
💰 ابتداءً من 550,000 ريال

📐 المساحات من 260م² إلى 290م²

🥇 فرصة ذهبية للتملك بأسعار استثنائية"
6753503,🟢 فرصة قوية,عالية,عائد إيجاري قوي، وسعر بيع عادل مقارنة بصفقات رسمية، وبدون أي تعارض بالبيانات,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-الحارث-بن-زهرة-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6753503,حي طيبة,550000.0,275.0,4.0,0.0,10.0,2000.0,0.62,"شقة للبيع في شارع الحارث بن زهرة, حي طيبة, مدينة الرياض, منطقة الرياض",جنوب الرياض,True,0.0,0.0,نعم,,55000,55000,55000,10.0,10.0,,,🟢 Proceed,العائد من الإيجار وحده 10.0%,2000.0,18.0,3208.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (62%),True,أدوار علوية مع ملحق,{},الإعلان يعرض عدة وحدات بأسعار مختلفة. السعر المسجل (550000) يطابق أدنى سعم للأدوار العلوية والدور الأرضي الثاني. الدور الأرضي الأول بسعر أعلى (670000). المساحات المذكورة (260-290 م²) تطابق تقريباً المساحة المسجلة. عدد الحمامات غير مذكور في الوصف.,"🏡 أسعار مخفضة لفترة محدودة

✨ دور أرضي تاون هاوس مؤثث بالكامل
✔️ مطبخ متكامل مع جميع الأجهزة الكهربائية
✔️ ثلاجات + ميكروويف + فرن
✔️ 4 غرف نوم مجهزة
✔️ صالات واسعة ومجالس أنيقة

💰 السعر: 670,000 ريال فقط

كما تتوفر:

🏠 أدوار علوية مع ملحق
💰 ابتداءً من 550,000 ريال

🏠 دور أرضي تاون هاوس
💰 ابتداءً من 550,000 ريال

📐 المساحات من 260م² إلى 290م²

🥇 فرصة ذهبية للتملك بأسعار استثنائية"
6753503,🟢 فرصة قوية,عالية,عائد إيجاري قوي، وسعر بيع عادل مقارنة بصفقات رسمية، وبدون أي تعارض بالبيانات,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-الحارث-بن-زهرة-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6753503,حي طيبة,550000.0,275.0,4.0,0.0,10.0,2000.0,0.62,"شقة للبيع في شارع الحارث بن زهرة, حي طيبة, مدينة الرياض, منطقة الرياض",جنوب الرياض,True,0.0,0.0,نعم,,55000,55000,55000,10.0,10.0,,,🟢 Proceed,العائد من الإيجار وحده 10.0%,2000.0,18.0,3208.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (62%),True,دور أرضي تاون هاوس,{},الإعلان يعرض عدة وحدات بأسعار مختلفة. السعر المسجل (550000) يطابق أدنى سعم للأدوار العلوية والدور الأرضي الثاني. الدور الأرضي الأول بسعر أعلى (670000). المساحات المذكورة (260-290 م²) تطابق تقريباً المساحة المسجلة. عدد الحمامات غير مذكور في الوصف.,"🏡 أسعار مخفضة لفترة محدودة

✨ دور أرضي تاون هاوس مؤثث بالكامل
✔️ مطبخ متكامل مع جميع الأجهزة الكهربائية
✔️ ثلاجات + ميكروويف + فرن
✔️ 4 غرف نوم مجهزة
✔️ صالات واسعة ومجالس أنيقة

💰 السعر: 670,000 ريال فقط

كما تتوفر:

🏠 أدوار علوية مع ملحق
💰 ابتداءً من 550,000 ريال

🏠 دور أرضي تاون هاوس
💰 ابتداءً من 550,000 ريال

📐 المساحات من 260م² إلى 290م²

🥇 فرصة ذهبية للتملك بأسعار استثنائية"
6747925,🟢 فرصة قوية,متوسطة,عائد إيجاري قوي، وسعر بيع عادل مقارنة بصفقات رسمية، وبدون أي تعارض بالبيانات,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-السعادة/شارع-البقيع-حي-السعادة-مدينة-الرياض-منطقة-الرياض-6747925,حي السعادة,500000.0,100.0,3.0,3.0,9.61,5000.0,0.87,"شقة للبيع في شارع البقيع, حي السعادة, مدينة الرياض, منطقة الرياض",شرق الرياض,False,1.0,0.0,لا,,48026,55777,62000,11.16,12.4,عقار جديد | مطبخ راكب | مكيفات مركّبة,,🟢 Proceed,العائد من الإيجار وحده 9.6%,5000.0,63.0,5763.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (87%),False,شقة دور أرضي - حي السعادة,{},العقار جديد (عمر 0 سنة). يتضمن مطبخ راكب ومكيفات راكبة وعدادات مستقلة للكهرباء والماء,"يسرّنا أن نعرض لكم فرصة نادرة
شقة جديدة للبيع  حي السعادة دور ارضي تتكون من ٣ غرف وصالة و٣ دورات مياة مطبخ راكب مكيفات راكبة 
عداد كهرباء مستقبل عداد ماء مستقل"
6771787,🟢 فرصة قوية,عالية,عائد إيجاري قوي، وسعر بيع عادل مقارنة بصفقات رسمية، وبدون أي تعارض بالبيانات,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-الغزاله-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6771787,حي طيبة,500000.0,227.0,4.0,4.0,9.08,2203.0,0.68,"شقة للبيع في شارع الغزاله, حي طيبة, مدينة الرياض, منطقة الرياض",جنوب الرياض,True,1.0,0.0,لا,,45400,45400,45400,9.08,9.08,قريب من طريق دائري رئيسي | قريب من مدارس | قريب من الخدمات | تشطيبات حديثة مذكورة | عقار جديد | تشطيب فاخر | مستوى راقٍ | يوجد ضمان,,🟢 Proceed,العائد من الإيجار وحده 9.1%,2203.0,30.0,3246.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (68%),False,تاون هاوس فاخر في حي طيبة,{},العقار جديد (عمر 0 سنة)، يشمل دفعة أولى ورسوم إدارية بدون فوائد، قريب من المدارس والخدمات والمحطات,"ندفع الدفعه الاولى والرسوم الادارية بدون فوائد

للبيع تاون هاوس فاخر في حي طيبة 
تشطيب راقي وضمانات واشراف هندسي 
بنيه تحتية متكاملة 
بالقرب من الخدمات والمدارس ومحطه القطار والمدينة الصناعية الثانيه والدائري الجديد  
تبدأ الاسعار من 500 الف 
للتواصل على هذا الرقم ((الرقم يظهر عند الضغط على اتصال))"
6369836,🟢 فرصة قوية,متوسطة,عائد إيجاري قوي، وسعر بيع عادل مقارنة بصفقات رسمية، وبدون أي تعارض بالبيانات,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الفيحاء/شارع-الرداح-حي-الفيحاء-مدينة-الرياض-منطقة-الرياض-6369836,حي الفيحاء,564000.0,131.0,3.0,3.0,8.93,4305.0,1.12,"شقة للبيع في شارع الرداح, حي الفيحاء, مدينة الرياض, منطقة الرياض",شرق الرياض,False,1.0,0.0,لا,,50393,68944,78254,12.22,13.87,يوجد مصعد | يوجد موقف سيارة | كاميرات مراقبة | تشطيب فاخر | يوجد سطح/ملحق | يوجد ضمان,,🟢 Proceed,العائد من الإيجار وحده 8.9%,4305.0,464.0,3838.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (112%),False,شقة فاخرة في حي الفيحاء شرق الرياض,{},العقار جديد (عمر 0 سنة). الوصف يذكر أن بعض الشقق لها سطح خاص، لكن لا توجح تفاصيل إضافية تخالف البيانات المسجلة.,"🏢 شقة فاخرة في حي الفيحاء شرق الرياض

⏳ تصفية لفترة محدودة

🏡 تملك بدون سعي وبدون رسوم إفراغ

🔑 استلم مفتاحك بدون أي تكاليف مخفية

⸻

⭐ المميزات:

✅ نظام دفاع مدني (وقاية وحماية)
✅ عداد كهرباء 💡 ومياه 💧 مستقل
✅ عزل مائي وحراري 🛡
✅ موقف خاص 🚗 لكل شقة
✅ أنظمة أمنية (كاميرات 📹 + دخول ذكي 🔐)
✅ سطح خاص 🏠 لبعض الشقق
✅ زجاج دبل قلاس عازل 🪟
✅ دهانات داخلية من جوتن 🎨

⸻

🛡 الضمانات:

👷 إشراف هندسي
💧 ضمان أعمال العزل
🛗 ضمان المصعد
⚡ ضمان الكهرباء (الفنار 25 سنة)
🚰 ضمان السباكة (الأنابيب الخضراء 15 سنة)
📜 تأمين ملاذ (10 سنوات ضد العيوب الخفية)
🔌 ضمانات اكسسوارات الكهرباء
🚿 ضمانات المواد الصحية
🚪 ضمان الأبواب WPC

⸻

📲 للاتصال أو المراسلة واتساب عبر رقم الجوال التالي:
👉 ((رقم المعلن يظهر عند التواصل))

⸻"
6783178,🟡 تحتاج مراجعة,منخفضة,سعر البيع أعلى من صفقات رسمية مشابهة -- تفاوض على السعر قبل أي قرار,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-اليمامة/شارع-سعيد-بن-نافع-حي-اليمامة-مدينة-الرياض-منطقة-الرياض-6783178,حي اليمامة,320000.0,57.0,3.0,3.0,9.21,5614.0,1.36,"شقة للبيع في شارع سعيد بن نافع, حي اليمامة, مدينة الرياض, منطقة الرياض",وسط الرياض,False,1.0,5.0,لا,,29483,37844,43500,11.83,13.59,مطبخ راكب,,🟢 Proceed,العائد من الإيجار وحده 9.2%,5614.0,5.0,4123.0,🟡 مبالغ فيه,سعر المتر أعلى من صفقات مشابهة (136%) -- سعر غير تنافسي,False,شقة دور أرضي - حي اليمامة,{},الوصف يؤكد 3 غرف نوم وعداد كهرباء مستقل. لم يتم ذكر عدد الحمامات بالوصف رغم تسجيله 3 حمامات بالنظام. المساحة المسجلة 57م² لم يتم تأكيدها بالوصف.,"شقة للبيع بحي اليمامة
دور ارضي تتكون من:
ثلاث غرف نوم
 وصالة 
ومطبخ راكب 
عداد كهرباء مستقل
فرصة استثمارية مضمونة وسكن
حد ٣٢٠ الف تقبل بنك"
6771841,🟡 تحتاج مراجعة,منخفضة,السعر عادل، لكن فيه تعارض بين بيانات الإعلان والوصف -- تأكد من التفاصيل الفعلية,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6771841,حي الجنادرية,350000.0,84.0,3.0,2.0,9.08,4167.0,0.79,"شقة للبيع في حي الجنادرية, مدينة الرياض, منطقة الرياض",شرق الرياض,False,1.0,0.0,لا,,31778,36166,43038,10.33,12.3,يوجد سطح/ملحق | غرفة ماستر بحمام خاص | يوجد مجلس منفصل | يوجد ضمان,nan | تعارض بيانات اكتشفه التحليل الآلي: bathrooms=2.0 بالوصف (مسجّل عندنا 3.0),🟢 Proceed,العائد من الإيجار وحده 9.1%,4167.0,74.0,5272.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (79%),False,شقة سكنية - حي الجنادرية,"{""bathrooms"": 2.0}",الوصف يذكر 2 دورة مياه لكن البيانات المسجلة تشير إلى 3 حمامات. العقار جديد (عمر 0 سنة).,"للبيع شقة سكنية بالرياض
حي الجنادرية مخطط بوابه الشرق
تتكون الشقة من :
-1-مجلس مؤسس + مع السطح
-2-صاله
-3-(2 دوره مياه)
-4- غرفتين نوم  احدهما غرفة نوم ماستر
-5- منور و غرفه مؤسس
مزايا:
ضمانات على السباكة و الكهرباء
شارع عرض : 15 م
رقم المخطط:3768
السعر ،350000 ريال

شركة سمة الوسيط للعقارية
رقم ترخيص الإعلان
7201021861
للتواصل
((((الرقم يظهر عند الضغط على اتصال))))"
6593317,🟡 تحتاج مراجعة,متوسطة,السعر عادل، لكن فيه تعارض بين بيانات الإعلان والوصف -- تأكد من التفاصيل الفعلية,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-رشاد-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6593317,حي طيبة,450000.0,375.0,3.0,0.0,8.93,2239.0,0.68,"شقة للبيع في شارع رشاد, حي طيبة, مدينة الرياض, منطقة الرياض",جنوب الرياض,True,0.0,0.0,لا,,40200,40200,40200,8.93,8.93,خزانات مياه مستقلة | تشطيبات حديثة مذكورة | عقار جديد | مستوى راقٍ | واجهة شمالية | قابل للتمويل البنكي | يوجد ضمان,nan | تعارض بيانات اكتشفه التحليل الآلي: area_sqm=375 بالوصف (مسجّل عندنا 201.0),🟢 Proceed,العائد من الإيجار وحده 8.9%,2239.0,46.0,3300.0,🟢 سعر عادل,سعر المتر ضمن نطاق صفقات مشابهة (68%),False,شقة - حي طيبة,"{""area_sqm"": 375}",مساحة الوصف 375 م² تختلف عن المسجل 201 م². عدد الحمامات غير مذكور بالوصف. واجهة شمالية، شارع 15م، تشطيب ممتاز مع ضمانات شاملة.,"السلام عليكم ورحمه الله وبركاته 
أسعد الله أوقاتكم بكل خير عملائنا الكرام تقدم لكم شركه زوايه الابداع كل ماهوجديد في عالم العقار شقة….
مساحه 375 متر
السعر 450 الف 
واجهه شمالية 
شارع 15م
تشطيب ممتاز عليها كافه الضمانات من جميع التشطيبات العنوان حي طيبة
شغل راقي جدآ عليها اشراف هندسي دقيق ضمان من المالك مباشرة ضمنات سباكه كهرباء عوازل اساسات دهنات لمبات ابواب اقفال خزانات 
ويوجد عروض اخري بمساحات مختلفه واسعار متفاوته يوجد لدينا جميع الحلول التمويليه من البدايه حتي النهايه نسعي دائما لتوفير العقار المناسب 
توفير الدفعه الأولى مجانا 
سداد جميع المديونيات نتعامل مع جميع البنوك والشركات"
