listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped
6723839,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-طريق-الملك-فهد-الفرعي-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6723839,"شقة للبيع في شارع طريق الملك فهد الفرعي, حي الصحافة, مدينة الرياض, منطقة الرياض",1730000,89,1,1,0,11,حي الصحافة,,,$54,24.792615,46.632385,https://images.aqar.fm/webp/750x0/props/012702682_1780914088643.jpg | https://images.aqar.fm/webp/750x0/props/012702682_1780914088643.jpg | https://images.aqar.fm/webp/750x0/props/012702680_1780914404282.jpg | https://images.aqar.fm/webp/750x0/props/012702689_1780914404442.jpg | https://images.aqar.fm/webp/750x0/props/012702687_1780914404526.jpg | https://images.aqar.fm/webp/750x0/props/012702683_1780914404568.jpg | https://images.aqar.fm/webp/750x0/props/012702683_1780914404621.jpg | https://images.aqar.fm/webp/750x0/props/012702686_1780914404704.jpg | https://images.aqar.fm/webp/750x0/props/012702681_1780914404722.jpg | https://images.aqar.fm/webp/750x0/props/012702683_1780914404765.jpg | https://images.aqar.fm/webp/750x0/props/012702682_1780914404789.jpg | https://images.aqar.fm/webp/750x0/props/012702686_1780914404844.jpg | https://images.aqar.fm/webp/750x0/props/012702685_1780914404892.jpg | https://images.aqar.fm/webp/750x0/props/012702688_1780914404912.jpg | https://images.aqar.fm/webp/750x0/props/012702686_1780914404962.jpg | https://images.aqar.fm/webp/750x0/props/012702686_1780914405019.jpg | https://images.aqar.fm/webp/750x0/props/012702687_1780914405058.jpg | https://images.aqar.fm/webp/750x0/props/012702681_1780914405087.jpg | https://images.aqar.fm/webp/750x0/props/012702688_1780914405126.jpg | https://images.aqar.fm/webp/750x0/props/012702685_1780914405238.jpg | https://images.aqar.fm/webp/750x0/props/012702681_1780914405236.jpg | https://images.aqar.fm/webp/750x0/props/012702686_1780914405248.jpg | https://images.aqar.fm/webp/750x0/props/012702686_1780914405250.jpg | https://images.aqar.fm/webp/750x0/props/012702681_1780914405292.jpg | https://images.aqar.fm/webp/750x0/props/012702684_1780914405391.jpg | https://images.aqar.fm/webp/750x0/props/012702684_1780914405421.jpg,26,نايف احمد محمد الدبيكل,,,2026-06-08,2026-07-07,2026-07-21,715,2026-07-21
6781869,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الصحافة/شارع-وادي-جصة-حي-الصحافة-مدينة-الرياض-منطقة-الرياض-6781869,"شقة للبيع في شارع وادي جصة, حي الصحافة, مدينة الرياض, منطقة الرياض",2300000,82,2,0,0,0,حي الصحافة,,,"للبيع شقة فاخرة في الدور الـ20 من أحد أرقى أبراج الرياض، بتصميم أنيق ومساحات مفتوحة تُطل على برج رافال بإطلالة بانورامية مباشرة. الشقة تتميّز بتراس واسع يحتوي على جاكوزي خاص يضفي لمسة من الرفاهية.

مواصفات الشقة:
	•	غرفتا نوم بتوزيع مريح
	•	مطبخ مجهز بالكامل
	•	صالات متعددة الاستخدام
	•	تراس كبير مع جاكوزي خارجي وإطلالة مباشرة على برج رافال

الفراغات الداخلية مصممة لتستفيد من الإضاءة الطبيعية والتهوية المثالية، لتجربة سكنية تجمع بين الراحة والفخامة.

للاستفسار:",24.793031,46.633519,https://images.aqar.fm/webp/750x0/props/006666399_1784534494903.jpg | https://images.aqar.fm/webp/750x0/props/006666398_1784534494902.jpg | https://images.aqar.fm/webp/750x0/props/006666396_1784534494913.jpg | https://images.aqar.fm/webp/750x0/props/006666397_1784534494906.jpg | https://images.aqar.fm/webp/750x0/props/006666396_1784534494911.jpg | https://images.aqar.fm/webp/750x0/props/006666392_1784534494916.jpg | https://images.aqar.fm/webp/750x0/props/006666398_1784534494907.jpg,7,عبدالله عبدالرحمن,,,2026-07-20,2026-07-20,2026-07-21,12,2026-07-21
6650516,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الروابي/شارع-العدل-حي-الروابي-مدينة-الرياض-منطقة-الرياض-6650516,"شقة للبيع في شارع العدل, حي الروابي, مدينة الرياض, منطقة الرياض",630000,101,3,2,1,11,حي الروابي,,,"✴️شقة مع سطح خاص للبيع✴️
حي الروابي - شارع العدل
المساحة : 101.4 متر 
العمر: 15سنة

💫فرصة سكنية وإستثمارية ممتازة💫 

🏘️مرافق الشقة🏘️
مجلس + دورة مياه
صالة + مطبخ راكب
غرفتين نوم + دورة مياه مشتركة
سطح خاص

💡مواصفات آخرى💡
1- مسجد قريب جدا.
2- جميع الخدمات قريبة (تسوق مقاهي نوادي).
3- مدارس قريبة.
4- عداد كهرباء مستقل.
5- سطح خاص واسع.
6- موقع حيوي ومميز في حي الروابي.
7- قريب من مستشفى الأمير محمد بن عبدالعزيز.
8- مكيفات شباك راكبة.

💵السعر💵
البيع: 630,000 ر.س
ست مائة وثلاثين الف ريال 

🌐مساكن ركاز للعقارات و إدارة الأملاك🌐
للإستفسار (425):

أبوحمود/
0508080959

ابوعمر/ 
0539559998

ابوراشد/
0581516171

واتساب فقط/
0506656563

رقم رخصة الإعلان (7200487922)
رقم رخصة فال للوساطة والتسويق: 1200019477",24.699035,46.799691,https://images.aqar.fm/webp/750x0/props/005661281_1744214548575.jpg | https://images.aqar.fm/webp/750x0/props/005661286_1744214548580.jpg | https://images.aqar.fm/webp/750x0/props/005661288_1744214548575.jpg | https://images.aqar.fm/webp/750x0/props/005661284_1744214607838.jpg | https://images.aqar.fm/webp/750x0/props/005661280_1744214548584.jpg | https://images.aqar.fm/webp/750x0/props/005661280_1744214980507.jpg | https://images.aqar.fm/webp/750x0/props/005661282_1744215039507.jpg | https://images.aqar.fm/webp/750x0/props/005661287_1744215002761.jpg | https://images.aqar.fm/webp/750x0/props/005661283_1744215002808.jpg | https://images.aqar.fm/webp/750x0/props/005661289_1744215039468.jpg | https://images.aqar.fm/webp/750x0/props/005661282_1744215224296.jpg | https://images.aqar.fm/webp/750x0/props/005661285_1744215224340.jpg | https://images.aqar.fm/webp/750x0/props/005661288_1744215243781.jpg | https://images.aqar.fm/webp/750x0/props/005661281_1744215243760.jpg | https://images.aqar.fm/webp/750x0/props/005661288_1744215243769.jpg | https://images.aqar.fm/webp/750x0/props/005661280_1744215255561.png,16,احمد حمود عبدالعزيز الدويش,مؤسسة مكتب مساكن ركاز للعقارات,1,2026-04-11,2026-07-08,2026-07-20,2504,2026-07-21
6663721,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الملك-فيصل/شارع-أبان-بن-تغلب-حي-الملك-فيصل-مدينة-الرياض-منطقة-الرياض-6663721,"شقة للبيع في شارع أبان بن تغلب, حي الملك فيصل, مدينة الرياض, منطقة الرياض",900000,96,4,0,0,0,حي الملك فيصل,,,$54,24.76519,46.77565,https://images.aqar.fm/webp/750x0/props/048964203_1776761473106.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1776761499099.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1776761499106.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1776761598836.jpg | https://images.aqar.fm/webp/750x0/props/048964203_1776761613783.jpg | https://images.aqar.fm/webp/750x0/props/048964202_1776761613784.jpg | https://images.aqar.fm/webp/750x0/props/048964204_1776761636595.jpg | https://images.aqar.fm/webp/750x0/props/048964202_1776761636596.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1776761642461.jpg | https://images.aqar.fm/webp/750x0/props/048964208_1776761662127.jpg | https://images.aqar.fm/webp/750x0/props/048964206_1776761662138.jpg | https://images.aqar.fm/webp/750x0/props/048964207_1776761662127.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1776761662133.jpg | https://images.aqar.fm/webp/750x0/props/048964209_1776761662130.jpg | https://images.aqar.fm/webp/750x0/props/048964206_1776761662136.jpg | https://images.aqar.fm/webp/750x0/props/048964202_1776761662126.jpg | https://images.aqar.fm/webp/750x0/props/048964201_1776761662126.jpg,17,عبدالله اليوسف,مؤسسة اثال العقارية للعقارات,1,2026-04-21,2026-07-17,2026-07-21,1942,2026-07-21
6725814,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الياسمين/شارع-الامير-ناصر-بن-سعود-بن-فرحان-ال-سعود-حي-الياسمين-مدينة-الرياض-منطقة-الرياض-6725814,"شقة للبيع في شارع الامير ناصر بن سعود بن فرحان ال سعود, حي الياسمين, مدينة الرياض, منطقة الرياض",850000,138,5,4,0,9,حي الياسمين,,,"*🏷️شقة للبيع في حي الياسمين*

* الدور الأرضي
* مجلس
* صالة
* غرفة طعام 
* مطبخ
*  غرفتين نوم (منها غرفة ماستر)
* غرفة خادمة بدورة مياة 
* 3 دورات مياه
* ارتداد خاص
* ⁠المساحة 139 م
* ⁠عمر العقار 9 سنوات 

*السعر: 950,000 ريال*

الموقع 📍",24.812342,46.649992,https://images.aqar.fm/webp/750x0/props/042847274_1781014924938.jpg | https://images.aqar.fm/webp/750x0/props/042847271_1781015007879.jpg | https://images.aqar.fm/webp/750x0/props/042847278_1781015007856.jpg | https://images.aqar.fm/webp/750x0/props/042847274_1781015007850.jpg | https://images.aqar.fm/webp/750x0/props/042847275_1781015007835.jpg | https://images.aqar.fm/webp/750x0/props/042847274_1781015007858.jpg | https://images.aqar.fm/webp/750x0/props/042847272_1781015007846.jpg | https://images.aqar.fm/webp/750x0/props/042847274_1781015044371.jpg | https://images.aqar.fm/webp/750x0/props/042847277_1781015044371.jpg | https://images.aqar.fm/webp/750x0/props/042847277_1781015044378.jpg | https://images.aqar.fm/webp/750x0/props/042847277_1781015044381.jpg | https://images.aqar.fm/webp/750x0/props/042847273_1781015044371.jpg | https://images.aqar.fm/webp/750x0/props/042847272_1781015044339.jpg | https://images.aqar.fm/webp/750x0/props/042847276_1781015044379.jpg | https://images.aqar.fm/webp/750x0/props/042847272_1781015044395.jpg | https://images.aqar.fm/webp/750x0/props/042847270_1781015066967.jpg | https://images.aqar.fm/webp/750x0/props/042847275_1781015066960.jpg | https://images.aqar.fm/webp/750x0/props/042847275_1781015066963.jpg | https://images.aqar.fm/webp/750x0/props/042847275_1781015066978.jpg,19,فيصل السلمان,مؤسسة فيصل عبدالملك سلمان السلمان للعقارات,1,2026-06-09,2026-07-08,2026-07-20,5765,2026-07-21
6710581,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-غرناطة/شارع-البجادية-حي-غرناطة-مدينة-الرياض-منطقة-الرياض-6710581,"شقة للبيع في شارع البجادية, حي غرناطة, مدينة الرياض, منطقة الرياض",975000,117,4,,1,0,حي غرناطة,,,"🏠 تعلن منازل العقاريه 🏠عن بدأ البيع بمشروع ( فيو 14) في حي غرناطه

نماذج مختلفه بأسعار تبدأ من 975.000

- 3 غرف نوم 
- صاله واسعه 
- 3 دورات مياه
- ⁠مجلس 

سكن يجمع بين الموقع الحيوي والتفاصيل اللي تفرق:
* عدادات مياه مستقلة لكل وحدة
* مواقف خاصة
* ⁠سطح ، بلكونات ، حوش 
* تصميم عصري وتشطيبات راقية
* قريب من أهم الطرق والخدمات
* خصوصية وراحة تناسب العائلة 

“فيو 14” مو مجرد شقة… أسلوب حياة أهدأ وأرتب في قلب غرناطه

البيع بدون سعي ، حلول تمويليه للجميع✅",24.802977,46.756797,https://images.aqar.fm/webp/750x0/props/037458617_1782995356678.jpg | https://images.aqar.fm/webp/750x0/props/037458615_1782995363618.jpg | https://images.aqar.fm/webp/750x0/props/037458616_1782995382037.jpg | https://images.aqar.fm/webp/750x0/props/037458610_1782995381978.jpg | https://images.aqar.fm/webp/750x0/props/037458613_1782995382035.jpg | https://images.aqar.fm/webp/750x0/props/037458616_1782995382036.jpg | https://images.aqar.fm/webp/750x0/props/037458614_1782995382049.jpg | https://images.aqar.fm/webp/750x0/props/037458612_1782995382056.jpg,8,ابراهيم الشيخي,شركة منازل رائدة العقارية,1,2026-05-25,2026-06-23,2026-07-21,790,2026-07-21
6713565,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الداخلة-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6713565,"شقة للبيع في شارع الداخلة, حي الملقا, مدينة الرياض, منطقة الرياض",1700000,150,4,4,1,0,حي الملقا,,,"✨
مشروع حي الملقا ( مدينة الرياض ) - Dazzle 🗝️✨
🏡 الدور الأرضي
• مساحة المباني 150 متر و المساحه الخارجية 92 متر 
المساحة الإجمالية: 242 م² 
• السعر: 1,700,000 ريال.

🏡 الدور الأول
• المساحة: 143 م².
• 3 غرف نوم ماستر.
• السعر: 1,600,000 ريال.

✅ ضمانات المشروع
• ضمان 10 سنوات على الهيكل الإنشائي من المطور.
• ضمان 10 سنوات على العزل المائي.
• ضمان 10 سنوات على المصاعد.
• ضمان 10 سنوات على الخزانات.
• ضمان 5 سنوات على أعمال الكهرباء.
• ضمان 5 سنوات على التكييف.
• ضمان 7 سنوات على الخلاطات.
• ضمان 15 سنة على التمديدات الصحية.
• ضمان 25 سنة على التمديدات الكهربائية.
• تأمين ضد العيوب الخفية لمدة 10 سنوات

ملاحظة الموقع غير دقيق

للاستفسارات: 

((الرقم يظهر عند الضغط على اتصال))",24.796811,46.618767,https://images.aqar.fm/webp/750x0/props/015046341_1784422738282.jpg | https://images.aqar.fm/webp/750x0/props/015046342_1784422738283.jpg | https://images.aqar.fm/webp/750x0/props/015046348_1784422738301.jpg | https://images.aqar.fm/webp/750x0/props/015046340_1784422738305.jpg | https://images.aqar.fm/webp/750x0/props/015046347_1784422738307.jpg | https://images.aqar.fm/webp/750x0/props/015046348_1784422738310.jpg | https://images.aqar.fm/webp/750x0/props/015046346_1784422738347.jpg | https://images.aqar.fm/webp/750x0/props/015046343_1784422738356.jpg | https://images.aqar.fm/webp/750x0/props/015046345_1784422820724.jpg | https://images.aqar.fm/webp/750x0/props/015046345_1784422820744.jpg | https://images.aqar.fm/webp/750x0/props/015046345_1784422820727.jpg,11,نسمه بنت زكي,مؤسسة نسمه بنت زكي بن اسماعيل محمد العقارية,1,2026-05-31,2026-06-29,2026-07-19,713,2026-07-21
5966796,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/حي-شارع-محمد-اقبال-حي-النرجس-الرياض-منطقة-الرياض-5966796,"شقة للبيع في شارع محمد إقبال, حي النرجس, مدينة الرياض, منطقة الرياض",1320000,163,3,4,3,0,حي النرجس,,,"وصف العقار 
عروض قويه بمناسبه سيتي سكيب خصومات تصل الى 100 الف ريال
نــيـو هــاوس ( تم بيع ٨٠٪؜ من المشروع) A113
(الإفراغ فوري + تم إصدار شهادة إتمام البناء
احدى مشاريع شركة الديار المتقدمة للتطوير والاستثمار العقاري. 

( مخطط رياض النرجس ) من اجمل مخططات حي النرجس 
واجهة شرقية 
مواقف بالقبو، 
مداخل فاخرة ومكيفة بأنظمة أمان ذكية 
جودة بناء وتشطيبات عالية الجودة 
 ضمانات  تصل إلى 25 سنة. 
حدائق داخلية وأماكن ترفيهية ومساحات للأطفال
كل هذا وأكثر… 

لمزيد من المعلومات وتسجيل الاهتمام  يرجى التواصل على 

او زيارة الموقع الالكتروني للمشروع
‏http://NeoHaus.sa",24.899272333798578,46.63407279399859,https://images.aqar.fm/webp/750x0/props/008726583_1730562446812.jpg | https://images.aqar.fm/webp/750x0/props/008726588_1730562446810.jpg | https://images.aqar.fm/webp/750x0/props/008726587_1730562446777.jpg | https://images.aqar.fm/webp/750x0/props/008726582_1730562446809.jpg | https://images.aqar.fm/webp/750x0/props/008726583_1730562446779.jpg | https://images.aqar.fm/webp/750x0/props/008726585_1730562446783.jpg | https://images.aqar.fm/webp/750x0/props/008726583_1730562446779.jpg | https://images.aqar.fm/webp/750x0/props/008726580_1730562446835.jpg | https://images.aqar.fm/webp/750x0/props/008726581_1763398368894.jpg,9,سعد مفرج سعد الحقباني,شركة الديار المتقدمة للتطوير والاستثمار العقاري,1,2024-11-02,2026-01-11,2026-07-10,9561,2026-07-21
6718084,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-خالد-بن-العاص-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6718084,"شقة للبيع في شارع خالد بن العاص, حي النرجس, مدينة الرياض, منطقة الرياض",1080000,124,3,3,1,1,حي النرجس,,,"شقة للبيع في حي النرجس 
( الماجدية ) دور ارضي 

تتكون من :

3 غرف
صاله
مطبخ
3 دورات مياه
غرفة غسيل

المطبخ والمكيفات راكبه

مؤجرة 60 الف

للتواصل / 
0555075870
0530580077
0567607764",24.902377,46.629259,https://images.aqar.fm/webp/750x0/props/002508172_1780516806209.jpg | https://images.aqar.fm/webp/750x0/props/002508174_1780516820700.jpg | https://images.aqar.fm/webp/750x0/props/002508178_1780516820687.jpg | https://images.aqar.fm/webp/750x0/props/002508170_1780516820715.jpg | https://images.aqar.fm/webp/750x0/props/002508172_1780516820736.jpg | https://images.aqar.fm/webp/750x0/props/002508170_1780516820740.jpg | https://images.aqar.fm/webp/750x0/props/002508171_1780516820697.jpg | https://images.aqar.fm/webp/750x0/props/002508174_1780516820758.jpg | https://images.aqar.fm/webp/750x0/props/002508178_1780516820710.jpg | https://images.aqar.fm/webp/750x0/props/002508170_1780516842146.jpg,10,عبدالرحمن الشريمي,شركة جولة المسكن,1,2026-06-03,2026-07-03,2026-07-21,763,2026-07-21
6765535,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-بللسمر-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6765535,"شقة للبيع في شارع بللسمر, حي اليرموك, مدينة الرياض, منطقة الرياض",699000,93,2,0,0,0,حي اليرموك,,,"🏢 شقق المحمل – حي اليرموك

امتلك وحدتك في موقع مميز بأسعار تبدأ من 699.000 فقط 💰
ومساحات تصل إلى 222م² 🏡
والبيع بدون سعي 😍

✨ المميزات:
• دخول ذكي 🔐
• بلكونات وإطلالات جميلة 🌇
• ضمانات وتأمين ملاذ 10 سنوات 🛡️
• نادي رياضي للرجال والنساء 🏋️‍♂️
• مسبح فاخر 🏊‍♂️
• حضانة للأطفال 👶
• مكتب لإدارة الأملاك 🏢

📍 الموقع المميز:
يبعد 2 دقيقة عن طريق الدمام 🚗
و4 دقائق عن محطة المترو 🚉
و12 دقيقة عن جامعة الإمام محمد بن سعود 🎓

📞 شركة راكز العقارية
احجز موعدك الآن ولا تفوّت الفرصة! ⏳",24.806441,46.763047,https://images.aqar.fm/webp/750x0/props/052305422_1783525799533.jpg | https://images.aqar.fm/webp/750x0/props/052305427_1783526035664.jpg | https://images.aqar.fm/webp/750x0/props/052305420_1783526115666.jpg | https://images.aqar.fm/webp/750x0/props/052305422_1783526252704.jpg | https://images.aqar.fm/webp/750x0/props/052305420_1783526351638.jpg | https://images.aqar.fm/webp/750x0/props/052305424_1783526424987.jpg,6,عبدالعزيز بن خالد بن عبدالعزيز الجلعود,شركة راكز العقارية شركة شخص واحد,1,2026-07-08,2026-07-08,2026-07-20,970,2026-07-21
6773362,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-وادي-العمارية-حي-حطين-الرياض-منطقة-الرياض-6773362,"شقة للبيع في شارع وادي العمارية, حي حطين, مدينة الرياض, منطقة الرياض",1590000,255,4,4,2,0,حي حطين,,,"شقة سطح فاخر بحي حطين شمال الرياض 

3 غرف نوم 
4 دورات مياه
غرفة عاملة أو سائق بالسطح 
مواقف بيسمنت 
نظام تكييف مخفي 
ديكورات أرضية وجدارية 
ارضيات و مغاسل رخامية
مدخلين 
جلسة خارجية ، (تشجير المنطقة الخارجية قبل إستلام العميل)
نظام سمارت هوم ودخول ذكي 




📍 مميزات الموقع  :
تبعد عن المسار الرياضي و الرياض الخضراء 300 متر فقط
بوليفارد سيتي دقيقتين بالسيارة 
بلكونات مطلة على طريق الملك فهد 

ضمان سنتين شامل جميع اجزاء الوحدة 

البيع مباشر ولا يوجد سعي.

المطور العقاري:
شركة نافذة الأركان 

للأستفسارات: ((الرقم يظهر عند الضغط على اتصال))",24.768191,46.614376,https://images.aqar.fm/webp/750x0/props/004307545_1784034162791.jpg | https://images.aqar.fm/webp/750x0/props/004307545_1784034162826.jpg | https://images.aqar.fm/webp/750x0/props/004307546_1784034162725.jpg | https://images.aqar.fm/webp/750x0/props/004307547_1784034162800.jpg | https://images.aqar.fm/webp/750x0/props/004307549_1784034162726.jpg | https://images.aqar.fm/webp/750x0/props/004307543_1784034162838.jpg | https://images.aqar.fm/webp/750x0/props/004307540_1784034281438.jpg | https://images.aqar.fm/webp/750x0/props/004307541_1784034281490.jpg | https://images.aqar.fm/webp/750x0/props/004307541_1784034281443.jpg | https://images.aqar.fm/webp/750x0/props/004307549_1784034281514.jpg | https://images.aqar.fm/webp/750x0/props/004307548_1784034281448.jpg | https://images.aqar.fm/webp/750x0/props/004307544_1784034281504.jpg | https://images.aqar.fm/webp/750x0/props/004307542_1784034281507.jpg | https://images.aqar.fm/webp/750x0/props/004307542_1784034281531.jpg | https://images.aqar.fm/webp/750x0/props/004307547_1784284343893.jpg | https://images.aqar.fm/webp/750x0/props/004307540_1784392364239.jpg | https://images.aqar.fm/webp/750x0/props/004307542_1784392364240.jpg | https://images.aqar.fm/webp/750x0/props/004307544_1784393951177.jpg,18,عبدالرحمن المغامس,,,2026-07-14,2026-07-16,2026-07-21,526,2026-07-21
6768141,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/حي-الرمال-مدينة-الرياض-منطقة-الرياض-6768141,"شقة للبيع في حي الرمال, مدينة الرياض, منطقة الرياض",640000,120,2,3,1,0,حي الرمال,,,"شقة للبيع في مخطط واحة الرمال واسعه المساحه يوجد مصعد يوجد خدمة درج كذلك موقع مميز جدا 
تتكون الشقه من 
غرفتين نوم ماستر وحده 
صاله 
مجلس 
مطبخ 
غرفة خادمه 
السعر 670 الف قابل للتفاوض",24.924221,46.815086,https://images.aqar.fm/webp/750x0/props/026855336_1783706957685.jpg | https://images.aqar.fm/webp/750x0/props/026855334_1783706957686.jpg | https://images.aqar.fm/webp/750x0/props/026855332_1783706957687.jpg | https://images.aqar.fm/webp/750x0/props/026855331_1783706957697.jpg | https://images.aqar.fm/webp/750x0/props/026855334_1783706957669.jpg | https://images.aqar.fm/webp/750x0/props/026855339_1783706957685.jpg,6,معاذ علي سعيد القحطاني,مؤسسة قمة رواح,1,2026-07-10,2026-07-10,2026-07-20,93,2026-07-21
6638847,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-الجيزة-حي-القدس-مدينة-الرياض-منطقة-الرياض-6638847,"شقة للبيع في شارع الجيزة, حي القدس, مدينة الرياض, منطقة الرياض",1150000,112,3,3,1,0,حي القدس,,,"تعلن منازل العقاريه عن بدأ البيع في مشروع 🏠 بيت الريم 🏠 الواقع بحي القدس

فرصة مميزة لامتلاك شقة سكنية في أحد أفضل أحياء الرياض – حي القدس موقع مميز وقريب من جميع الخدمات بأسعار تبدا من 820.000✅

    - 	مساحات متنوعة تناسب جميع الاحتياجات
	    - 3 غرف نوم + صالة واسعة
	    - مطبخ
    	- 3 دورات مياه
    - موقف خاص لكل شقه 


  مميزات الموقع:

	•	قريب من الطرق الرئيسية
	•	بالقرب من المدارس والخدمات
	•	حي هادئ ومتكامل
	•	سهولة الوصول لجميع أنحاء الرياض

لدينا حلول تمويليه للمدعوم او غير مدعوم✅",24.760392,46.74424,https://images.aqar.fm/webp/750x0/props/037458613_1778149047558.jpg | https://images.aqar.fm/webp/750x0/props/037458619_1778149225249.jpg | https://images.aqar.fm/webp/750x0/props/037458614_1778149225266.jpg | https://images.aqar.fm/webp/750x0/props/037458612_1778149225259.jpg | https://images.aqar.fm/webp/750x0/props/037458615_1778149225270.jpg | https://images.aqar.fm/webp/750x0/props/037458618_1778149225250.jpg,6,ابراهيم الشيخي,شركة منازل رائدة العقارية,1,2026-04-02,2026-06-28,2026-07-21,1168,2026-07-21
6670773,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-السعادة/شارع-الكتاب-حي-السعادة-مدينة-الرياض-منطقة-الرياض-6670773,"شقة للبيع في شارع الكتاب, حي السعادة, مدينة الرياض, منطقة الرياض",680000,148,4,3,1,1,حي السعادة,,,$52,24.68488,46.835224,https://images.aqar.fm/webp/750x0/props/005661289_1777221247656.jpg | https://images.aqar.fm/webp/750x0/props/005661283_1777221255049.jpg | https://images.aqar.fm/webp/750x0/props/005661289_1777221261060.jpg | https://images.aqar.fm/webp/750x0/props/005661280_1777221267611.jpg | https://images.aqar.fm/webp/750x0/props/005661289_1777221271472.jpg | https://images.aqar.fm/webp/750x0/props/005661281_1777221275916.jpg | https://images.aqar.fm/webp/750x0/props/005661284_1777221277797.jpg | https://images.aqar.fm/webp/750x0/props/005661281_1777221288283.jpg | https://images.aqar.fm/webp/750x0/props/005661280_1777221288283.jpg | https://images.aqar.fm/webp/750x0/props/005661287_1777221288280.jpg | https://images.aqar.fm/webp/750x0/props/005661287_1777221310779.jpg | https://images.aqar.fm/webp/750x0/props/005661281_1777221312875.jpg,12,احمد حمود عبدالعزيز الدويش,مؤسسة مكتب مساكن ركاز للعقارات,1,2026-04-26,2026-06-23,2026-07-20,1317,2026-07-21
