listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped,published,price_text,price_was_missing,property_type,status
6783075,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-طريق-الملك-فهد-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6783075,"مكتب للبيع في شارع طريق الملك فهد, حي الملقا, مدينة الرياض, منطقة الرياض",9000000,199,,,,1,حي الملقا,الرياض,شمال الرياض,"عرض رقم     4190
بسم الله الرحمن الرحيم
الرجاء قراءة الاعلان بشكل واضح
السلام عليكم ورحمة الله وبركاته

♦️ للبيع مكتب فاخر في برج معاذ 
حي الملقا، طريق الملك فهد 

◀️ الشارع والواجهة : 
طريق الملك فهد بعرض 80 م ، الشرق: طريق الملك فهد 
جنوب:  اطلاله على مركز الملك عبدالله المالي.
◀️ المساحة :  200 م2 تقريبا . 
♦️مكونات المكتب |
◀️ دور خاص بالكامل (الدور العاشر)
◀️ دورتين مياه رجال .
◀️دورة مياه واستراحة نساء مجهزه .
◀️التكييف موصل وجاهز 3 وحدات مركزية .
◀️التقسيمات للمكتب جاهزه . 
◀️دفاع مدني وكاميرات مجهزة بالكامل .
◀️غرفة الاجتماعات جاهزه .
◀️غرفة الرسيفرات والكاميرات جاهزه . 
◀️ المطبخ جاهز . 
◀️ عدد 2 مصاعد تخدم المكتب من القبو إلى الدور الخاص بالمكتب .
◀️ المكتب مجهز لعدد 29 موظف . 
♦️ مميزات المكتب |
◀️ إطلالة بانورامية: واجهات زجاجية تعطي إطلالة على مركز الملك عبدالله وطريق الملك فهد
◀️ اكتمال جميع الخدمات والتراخيص وخاصة شهادة السلامة وشهادة الامتثال . 
◀️ توفر المواقف: مواقف خاصة بالقبو عدد 7 مواقف محدده
◀️ يوجد جمعية اتحاد ملاك بالبرج . 
◀️ متوفر خدمة الفايبر .
◀️ يقع ضمن النطاق المسموح لتأجير الأجانب . 


سعر البيع / 

9,000,000 ريال  
شامل الضريبة 

قابل للتفاوض 


للتواصل :   197 78 66 055   ( أبو رفيف )
                  ((الرقم يظهر عند الضغط على اتصال))   ( ابو راكان ) 
                  ((الرقم يظهر عند الضغط على اتصال)) ( ابو سعد )


شركة ركن العبره العقارية
خدماتنا :تسويق -ادراة املاك -تطوير عقاري -كتابة عقود الكترونيه -اتحاد ملاك -خدمات البيع على الخارطة أوقات العمل من ٤ عصرًا حتى ١٠ مساءً
واتساب ٢٤ ساعه",24.802208,46.625865,https://images.aqar.fm/webp/750x0/props/041998190_1784581680254.jpg | https://images.aqar.fm/webp/750x0/props/041998192_1784581680517.jpg | https://images.aqar.fm/webp/750x0/props/041998197_1784581699619.jpg | https://images.aqar.fm/webp/750x0/props/041998193_1784581699401.jpg | https://images.aqar.fm/webp/750x0/props/041998193_1784581699624.jpg | https://images.aqar.fm/webp/750x0/props/041998195_1784581699481.jpg | https://images.aqar.fm/webp/750x0/props/041998193_1784581699617.jpg | https://images.aqar.fm/webp/750x0/props/041998196_1784581699619.jpg | https://images.aqar.fm/webp/750x0/props/041998198_1784581699470.jpg | https://images.aqar.fm/webp/750x0/props/041998197_1784581699470.jpg | https://images.aqar.fm/webp/750x0/props/041998196_1784581721020.jpg | https://images.aqar.fm/webp/750x0/props/041998195_1784581721017.jpg | https://images.aqar.fm/webp/750x0/props/041998198_1784581721026.jpg | https://images.aqar.fm/webp/750x0/props/041998197_1784581720945.jpg | https://images.aqar.fm/webp/750x0/props/041998193_1784581721021.jpg | https://images.aqar.fm/webp/750x0/props/041998198_1784581721023.jpg | https://images.aqar.fm/webp/750x0/props/041998198_1784581721019.jpg | https://images.aqar.fm/webp/750x0/props/041998194_1784581721026.jpg,18,عثمان عبدالرحمن بن عثمان العبره,شركة ركن العبرة للتطوير والاستثمار العقاري,1.0,2026-07-20,2026-07-20,2026-08-18,75,2026-08-20,True,"9,000,000",False,مكتب,محتمل محذوف/مباع
6593074,https://sa.aqar.fm/مكاتب-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الجنادريه-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6593074,"مكتب للبيع في شارع الجنادريه, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",500000,27,,,,0,حي ظهرة لبن,الرياض,غرب الرياض,"محل تجاري للبيع في سلطان ريزيدنس – حي ظهرة لبن – غرب الرياض.
 مناسب للأنشطة التجارية والخدمية.

المحل داخل مشروع سكني قائم بكثافة سكانية، موقع حيوي يخدم سكان الحي مباشرة، وقريب من الطرق الرئيسية.
واجهة مناسبة للنشاط التجاري، وتوزيع عملي يسهل التجهيز والتشغيل.

مناسب للتشغيل المباشر أو للاستثمار والتأجير.",24.612115,46.512181,https://images.aqar.fm/webp/750x0/props/033379808_1781356829330.jpg | https://images.aqar.fm/webp/750x0/props/033379807_1771254383448.jpg | https://images.aqar.fm/webp/750x0/props/033379802_1771254422426.jpg | https://images.aqar.fm/webp/750x0/props/033379805_1771254494063.jpg | https://images.aqar.fm/webp/750x0/props/033379805_1781356891033.jpg | https://images.aqar.fm/webp/750x0/props/033379801_1781356891039.jpg | https://images.aqar.fm/webp/750x0/props/033379802_1781356891029.jpg | https://images.aqar.fm/webp/750x0/props/033379803_1781356891044.jpg | https://images.aqar.fm/webp/750x0/props/033379800_1781356891044.jpg | https://images.aqar.fm/webp/750x0/props/033379809_1781356891049.jpg | https://images.aqar.fm/webp/750x0/props/033379804_1781356891043.jpg,11,محمد حامد,شركة بنائات العقارية المحدودة,1.0,2026-02-16,2026-08-10,2026-08-17,2390,2026-08-20,True,"500,000",False,مكتب,نشط
6791699,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-طريق-الملك-فهد-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6791699,"مكتب للبيع في شارع طريق الملك فهد, حي الملقا, مدينة الرياض, منطقة الرياض",9000000,199,,,,6,حي الملقا,الرياض,شمال الرياض,$5d,24.802199,46.625804,https://images.aqar.fm/webp/750x0/props/041984456_1785092846486.jpg,1,عثمان عبدالرحمن بن عثمان العبره,شركة ركن العبرة للتطوير والاستثمار العقاري,1.0,2026-07-26,2026-07-26,2026-08-18,33,2026-08-20,True,"9,000,000",False,مكتب,نشط
6775517,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شمال-الرياض/حي-المصيف/شارع-الملك-عبدالعزيز-ابن-عبدالرحمن-سعود-حي-المصيف-مدينة-الرياض-منطقة-الرياض-6775517,"مكتب للبيع في شارع الملك عبدالعزيز ابن عبدالرحمن سعود, حي المصيف, مدينة الرياض, منطقة الرياض",1302000,70,,,,5,حي المصيف,الرياض,شمال الرياض,"مكتب تجاري للبيع بموقع مميز على طريق الملك عبدالعزيز الرياض حي المصيف
المساحه/ 70.95
الدور
الدور الخامس
يوجد مصعد
موقف قبو
سعر البيع / 1370000 ريال 
7201043656",24.767402,46.670013,https://images.aqar.fm/webp/750x0/props/003661148_1784129953778.jpg | https://images.aqar.fm/webp/750x0/props/003661142_1784129945756.jpg | https://images.aqar.fm/webp/750x0/props/003661149_1784129945848.jpg | https://images.aqar.fm/webp/750x0/props/003661141_1784129961321.jpg | https://images.aqar.fm/webp/750x0/props/003661146_1784129961317.jpg | https://images.aqar.fm/webp/750x0/props/003661145_1784129961333.jpg | https://images.aqar.fm/webp/750x0/props/003661143_1784129961470.jpg | https://images.aqar.fm/webp/750x0/props/003661142_1784129945756.jpg | https://images.aqar.fm/webp/750x0/props/003661149_1784129945848.jpg | https://images.aqar.fm/webp/750x0/props/003661148_1784129953778.jpg | https://images.aqar.fm/webp/750x0/props/003661141_1784129961321.jpg | https://images.aqar.fm/webp/750x0/props/003661146_1784129961317.jpg | https://images.aqar.fm/webp/750x0/props/003661145_1784129961333.jpg | https://images.aqar.fm/webp/750x0/props/003661143_1784129961470.jpg,14,ممدوح الجميلى,مؤسسة مكتب المسكن الثاني العقارية,1.0,2026-07-15,2026-08-13,2026-08-17,582,2026-08-20,True,"1,302,000",False,مكتب,نشط
6825361,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شمال-الرياض/حي-الربيع/شارع-القلعة-حي-الربيع-مدينة-الرياض-منطقة-الرياض-6825361,"مكتب للبيع في شارع القلعة, حي الربيع, مدينة الرياض, منطقة الرياض",1200000,538,,,,3,حي الربيع,الرياض,شمال الرياض,"للتقبيل مليون و200 قابل للتفاوض او ايجار سنوي 800 الف بمساحه 538مكاتب اداريه مؤثثه 
+ وجود مساحة مجانية سطح 600 م2 مضافة للمكتب

سبب التقبيل تركيز المالك على نشاط آخر
وايضًا مسموح تغير النشاط الحالي مع المستأجر الجديد

أكثر من 17 مكتب إداري جاهز للاستخدام (مع امكانية فتح المكاتب على بعض والتعديلات ) 

2 غرفة اجتماعات 
منطقة استقبال للزوار.
كوفي بار مجهز.
دورات مياه منفصلة للرجال والنساء.
مساحة مشتركة / منطقة انتظار.
مكاتب مجهزة ومناسبة للشركات والفرق المختلفة.
إمكانية استخدام الموقع كمقر إداري للشركات.
موقع مناسب وسهل الوصول.
تجهيزات مكتبية جاهزة ومؤث، مما يقلل تكلفة التأسيس والتجهيز.
إمكانية تشغيل الموقع مباشرة دون الحاجة لأعمال تأسيس كبيرة.
غرف الاجتماعات يمكن استثمارها بالحجز بالساعة أو باليوم.
وجود خدمات مساندة للشركات والمستثمرين.

📍 المساحة: 538 م² حي الربيع 
🏢 أكثر من 17 مكتب إداري
👥 2 غرفة اجتماعات - متوسطة تتسع الى 6 اشخاص و كبيرة تتسع الى 10 اشخاص 
☕ كوفي بار
🚻 دورات مياه رجال ونساء
🛋️ منطقة استقبال وانتظار
💼 جاهز للتشغيل والاستثمار
🅿️
مواقف سيارات تتسع الى اكثر من 80 موقف",24.805828,46.660244,https://images.aqar.fm/webp/750x0/props/010980184_1786883962600.jpg | https://images.aqar.fm/webp/750x0/props/010980180_1786883962755.jpg | https://images.aqar.fm/webp/750x0/props/010980180_1786883962752.jpg | https://images.aqar.fm/webp/750x0/props/010980185_1786883962603.jpg | https://images.aqar.fm/webp/750x0/props/010980186_1786883962744.jpg | https://images.aqar.fm/webp/750x0/props/010980187_1786883962752.jpg | https://images.aqar.fm/webp/750x0/props/010980187_1786883962591.jpg | https://images.aqar.fm/webp/750x0/props/010980187_1786883962751.jpg,8,رشيد محمد رشيد حويل,,,2026-08-16,2026-08-16,2026-08-19,68,2026-08-20,True,"1,200,000",False,مكتب,نشط
6532867,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-سعيد-بن-زيد-حي-قرطبة-مدينة-الرياض-منطقة-الرياض-6532867,"مكتب للبيع في شارع سعيد بن زيد, حي قرطبة, مدينة الرياض, منطقة الرياض",6896584,265,,,,0,حي قرطبة,الرياض,شرق الرياض,"مكاتب رصافة 🏢
""أيقونة معمارية لبيئة عمل استثنائية""
مكاتب إدارية (للإيجار / للتملك) بتصاميم عصرية وخدمات راقية ومتكاملة.
📍 الموقع:
حي قرطبة – شارع سعيد بن زيد
سهولة الوصول من مختلف الأحياء والمناطق الحيوية، ومحاط بأهم الطرق الرئيسية:
• 🚏 شارع سعيد بن زيد: دقيقة واحدة
• 🚝 سابك : 5 دقائق
• 🏢 واجهة روشن : 6 دقائق
• 🏢 البوابة الاقتصادية : 6 دقائق
• 🛣 طريق الملك سلمان : 8 دقائق
• 🛫 مطار الملك خالد : 12 دقيقة
التصميم والمساحات 🏢
•وحدات مكتبية مكونة من دورين/ثلاث أدوار
• وحدات مكتبية بخصوصية مستقلة تعزز بيئة العمل والإنتاجية.
• نوافذ بانورامية توفر إضاءة طبيعية وإطلالة مفتوحة.
• مساحات تبدأ من 204 م² وتصل إلى 544 م².
• مواقف سيارات تتسع لأكثر من 255 موقف.

Rasafa Offices 🏢
Office units with two or three floors
Administrative offices (Rent / Sale) featuring modern designs and comprehensive high-end services.
📍 Location:
Qurtoba District – Saeed Bin Zaid Street
Easy access from various neighborhoods and vital areas surrounded by major main roads
•🚏 Saeed Bin Zaid: 1 minute
•🚝 SABIC: 5 minutes
•🏢 ROSHN Front: 6 minutes
•🏢 Economic Gate: 6 minutes
•🛣 King Salman Road: 8 minutes
•🛫 King Khalid Airport: 12 minutes
Design and Spaces 🏢
•A distinctive exterior design that creates a seamless blend of architectural elegance and operational efficiency.
•Private office units designed to enhance the work environment and boost productivity.
•Panoramic windows offering natural daylight and open views.
•Areas ranging from 204 m² to 544 m².
• More than 255parking spaces",24.822211,46.729708,https://images.aqar.fm/webp/750x0/props/000277896_1780496586618.jpg | https://images.aqar.fm/webp/750x0/props/000277893_1780496591294.jpg,2,ايوب محمد فالح الحربي,شركة صاف العقارية,1.0,2026-01-04,2026-01-04,2026-08-20,2788,2026-08-20,True,"6,896,584",False,مكتب,نشط
6783567,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شمال-الرياض/حي-المعذر-الشمالي/شارع-الامير-سلطان-ابن-عبدالعزيز-حي-المعذر-الشمالي-مدينة-الرياض-منطقة-الرياض-6783567,"مكتب للبيع في شارع الامير سلطان ابن عبدالعزيز, حي المعذر الشمالي, مدينة الرياض, منطقة الرياض",15000000,633,,,,5,حي المعذر الشمالي,الرياض,شمال الرياض,"مكتب للبيع مؤجر لشركة بمساحة ٦٣٣م، قابل للفصل الى مكتبين لوجود مدخلين منفصلين وامكانية طلب عداد كهرباء منفصل. 
يحتوي على ١٠ مكاتب منفصله اضافة الى مكتب كبير للمدير و وغرفة اجتماعات ومساحه كبيره مفتوحه بمكاتب مفصوله قابله للقفل. منطقة استقبال منفصله. ثمانية حمامات ومطبخين ، الارضيات رخام، تكييف مركزي لكل المكاتب. 
مكتب المدير و مكتب المساعد وغرفة الاجتماعات مؤثثة بالكامل اثاث ايطالي. 
مواقف سيارات داخليه وخارجيه. 
مؤجر بمبلغ ٨٠٠ الف سنوي صافي.",24.68212,46.670739,https://images.aqar.fm/webp/750x0/props/024512988_1784706042430.jpg | https://images.aqar.fm/webp/750x0/props/024512983_1784706042471.jpg | https://images.aqar.fm/webp/750x0/props/024512981_1784706042461.jpg | https://images.aqar.fm/webp/750x0/props/024512985_1784706042457.jpg | https://images.aqar.fm/webp/750x0/props/024512989_1784706042457.jpg | https://images.aqar.fm/webp/750x0/props/024512982_1784706042431.jpg | https://images.aqar.fm/webp/750x0/props/024512980_1784706042629.jpg | https://images.aqar.fm/webp/750x0/props/024512983_1784706042631.jpg | https://images.aqar.fm/webp/750x0/props/024512987_1784706042659.jpg | https://images.aqar.fm/webp/750x0/props/024512982_1784706042471.jpg | https://images.aqar.fm/webp/750x0/props/024512989_1784706042665.jpg | https://images.aqar.fm/webp/750x0/props/024512983_1784706042435.jpg | https://images.aqar.fm/webp/750x0/props/024512989_1784706042450.jpg | https://images.aqar.fm/webp/750x0/props/024512989_1784706042442.jpg | https://images.aqar.fm/webp/750x0/props/024512980_1784706042458.jpg | https://images.aqar.fm/webp/750x0/props/024512988_1784706042478.jpg | https://images.aqar.fm/webp/750x0/props/024512982_1784706042439.jpg | https://images.aqar.fm/webp/750x0/props/024512985_1784706042426.jpg | https://images.aqar.fm/webp/750x0/props/024512981_1784706042432.jpg | https://images.aqar.fm/webp/750x0/props/024512986_1784706042439.jpg,20,عبدالله بن ناصر بن بدر العسكر,,,2026-07-21,2026-08-19,2026-08-19,424,2026-08-20,True,"15,000,000",False,مكتب,نشط
6786873,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-طريق-الملك-فهد-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6786873,"مكتب للبيع في شارع طريق الملك فهد, حي الملقا, مدينة الرياض, منطقة الرياض",9000000,199,,,,1,حي الملقا,الرياض,شمال الرياض,"عرض رقم     4190
بسم الله الرحمن الرحيم
الرجاء قراءة الاعلان بشكل واضح
السلام عليكم ورحمة الله وبركاته

♦️ للبيع مكتب فاخر في برج معاذ 
حي الملقا، طريق الملك فهد 

◀️ الشارع والواجهة : 
طريق الملك فهد بعرض 80 م ، الشرق: طريق الملك فهد 
جنوب:  اطلاله على مركز الملك عبدالله المالي.
◀️ المساحة :  200 م2 تقريبا . 
♦️مكونات المكتب |
◀️ دور خاص بالكامل (الدور العاشر)
◀️ دورتين مياه رجال .
◀️دورة مياه واستراحة نساء مجهزه .
◀️التكييف موصل وجاهز 3 وحدات مركزية .
◀️التقسيمات للمكتب جاهزه . 
◀️دفاع مدني وكاميرات مجهزة بالكامل .
◀️غرفة الاجتماعات جاهزه .
◀️غرفة الرسيفرات والكاميرات جاهزه . 
◀️ المطبخ جاهز . 
◀️ عدد 2 مصاعد تخدم المكتب من القبو إلى الدور الخاص بالمكتب .
◀️ المكتب مجهز لعدد 29 موظف . 
♦️ مميزات المكتب |
◀️ إطلالة بانورامية: واجهات زجاجية تعطي إطلالة على مركز الملك عبدالله وطريق الملك فهد
◀️ اكتمال جميع الخدمات والتراخيص وخاصة شهادة السلامة وشهادة الامتثال . 
◀️ توفر المواقف: مواقف خاصة بالقبو عدد 7 مواقف محدده
◀️ يوجد جمعية اتحاد ملاك بالبرج . 
◀️ متوفر خدمة الفايبر .
◀️ يقع ضمن النطاق المسموح لتأجير الأجانب . 


سعر البيع / 

9,000,000 ريال  
شامل الضريبة 

قابل للتفاوض 


للتواصل :   197 78 66 055   ( أبو رفيف )
                  ((الرقم يظهر عند الضغط على اتصال))   ( ابو راكان ) 
                  ((الرقم يظهر عند الضغط على اتصال)) ( ابو سعد )


شركة ركن العبره العقارية
خدماتنا :تسويق -ادراة املاك -تطوير عقاري -كتابة عقود الكترونيه -اتحاد ملاك -خدمات البيع على الخارطة أوقات العمل من ٤ عصرًا حتى ١٠ مساءً
واتساب ٢٤ ساعه",24.802174,46.625844,https://images.aqar.fm/webp/750x0/props/041998198_1784803813257.jpg | https://images.aqar.fm/webp/750x0/props/041998193_1784803813250.jpg | https://images.aqar.fm/webp/750x0/props/041998198_1784803827592.jpg | https://images.aqar.fm/webp/750x0/props/041998198_1784803827647.jpg | https://images.aqar.fm/webp/750x0/props/041998197_1784803827613.jpg | https://images.aqar.fm/webp/750x0/props/041998191_1784803827646.jpg | https://images.aqar.fm/webp/750x0/props/041998197_1784803827638.jpg | https://images.aqar.fm/webp/750x0/props/041998196_1784803827661.jpg | https://images.aqar.fm/webp/750x0/props/041998192_1784803827600.jpg | https://images.aqar.fm/webp/750x0/props/041998196_1784803827611.jpg | https://images.aqar.fm/webp/750x0/props/041998190_1784803844200.jpg | https://images.aqar.fm/webp/750x0/props/041998196_1784803844209.jpg | https://images.aqar.fm/webp/750x0/props/041998199_1784803844211.jpg | https://images.aqar.fm/webp/750x0/props/041998196_1784803844207.jpg | https://images.aqar.fm/webp/750x0/props/041998191_1784803844160.jpg | https://images.aqar.fm/webp/750x0/props/041998198_1784803844210.jpg | https://images.aqar.fm/webp/750x0/props/041998196_1784803844205.jpg | https://images.aqar.fm/webp/750x0/props/041998191_1784803844208.jpg,18,عثمان عبدالرحمن بن عثمان العبره,شركة ركن العبرة للتطوير والاستثمار العقاري,1.0,2026-07-23,2026-07-23,2026-08-06,84,2026-08-20,True,"9,000,000",False,مكتب,نشط
6775626,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الملك-فهد-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6775626,"مكتب للبيع في شارع الملك فهد, حي الملقا, مدينة الرياض, منطقة الرياض",9000000,200,,,,5,حي الملقا,الرياض,شمال الرياض,"عرض رقم     4023
بسم الله الرحمن الرحيم
الرجاء قراءة الاعلان بشكل واضح
السلام عليكم ورحمة الله وبركاته

◀️ للبيع مكتب فاخر في برج معاذ 
حي الملقا، طريق الملك فهد 

◀️ الشارع والواجهة : 
طريق الملك فهد بعرض 80 م ، الشرق: طريق الملك فهد 
جنوب:  اطلاله على مركز الملك عبدالله المالي.
◀️ المساحة :  200 م2 تقريبا . 
♦️مكونات المكتب |
◀️ دور خاص بالكامل (الدور العاشر)
◀️ دورتين مياه رجال .
◀️دورة مياه واستراحة نساء مجهزه .
◀️التكييف موصل وجاهز 3 وحدات مركزية .
◀️التقسيمات للمكتب جاهزه . 
◀️دفاع مدني وكاميرات مجهزة بالكامل .
◀️غرفة الاجتماعات جاهزه .
◀️غرفة الرسيفرات والكاميرات جاهزه . 
◀️ المطبخ جاهز . 
◀️ عدد 2 مصاعد تخدم المكتب من القبو إلى الدور الخاص بالمكتب .
◀️ المكتب مجهز لعدد 29 موظف . 
♦️ مميزات المكتب |
◀️ إطلالة بانورامية: واجهات زجاجية تعطي إطلالة على مركز الملك عبدالله وطريق الملك فهد
◀️ اكتمال جميع الخدمات والتراخيص وخاصة شهادة السلامة وشهادة الامتثال . 
◀️ توفر المواقف: مواقف خاصة بالقبو عدد 7 مواقف محدده
◀️ يوجد جمعية اتحاد ملاك بالبرج . 
◀️ تتوفر خدمة الفايبر 
◀️ ضمن النطاق المسموح التملك للأجانب 


سعر البيع  / 
9 مليون  
شامل الضريبة 

قابل للتفاوض 


للتواصل :   ((الرقم يظهر عند الضغط على اتصال))   ( أبو رفيف )
                  ((الرقم يظهر عند الضغط على اتصال))   ( ابو راكان ) 
                  ((الرقم يظهر عند الضغط على اتصال)) ( ابو سعد )


شركة ركن العبره العقارية
خدماتنا :تسويق -ادراة املاك -تطوير عقاري -كتابة عقود الكترونيه -اتحاد ملاك -خدمات البيع على الخارطة أوقات العمل من ٤ عصرًا حتى ١٠ مساءً
واتساب ٢٤ ساعه",24.802251,46.625592,https://images.aqar.fm/webp/750x0/props/041998198_1784133094083.jpg | https://images.aqar.fm/webp/750x0/props/041998193_1784133094123.jpg | https://images.aqar.fm/webp/750x0/props/041998194_1784133148223.jpg | https://images.aqar.fm/webp/750x0/props/041998193_1784133148237.jpg | https://images.aqar.fm/webp/750x0/props/041998196_1784133148169.jpg | https://images.aqar.fm/webp/750x0/props/041998190_1784133148217.jpg | https://images.aqar.fm/webp/750x0/props/041998197_1784133148212.jpg | https://images.aqar.fm/webp/750x0/props/041998195_1784133148189.jpg | https://images.aqar.fm/webp/750x0/props/041998199_1784133148174.jpg | https://images.aqar.fm/webp/750x0/props/041998191_1784133148221.jpg | https://images.aqar.fm/webp/750x0/props/041998192_1784133164223.jpg | https://images.aqar.fm/webp/750x0/props/041998197_1784133164240.jpg | https://images.aqar.fm/webp/750x0/props/041998194_1784133164243.jpg | https://images.aqar.fm/webp/750x0/props/041998195_1784133164239.jpg,14,عثمان عبدالرحمن بن عثمان العبره,شركة ركن العبرة للتطوير والاستثمار العقاري,1.0,2026-07-15,2026-08-13,2026-08-18,102,2026-08-20,True,"9,000,000",False,مكتب,محتمل محذوف/مباع
6690248,https://sa.aqar.fm/مكاتب-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الغنامية-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6690248,"مكتب للبيع في شارع الغنامية, حي الملقا, مدينة الرياض, منطقة الرياض",4340000,161,,,,0,حي الملقا,الرياض,شمال الرياض,"مكتب تجاري فاخر للإيجار في برج العوالي تاور – حي الملقا

مساحة مفتوحة 161م² في الدور 14 بإطلالة مباشرة على طريق الملك فهد، داخل أحد أبرز الأبراج التجارية شمال الرياض.

فرصة مميزة للشركات ورواد الأعمال والمستثمرين، مع إمكانية تصميم المساحة حسب الاحتياج.

💰 البيع على الخارطه و آلية الدفع مرنة:
40٪ دفعة أولى، وباقي المبلغ على دفعات مجدولة.

🗓️ التسليم في عام 2028

📍 برج العوالي تاور – طريق الملك فهد مباشره
يفضل التواصل واتس اب",24.803454,46.625274,https://images.aqar.fm/webp/750x0/props/003546576_1778412259355.jpg | https://images.aqar.fm/webp/750x0/props/003546574_1778412265852.jpg | https://images.aqar.fm/webp/750x0/props/003546577_1778412265864.jpg | https://images.aqar.fm/webp/750x0/props/003546571_1784072968074.jpg,4,عبدالله عبدالعزيز,,,2026-05-10,2026-08-05,2026-08-17,1207,2026-08-20,True,"4,340,000",False,مكتب,نشط
