listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped
6776751,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-وادي-هجر-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6776751,"شقة للبيع في شارع وادي هجر, حي الملقا, مدينة الرياض, منطقة الرياض",1600000,168,3,3,1,2,حي الملقا,الرياض,شمال الرياض,"شقة للبيع دور أرضي في حي الملقا شمال الرياض

✨ مواصفات الشقة:
* مدخلان مستقلان.
* صالة (جلسة + منطقة طاولة طعام).
* دورة مياه.
* مطبخ راكب.
* غرفة نوم رئيسية (ماستر).
* غرفتين نوم مع دورة مياه مشتركة.
* بلكونة داخلية مغلقة.
* حوش خاص.

✨ المزايا والإضافات:
* جميع المكيفات راكبة.
* الأجهزة الكهربائية كاملة وتشمل:
    * ثلاجة.
    * غسالة.
    * تلفزيون.
    * أفران.
    * مايكروويف.
* شترات كهربائية على جميع النوافذ تعمل بالريموت.
* نظام دخول ذكي للشقة.

🚗 المواقف:
* موقف خاص أمام العمارة.
* الموقف مزود بمظلة.
* حاجز للموقف يعمل بالريموت.

شقة متكاملة وجاهزة للسكن، بتشطيبات وتجهيزات توفر أعلى درجات الراحة والخصوصية",24.813577,46.610126,https://images.aqar.fm/webp/750x0/props/024554667_1784202880905.jpg | https://images.aqar.fm/webp/750x0/props/024554665_1784202701951.jpg | https://images.aqar.fm/webp/750x0/props/024554660_1784202712759.jpg | https://images.aqar.fm/webp/750x0/props/024554666_1784202741115.jpg | https://images.aqar.fm/webp/750x0/props/024554667_1784202749056.jpg | https://images.aqar.fm/webp/750x0/props/024554660_1784202755347.jpg | https://images.aqar.fm/webp/750x0/props/024554663_1784202761228.jpg,7,عبدالعزيز الزير,,,2026-07-16,2026-07-16,2026-07-22,30,2026-07-22
6735125,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-الغريسة-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6735125,"شقة للبيع في شارع الغريسة, حي إشبيلية, مدينة الرياض, منطقة الرياض",960000,158,4,3,2,0,حي اشبيلية,الرياض,شرق الرياض,"بسم الله الرحمن الرحيم 
شقه للبيع حي اشبيليا 
مساحة 146 م 
الدور الأول 
مصعد راكب 
البيع بدون سعي 
اتحاد ملاك مجاني اول سنه 
يوجد كافة الضمانات 
خدمات ما بعد البيع 
التفاصيل 
مجلس رجال و دورة مياه تخدم المجلس 
صالة 
مطبخ مع مستودع 
غرفتين نوم بحمام خارجي 
غرفة نوم ماستر 
يوجد كافة الضمانات 
يوجد كافة الاوراق 
التواصل ((الرقم يظهر عند الضغط على اتصال))",24.795288,46.792534,https://images.aqar.fm/webp/750x0/props/002174269_1781618268195.jpg | https://images.aqar.fm/webp/750x0/props/002174268_1781618267847.jpg | https://images.aqar.fm/webp/750x0/props/002174268_1781618267742.jpg | https://images.aqar.fm/webp/750x0/props/002174262_1781618268197.jpg | https://images.aqar.fm/webp/750x0/props/002174261_1781618268193.jpg | https://images.aqar.fm/webp/750x0/props/002174261_1781618268193.jpg | https://images.aqar.fm/webp/750x0/props/002174266_1781618268619.jpg | https://images.aqar.fm/webp/750x0/props/002174267_1781618268969.jpg | https://images.aqar.fm/webp/750x0/props/002174269_1781618268998.jpg | https://images.aqar.fm/webp/750x0/props/002174262_1781618269389.jpg | https://images.aqar.fm/webp/750x0/props/002174266_1781618269004.jpg | https://images.aqar.fm/webp/750x0/props/002174269_1781618269390.jpg | https://images.aqar.fm/webp/750x0/props/002174268_1781618269388.jpg | https://images.aqar.fm/webp/750x0/props/002174266_1781618269817.jpg | https://images.aqar.fm/webp/750x0/props/002174269_1781618268195.jpg | https://images.aqar.fm/webp/750x0/props/002174268_1781618267847.jpg | https://images.aqar.fm/webp/750x0/props/002174268_1781618267742.jpg | https://images.aqar.fm/webp/750x0/props/002174262_1781618268197.jpg | https://images.aqar.fm/webp/750x0/props/002174261_1781618268193.jpg | https://images.aqar.fm/webp/750x0/props/002174261_1781618268193.jpg | https://images.aqar.fm/webp/750x0/props/002174266_1781618268619.jpg | https://images.aqar.fm/webp/750x0/props/002174267_1781618268969.jpg | https://images.aqar.fm/webp/750x0/props/002174269_1781618268998.jpg | https://images.aqar.fm/webp/750x0/props/002174262_1781618269389.jpg | https://images.aqar.fm/webp/750x0/props/002174266_1781618269004.jpg | https://images.aqar.fm/webp/750x0/props/002174269_1781618269390.jpg | https://images.aqar.fm/webp/750x0/props/002174268_1781618269388.jpg | https://images.aqar.fm/webp/750x0/props/002174266_1781618269817.jpg,28,عائشه بنت سليمان بن عبدالله الطريم,مؤسسة سكن المعالي للعقارات,1,2026-06-16,2026-07-15,2026-07-22,52,2026-07-22
6424822,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-الضياء-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6424822,"شقة للبيع في شارع الضياء, حي الجنادرية, مدينة الرياض, منطقة الرياض",850000,225,6,,,0,حي الجنادرية,الرياض,شرق الرياض,"كود 1033
✨ تاون هاوس للبيع ✨       
     ✨حي الجنادريه ✨

                🔺

✨ المساحه 220 متر 
✨السعر 850 الف

               ( 6 غرف )

             🔻  علوي 🔻

يتكون من ⬇️

✨ مجلس ومقلط بحمام 
       ومغاسل 
✨ صاله بحمام ومغاسل
✨ مطبخ مغلق  

             🔻  الملحق 🔻

✨ 2 غرفه ماستر
✨ 2 غرفه بحمام ومغاسل
       خارجي 
✨ غرفه غسيل 
✨ سطح كبير  

          🔺 ملحوظات 🔺

🔺 حوش ومدخل سياره
🔺  درج جانبي
🔺  واجهه شماليه
🔺  تطل علي مسجد وحديقه 
🔺  شارع 15 متر
🔺 غرفه سائق 
🔺 تكييفات سبليت 
🔺 عداد كهرباء خاص
🔺 عداد مياه خاص 
🔺  مدخل خاص
🔺 خزانات سفلي وعلوي
 ✨ يوجد جميع الضمانات✨",24.850451,46.89658,https://images.aqar.fm/webp/750x0/props/002296384_1760518882823.jpg | https://images.aqar.fm/webp/750x0/props/002296388_1760518892357.jpg | https://images.aqar.fm/webp/750x0/props/002296389_1760518892380.jpg | https://images.aqar.fm/webp/750x0/props/002296380_1760518892370.jpg | https://images.aqar.fm/webp/750x0/props/002296387_1760518892340.jpg | https://images.aqar.fm/webp/750x0/props/002296387_1760518892308.jpg | https://images.aqar.fm/webp/750x0/props/002296386_1760518892295.jpg | https://images.aqar.fm/webp/750x0/props/002296386_1760518892301.jpg | https://images.aqar.fm/webp/750x0/props/002296388_1760518892297.jpg | https://images.aqar.fm/webp/750x0/props/002296386_1760518903231.jpg | https://images.aqar.fm/webp/750x0/props/002296382_1760518903222.jpg | https://images.aqar.fm/webp/750x0/props/002296384_1760518903246.jpg | https://images.aqar.fm/webp/750x0/props/002296381_1760518903230.jpg | https://images.aqar.fm/webp/750x0/props/002296388_1760518903209.jpg | https://images.aqar.fm/webp/750x0/props/002296386_1760518903243.jpg | https://images.aqar.fm/webp/750x0/props/002296386_1760518903251.jpg | https://images.aqar.fm/webp/750x0/props/002296386_1760518903242.jpg,17,هدى علي عشوي العنزي,شركة جسور الثقة العالمية العقارية,1,2025-10-15,2025-10-15,2026-07-21,121,2026-07-22
6771860,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-عنيزة-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6771860,"شقة للبيع في شارع عنيزة, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",1050000,263,6,4,2,9,حي ظهرة لبن,الرياض,غرب الرياض,"للبيع شقة دورين (دوبلكس) مساحة 263
دور أرضي ودور أول مدخلين
في بداية حي لبن 
كهرباء مستقل ماء مستقل
الشقة مؤجرة حالياً بـ (55000)
الشقة عليها رهن عقاري
السعر قابل للتفاوض",24.628327,46.565693,https://images.aqar.fm/webp/750x0/props/042180961_1783953759557.jpg,1,ناصر شائع سعيد ال غائب,مؤسسة أجواد نجد العقارية,1,2026-07-13,2026-07-13,2026-07-21,96,2026-07-22
6752299,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-عبدالله-التميمي-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6752299,"شقة للبيع في شارع عبدالله التميمي, حي القيروان, مدينة الرياض, منطقة الرياض",850000,116,3,2,1,0,حي القيروان,الرياض,شمال الرياض,"شقة للبيع في عمارة عمرها ٧ سنوات 
الموقع حي القيروان 
مواصفات الشقة : المساحة ١١٥.٦ م الدور الأرضي تتكون من مجلس وصالة ومطبخ وغرفتين نوم ودورتين مياه (أعزكم الله).
راكب مكيفات سبلت ومطبخ.
موقف خاص بالشقة.",24.825859,46.60326,https://images.aqar.fm/webp/750x0/props/019629633_1782730593356.jpg | https://images.aqar.fm/webp/750x0/props/019629635_1782730593346.jpg | https://images.aqar.fm/webp/750x0/props/019629639_1782730593356.jpg | https://images.aqar.fm/webp/750x0/props/019629630_1782730593394.jpg | https://images.aqar.fm/webp/750x0/props/019629634_1782730593388.jpg | https://images.aqar.fm/webp/750x0/props/019629634_1782730593574.jpg | https://images.aqar.fm/webp/750x0/props/019629631_1782730593651.jpg | https://images.aqar.fm/webp/750x0/props/019629631_1782730593650.jpg | https://images.aqar.fm/webp/750x0/props/019629635_1782730593717.jpg,9,فهد سعود محمد الصويلح,مؤسسة فهد سعود محمد الصويلح للعقارات,1,2026-06-29,2026-06-29,2026-07-22,1057,2026-07-22
6543630,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6543630,"شقة للبيع في حي الجنادرية, مدينة الرياض, منطقة الرياض",700000,96,3,4,2,0,حي الجنادرية,الرياض,شرق الرياض,"شقة دور ثاني للبيع – مع سطح أمامي ومصعد | مخطط غصون حي الجنادرية

المواصفات:
	•	مجلس
	•	صالة معيشة
	•	مطبخ
	•	مستودع
	•	3 غرف نوم
	•	4 دورات مياه
	•	سطح أمامي خاص
	•	مصعد راكب
      • خزان علوي وسفلي مستقل 
     • عداد كهرباء وماء مستقل

الضمانات:
	•	ضمان الهيكل الإنشائي من شركة التعاونية 10 سنوات
	•	ضمان المواسير الخضراء 15 سنة
	•	ضمان تأسيس الكهرباء 15 سنة
	•	ضمان الأفياش والمفاتيح 20 سنة
	•	ضمان أعمال البلاط والألمنيوم والأبواب 5 سنوات

السعر المطلوب: 700,000 ريال",24.84603,46.897436,https://images.aqar.fm/webp/750x0/props/049810376_1768909596787.jpg | https://images.aqar.fm/webp/750x0/props/049810377_1768909596788.jpg | https://images.aqar.fm/webp/750x0/props/049810373_1768909608417.jpg | https://images.aqar.fm/webp/750x0/props/049810371_1768909614650.jpg | https://images.aqar.fm/webp/750x0/props/049810373_1768909624158.jpg | https://images.aqar.fm/webp/750x0/props/049810378_1768909633024.jpg,6,عبدالله صالح,شركة تطبيق ديل العقارية,1,2026-01-12,2026-07-19,2026-07-21,217,2026-07-22
6609072,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اليرموك/شارع-الخضراء-حي-اليرموك-مدينة-الرياض-منطقة-الرياض-6609072,"شقة للبيع في شارع الخضراء, حي اليرموك, مدينة الرياض, منطقة الرياض",940000,85,3,3,1,0,حي اليرموك,الرياض,شرق الرياض,"ملحق فيلا حديدة زاويه فيلا ٢
شقه ملحق مع ٢ سطح 
مودرن تصميم عصري
حي اليرموك موقع مميز
واجهه شرقيه
البيع ٩٤٠ الف 

المساحه الاجماليه ٢١١ متر 
مسطح البناء ٨٦ متر 
اجزاء خاصه ١٢٥ متر ( ٢ سطح )

التفصيل
مدخل 
صاله . غرفه رئيسية ( ملحق بها دورة مياه ) . ٢ غرف نوم . مطبخ . ٣ دورات مياه 
إمكانية إنشاء مجلس خارجي
مؤسس ٢ دورة مياه كرمتم

المميزات
خزان ارضي مستقل
خزان علوي مستقل 
عداد كهرباء مستقل 
عداد مياه مستقل 

قريب من الطرق الرئيسيه ( الشيخ جابر و الدمام و الملك عبدالله و المطار )

راكب مكيفات مركزي و سبليت
دخول ذكي للأبواب خوارزم انتر كم
تمديدات خضراء دورات مياه مخفيه أبواب غملاس Wpc بورسلين تكيف كونسيلت و بيت الجليد


الضمانات
تمديدات كهرباء ٢٥ سنه
تمديدات سباكه ١٠ سنوات
أبواب داخليه ١٠ سنوات
ضمان هيكل انشائي ملاذ
عزل مائي و حراري ١٠ سنوات
ضمان اضاءه و مصاعد ٢ سنه
وفقكم الله

مؤسسة ثاه العقاريه
ابو محمد ((رقم المعلن يظهر عند التواصل))
نوفر لكم تخليص اجراءات البنوك و حلول بنكيه 
نسعد بخدمتكم",24.814882,46.802521,https://images.aqar.fm/webp/750x0/props/048378648_1772305958601.jpg | https://images.aqar.fm/webp/750x0/props/048378645_1772305959069.jpg | https://images.aqar.fm/webp/750x0/props/048378643_1772305959149.jpg | https://images.aqar.fm/webp/750x0/props/048378645_1772305959318.jpg | https://images.aqar.fm/webp/750x0/props/048378648_1772305959535.jpg | https://images.aqar.fm/webp/750x0/props/048378641_1772305959728.jpg | https://images.aqar.fm/webp/750x0/props/048378646_1772305959920.jpg | https://images.aqar.fm/webp/750x0/props/048378642_1772305960171.jpg | https://images.aqar.fm/webp/750x0/props/048378643_1772305960447.jpg | https://images.aqar.fm/webp/750x0/props/048378640_1772305960670.jpg | https://images.aqar.fm/webp/750x0/props/048378641_1772305960971.jpg | https://images.aqar.fm/webp/750x0/props/048378647_1772305961205.jpg | https://images.aqar.fm/webp/750x0/props/048378647_1772305961469.jpg | https://images.aqar.fm/webp/750x0/props/048378649_1772305961608.jpg | https://images.aqar.fm/webp/750x0/props/048378649_1772305961992.jpg | https://images.aqar.fm/webp/750x0/props/048378640_1772305962110.jpg,16,وداد بنت حمدان بن عبيد الشمراني,مؤسسة ثاه العقارية,1,2026-02-28,2026-06-25,2026-07-21,156,2026-07-22
6774001,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-العماسية-حي-ظهرة-لبن-مدينة-الرياض-منطقة-الرياض-6774001,"شقة للبيع في شارع العماسية, حي ظهرة لبن, مدينة الرياض, منطقة الرياض",900000,128,3,3,1,0,حي ظهرة لبن,الرياض,غرب الرياض,"📍 عليه لا قربه — على الدائري الغربي مباشرة، كل شي على بُعد دقيقة

السلطان ريزيدنس 82 — لبن الشرقي

مو قريب من الطريق… عليه. على الدائري الغربي (مخرج 33) وتقاطع طريق مكة مباشرة.

⏱️ من بابك:

- الدائري الغربي — دقيقة

- طريق مكة المكرمة — دقيقة

- حي السفارات (الدبلوماسي) — 7 دقائق

- وسط الرياض — 8 دقائق

- جامعة الملك سعود — 12 دقيقة

الوقت في الرياض أغلى من المتر — والموقع يرجّع لك وقتك كل يوم.

🏠 الوحدة: 126م² · غرفتين + صالة · مطبخ · 3 دورات مياه · غرفة غسيل وتحضير · موقف — بـ900,000 ريال.

💵 خصم كاش يصل إلى 10٪ للدفع النقدي خلال مرحلة الإنشاء — احجز الحين وسعرك أقل.

🏗️ تشطيبات نهائية — عاين واحجز.

🏛️ مرافق كاملة: مسبح داخلي · سينما · نادٍ ومجلس (منفصل) · مصلّى · أطفال · مراقبة 24/7.

✅ ضمانات التعاونية.

الموقع اللي تختصر منه الرياض كلها.

خصم خاص للكاش",24.633515,46.582607,https://images.aqar.fm/webp/750x0/props/033379805_1784051743029.png | https://images.aqar.fm/webp/750x0/props/033379808_1784051927084.jpg | https://images.aqar.fm/webp/750x0/props/033379805_1784051927085.jpg | https://images.aqar.fm/webp/750x0/props/033379803_1784051927084.jpg | https://images.aqar.fm/webp/750x0/props/033379800_1784051927098.jpg | https://images.aqar.fm/webp/750x0/props/033379808_1784051927089.jpg | https://images.aqar.fm/webp/750x0/props/033379805_1784052080385.jpg | https://images.aqar.fm/webp/750x0/props/033379809_1784052080377.jpg | https://images.aqar.fm/webp/750x0/props/033379809_1784052080397.jpg | https://images.aqar.fm/webp/750x0/props/033379807_1784052080398.jpg | https://images.aqar.fm/webp/750x0/props/033379800_1784052080400.jpg | https://images.aqar.fm/webp/750x0/props/033379803_1784052080419.jpg,12,محمد حامد,شركة بنائات العقارية المحدودة,1,2026-07-14,2026-07-14,2026-07-22,63,2026-07-22
6565354,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6565354,"شقة للبيع في شارع السيل الكبير, حي المهدية, مدينة الرياض, منطقة الرياض",850000,133,3,,,0,حي المهدية,الرياض,غرب الرياض,شركة نوس العقارية بأستقبال طلباتكم ونقوم بخدمتكم باسرع وقت ممكن - فلل -ادوار - دوبلكسات - بتصاميم فاخرة وعصرية - مودرن - كلاسك - نوكلاسك - وكما يتوفر لدينا جميع الحلول التمويلة - ويوجد لدينا موظفين مختصين بالحسبة على جميع البنوك - والله ولي التوفيق . للتواصل /((رقم المعلن يظهر عند التواصل)),24.660535,46.519575,https://images.aqar.fm/webp/750x0/props/050042397_1769548242952.jpg | https://images.aqar.fm/webp/750x0/props/050042392_1769548242940.jpg | https://images.aqar.fm/webp/750x0/props/050042397_1769548242937.jpg | https://images.aqar.fm/webp/750x0/props/050042397_1769548242926.jpg | https://images.aqar.fm/webp/750x0/props/050042391_1769548242926.jpg | https://images.aqar.fm/webp/750x0/props/050042392_1769548242930.jpg | https://images.aqar.fm/webp/750x0/props/050042396_1769548242931.jpg | https://images.aqar.fm/webp/750x0/props/050042397_1769548291957.jpg | https://images.aqar.fm/webp/750x0/props/050042391_1769548291956.jpg | https://images.aqar.fm/webp/750x0/props/050042391_1769548291963.jpg | https://images.aqar.fm/webp/750x0/props/050042391_1769548291944.jpg | https://images.aqar.fm/webp/750x0/props/050042395_1769548291971.jpg | https://images.aqar.fm/webp/750x0/props/050042398_1769548291964.jpg | https://images.aqar.fm/webp/750x0/props/050042399_1769548291966.jpg | https://images.aqar.fm/webp/750x0/props/050042390_1769548291970.jpg,15,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2026-01-27,2026-01-30,2026-07-22,23,2026-07-22
6702091,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-الأمير-فيصل-بن-عبدالله-بن-عبدالرحمن-حي-حطين-مدينة-الرياض-منطقة-الرياض-6702091,"شقة للبيع في شارع الأمير فيصل بن عبدالله بن عبدالرحمن, حي حطين, مدينة الرياض, منطقة الرياض",1415000,87,2,2,1,0,حي حطين,الرياض,شمال الرياض,شقة فاخرة بحي حطين 2 غرف نوم - 2 دوراة مياه - صالة - مطبخ - مؤثثه,24.767933,46.579562,https://images.aqar.fm/webp/750x0/props/028345198_1779101696814.jpg | https://images.aqar.fm/webp/750x0/props/028345196_1779101691665.jpg | https://images.aqar.fm/webp/750x0/props/028345191_1779101701847.jpg | https://images.aqar.fm/webp/750x0/props/028345194_1779101707904.jpg | https://images.aqar.fm/webp/750x0/props/028345196_1779101713485.jpg | https://images.aqar.fm/webp/750x0/props/028345196_1779101717549.jpg | https://images.aqar.fm/webp/750x0/props/028345194_1779101724840.jpg | https://images.aqar.fm/webp/750x0/props/028345197_1779101730120.jpg | https://images.aqar.fm/webp/750x0/props/028345190_1779101738403.jpg | https://images.aqar.fm/webp/750x0/props/028345192_1779101746148.jpg | https://images.aqar.fm/webp/750x0/props/028345194_1779101751746.jpg,11,مشعل خالد,شركة مشراق طويق العقارية,1,2026-05-18,2026-07-15,2026-07-21,61,2026-07-22
