listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped
6670213,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-الضباط/شارع-ابن-الغزال-حي-الضباط-مدينة-الرياض-منطقة-الرياض-6670213,"شقة للبيع في شارع ابن الغزال, حي الضباط, مدينة الرياض, منطقة الرياض",700000,225,3,1,0,0,حي الضباط,الرياض,وسط الرياض,"للبيع شقة جديده 76 م  موقع استثماري بجانب محطة المترو 
مؤجره ب 53 الف 
غرفتيين وصاله 
اسبيلت ومطبخ راكب",24.667914,46.720371,,,فراج سعود,مكتب وادي المياه للعقارات,1,2026-04-26,2026-07-22,2026-07-22,3864,2026-07-22
6779142,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-اليمامة/شارع-سعيد-بن-نافع-حي-اليمامة-الرياض-منطقة-الرياض-6779142,شقة للبيع في شارع سعيد بن نافع ، حي اليمامة ، الرياض ، منطقة الرياض,320000,60,3,2,1,5,حي اليمامة,الرياض,وسط الرياض,"شقة دور ارضي 
حي اليمامة 
٣ غرف و٢ حمام ومطبخ وصالة 
مؤجرة حاليا ،  استثمار مضمون 
عداد الكهرباء مستقل 
عداد المياه بالاشتراك مع العمارة",24.597502,46.716648,https://images.aqar.fm/webp/750x0/props/029047892_1784377576434.jpg,1,معتز رشدى محمد اسماعيل,,,2026-07-18,,2026-07-21,27,2026-07-22
6688678,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-الفاروق/شارع-ممر15-حي-الفاروق-مدينة-الرياض-منطقة-الرياض-6688678,"شقة للبيع في شارع ممر15, حي الفاروق, مدينة الرياض, منطقة الرياض",850000,91,3,3,2,0,حي الفاروق,الرياض,وسط الرياض,"تعلن شركة افلاك العالمية للتطوير والاستثمار العقاري عن البيع في مشروعها بحي الفاروق خلف الدائري الشرقي خلف ايكيا 
شقق سكنيه بمساحات تبدا 171 
تفاصيل المشروع : 
شقة السكنيه من مدخلين ، مدخل للمجلس والصاله ومدخل خاص بغرفة النوم الماستر مع الحديقه الخاصه بغرفة النوم ،
مكونات الشقه : 
مجلس مع صاله جانبيه مكيفه مجهز  مخفي 5 طن   ، مطبخ مفتوح على الصاله حوش امامي بمساحة كبيره ،  ،3 غرف نوم ، 3 دورات مياة ،   مصعد خارجي ، مع درج جانبي . خصوصيه في الشقه ، سمارت هوم للمداخل ، موقف سياره خاص . عداد مياه مستقل مع خزان ارضي مستقل وكذلك علوي ، عداد كهرب مستقل ، جميع الكهرباء شركة الفنار ، تأمين المبنى شركة التعاونيه للتامين 
مداخل الادوار السفليه للسطح مداخل مستقله وبعيدا عن الشقه 
ممن احد المزايا ، السباكه شركة الأنابيب الخضراء ، 
سعر الشقه مبلغ 850000
للاستفسار اكثر",24.653417,46.786887,https://images.aqar.fm/webp/750x0/props/033988737_1778920744115.jpg | https://images.aqar.fm/webp/750x0/props/033988731_1778920835764.jpg | https://images.aqar.fm/webp/750x0/props/033988732_1778920872067.jpg | https://images.aqar.fm/webp/750x0/props/033988739_1778920886388.jpg | https://images.aqar.fm/webp/750x0/props/033988734_1778920907716.jpg | https://images.aqar.fm/webp/750x0/props/033988736_1778920928785.jpg,6,منيف ملفى نامي,شركة افلاك العالميه للتطوير والاستثمار العقاري,1,2026-05-09,2026-05-09,2026-07-21,1171,2026-07-22
6756492,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-المربع/شارع-السعادة-حي-المربع-مدينة-الرياض-منطقة-الرياض-6756492,"شقة للبيع في شارع السعادة, حي المربع, مدينة الرياض, منطقة الرياض",1300000,107,2,,3,0,حي المربع,الرياض,وسط الرياض,"شقة فاخرة للايجار
حي : المربع
الشارع : طريق الملك فهد
الدور : الثاني
رقم الشقة :MS-02-01
تتكون من :
غرفتين نوم ماستر +صالة + مطبخ راكب + 3 دورة مياه
* مكيفات سبليت
* مصعد خاص

المميزات
- مصعد
مسبح مطل - - مواقف خاصة
عقد الوساطة : (6200940836)
رقم المعلن :7200997655
*
لمزيد من التفاصيل والعروض نرجو التواصل معنا
على رقم مسؤول التأجير :
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.65334,46.702903,https://images.aqar.fm/webp/750x0/props/053359639_1782991522459.jpg | https://images.aqar.fm/webp/750x0/props/053359633_1782991576434.jpg | https://images.aqar.fm/webp/750x0/props/053359630_1782991576448.jpg | https://images.aqar.fm/webp/750x0/props/053359631_1782991576450.jpg | https://images.aqar.fm/webp/750x0/props/053359633_1782991576450.jpg | https://images.aqar.fm/webp/750x0/props/053359636_1782991576435.jpg | https://images.aqar.fm/webp/750x0/props/053359630_1782991576451.jpg | https://images.aqar.fm/webp/750x0/props/053359638_1782991576438.jpg | https://images.aqar.fm/webp/750x0/props/053359632_1782991576442.jpg | https://images.aqar.fm/webp/750x0/props/053359636_1782991576460.jpg | https://images.aqar.fm/webp/750x0/props/053359635_1782991576474.jpg | https://images.aqar.fm/webp/750x0/props/053359636_1782991576464.jpg,12,مدين علي,شركة لوكسورا,1,2026-07-02,2026-07-02,2026-07-21,50,2026-07-22
6579612,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-جرير/شارع-طريق-النهضة-حي-جرير-مدينة-الرياض-منطقة-الرياض-6579612,"شقة للبيع في شارع طريق النهضة, حي جرير, مدينة الرياض, منطقة الرياض",1150000,120,2,1,2,1,حي جرير,الرياض,وسط الرياض,"للبيــــــــع شقه مفروشة في مشروع مكين في حي  جرير 
مساحه 120م 
راكب مطبخ ومكيفات 
الموصفات 
غرفتين نوم ماستر وصالة ومطبخ 
الدور الأول شقه رقم 6
يوجد نادي ومسبح ولاونج 
البيــــــــــــــــع مليون 150الف",24.679302,46.757264,,,محمد بن جايد بن محمد الدوسري,مؤسسة أركان الأوائل للمقاولات عامة,1,2026-02-07,2026-02-07,2026-07-21,711,2026-07-22
6675965,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-المربع/شارع-الملك-فيصل-ابن-عبدالعزيز-سعود-حي-المربع-مدينة-الرياض-منطقة-الرياض-6675965,"شقة للبيع في شارع الملك فيصل ابن عبدالعزيز سعود, حي المربع, مدينة الرياض, منطقة الرياض",1250000,177,5,,,11,حي المربع,الرياض,وسط الرياض,"لتواصل الوسيط العقاري عبدالعزيز حسن :0530879307
شقة للبيع في حي المربع بمساحة 177م، تصميم مميز يجمع بين استديو مفصول وشقة واسعة تضم 5 غرف نوم وصالة كبيرة ومطبخ مع مستودع خاص. تتميز الشقة بمواقف في القبو وخدمة حراسة 24 ساعة. مميزات الموقع: * على طريق الملك فيصل * تبعد 3 دقائق عن المترو * دقيقة واحدة عن محطة الباصات * موقع حيوي قريب من الخدمات فرصة مناسبة للباحثين عن المساحات الواسعة والسكن في موقع استراتيجي داخل حي المربع.",24.665811,46.702411,https://images.aqar.fm/webp/750x0/props/001112561_1777534238246.png | https://images.aqar.fm/webp/750x0/props/001112564_1777534251699.png | https://images.aqar.fm/webp/750x0/props/001112565_1777534251690.png | https://images.aqar.fm/webp/750x0/props/001112566_1777534251693.png | https://images.aqar.fm/webp/750x0/props/001112561_1777534251706.png | https://images.aqar.fm/webp/750x0/props/001112568_1777534251698.png | https://images.aqar.fm/webp/750x0/props/001112561_1777534251699.png | https://images.aqar.fm/webp/750x0/props/001112565_1777534251710.png | https://images.aqar.fm/webp/750x0/props/001112560_1777534251702.png | https://images.aqar.fm/webp/750x0/props/001112562_1777534251721.png | https://images.aqar.fm/webp/750x0/props/001112568_1777534251707.png | https://images.aqar.fm/webp/750x0/props/001112561_1777534251717.png | https://images.aqar.fm/webp/750x0/props/001112562_1777534251710.png | https://images.aqar.fm/webp/750x0/props/001112561_1777534251711.png | https://images.aqar.fm/webp/750x0/props/001112567_1777534251721.png,15,همدان بن احمد بن هادي الكثيري,شركة الياسمين لإدارة و تطوير العقارات,1,2026-04-30,2026-06-27,2026-07-22,1774,2026-07-22
6762896,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-الفاروق/شارع-جبل-متالع-حي-الفاروق-مدينة-الرياض-منطقة-الرياض-6762896,"شقة للبيع في شارع جبل متالع, حي الفاروق, مدينة الرياض, منطقة الرياض",740000,109,4,3,2,0,حي الفاروق,الرياض,وسط الرياض,,24.65423,46.765461,https://images.aqar.fm/webp/750x0/props/000003960_1783715914812.jpg | https://images.aqar.fm/webp/750x0/props/000003963_1783715990852.jpg | https://images.aqar.fm/webp/750x0/props/000003967_1783715990851.jpg | https://images.aqar.fm/webp/750x0/props/000003963_1783715990853.jpg | https://images.aqar.fm/webp/750x0/props/000003968_1783715990856.jpg | https://images.aqar.fm/webp/750x0/props/000003967_1783769825994.jpg | https://images.aqar.fm/webp/750x0/props/000003967_1783769825992.jpg | https://images.aqar.fm/webp/750x0/props/000003968_1783769826129.jpg | https://images.aqar.fm/webp/750x0/props/000003965_1783769826159.jpg | https://images.aqar.fm/webp/750x0/props/000003962_1783769826254.jpg | https://images.aqar.fm/webp/750x0/props/000003963_1783769826347.jpg | https://images.aqar.fm/webp/750x0/props/000003962_1783769826441.jpg,12,يزيد محمد,,,2026-07-06,2026-07-06,2026-07-22,352,2026-07-22
6775457,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-المربع/شارع-عبداللطيف-الخيمي-حي-المربع-مدينة-الرياض-منطقة-الرياض-6775457,"شقة للبيع في شارع عبداللطيف الخيمي, حي المربع, مدينة الرياض, منطقة الرياض",1300000,177,3,0,0,11,حي المربع,الرياض,وسط الرياض,"للبيع شقة بحالة ممتازة في حي المربع، مساحة 177م²، مدخلان، 3 غرف نوم، 3 دورات مياه، مجلس، صالة، مطبخ، موقع مميز قريب من الخدمات والطرق الرئيسية

للتواصل:
((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال))",24.660085,46.708101,https://images.aqar.fm/webp/750x0/props/023119837_1784128214717.jpg | https://images.aqar.fm/webp/750x0/props/023119836_1784128214720.jpg,2,عليا بنت موسى احمد طوهري,,,2026-07-15,2026-07-15,2026-07-22,284,2026-07-22
6465361,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-ثليم/شارع-طريق-المدينة-المنورة-حي-المرقب-مدينة-الرياض-منطقة-الرياض-6465361,"شقة للبيع في شارع طريق المدينة المنورة, حي المرقب, مدينة الرياض, منطقة الرياض",350000,94,5,1,0,11,حي ثليم,الرياض,وسط الرياض,"شقة للبيع 
تتكون من عرفة كبيرة ودورة مياه 
الشقة في منطقة حيوية 

المبلغ المطلوب ٣٥٠ الف. غير شامل للضريبة والسعي

يسعدنا في ومضاء استقبال اتصالاتكم والرد على استفساراتكم ..
لا تترددوا  بالتواصل معنا .",24.639334,46.735584,https://images.aqar.fm/webp/750x0/props/000715577_1762983155925.jpg | https://images.aqar.fm/webp/750x0/props/000715578_1762983171467.jpg,2,خالد سليمان علي العقل,مؤسسة رمضاء العقارية,1,2025-11-12,2025-11-12,2026-07-21,9265,2026-07-22
6698321,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-اليمامة/شارع-وادي-الانيعم-حي-اليمامة-الرياض-منطقة-الرياض-6698321,"شقة للبيع في شارع وادي الانيعم, حي اليمامة, مدينة الرياض, منطقة الرياض",350000,99,2,2,1,11,حي اليمامة,الرياض,وسط الرياض,"شقة للبيع – حي اليمامة

* من المالك مباشرة (بدون سعي)
* قريبة من سوق عتيقة
* مرممة
* دور أرضي
* المساحة: 99.88 م²
* عداد كهرباء مستقل
* مؤجرة حاليًا بـ 1,500 ريال شهريًا حتى 2027/1/31
* مستأجر ملتزم، وإمكانية التفاهم للإخلاء للراغب بالسكن

مكونات الشقة:
صالة + غرفتين + مطبخ + دورتين مياه
(إحدى الغرف مع دورة مياه مستقلة)

السعر:
350,000 ريال (بدون الضريبة)
للتواصل واتساب",24.601204,46.712246,https://images.aqar.fm/webp/750x0/props/020101213_1780303820361.jpg,1,عبدالله عبدالرحمن,,,2026-05-15,2026-05-15,2026-07-21,2433,2026-07-22
