listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped
6700181,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-الشويعر-الكناني-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6700181,"شقة للبيع في شارع الشويعر الكناني, حي النسيم الشرقي, مدينة الرياض, منطقة الرياض",641478,133,4,3,1,0,حي النسيم الشرقي,الرياض,شرق الرياض,"🏡 شركة سكن المعالى العقارية – فرع شرق الرياض
تقدم لعملائها الكرام أحدث عروضها المميزة شرق الرياض – حي النسيم 📍
✨ شقة مميزة بتصميم عملي وموقع حيوي
تتكون من:
🛋️ صالة واسعة
🍽️ مطبخ
🛏️ 3 غرف نوم
👑 غرفة ماستر
📍 مميزات العقار:
✔ قريب من كافة الخدمات
✔ قريب من مسجد
✔ خزانات مستقلة
✔ عدادات مستقلة
✔ شهادة إتمام بناء
✔ ضمان الهيكل الإنشائي
✔ ضمانات شاملة
💰 طرق الدفع:
✔ كاش أو عن طريق البنك
🏢 مميزات الشركة:
▫️ تخليص جميع المعاملات العقارية البنكية
▫️ تسديد المديونية وتوفير الدفعة المقدمة
▫️ توحيد الأقساط بقسط واحد
▫️ إمكانية التضامن للحصول على العقار المناسب
▫️ نقبل مستفيدي الدعم السكني والصندوق
▫️ تمويل الأجانب المقيمين من البنوك وشركات التمويل
📞 للتواصل والاستفسار:
0509040806",24.731006,46.843863,https://images.aqar.fm/webp/750x0/props/001829025_1779000352655.jpg | https://images.aqar.fm/webp/750x0/props/001829029_1779000352665.jpg | https://images.aqar.fm/webp/750x0/props/001829023_1779000352659.jpg | https://images.aqar.fm/webp/750x0/props/001829023_1779000352652.jpg | https://images.aqar.fm/webp/750x0/props/001829021_1779000352666.jpg | https://images.aqar.fm/webp/750x0/props/001829025_1779000352670.jpg | https://images.aqar.fm/webp/750x0/props/001829028_1779000352668.jpg,7,عائشه بنت سليمان بن عبدالله الطريم,مؤسسة سكن المعالي للعقارات,1,2026-05-17,2026-07-14,2026-07-22,182,2026-07-22
6545997,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-غياث-ابن-فارس-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6545997,"شقة للبيع في شارع غياث ابن فارس, حي الرمال, مدينة الرياض, منطقة الرياض",650000,74,4,,,0,حي الرمال,الرياض,شرق الرياض,"للبيع شقه مع سطح خاص 
مصعد راكب عداد مستقل 
مدخلين 
مجلس دورة مياه صاله 
مطبخ 3 غرف نوم 1 ماستر",24.883825,46.830478,https://images.aqar.fm/webp/750x0/props/026788090_1768372326787.jpg,1,ناصر صالح عبيد المطيري,,,2026-01-14,2026-01-14,2026-07-21,377,2026-07-22
6703195,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-قرطبة/شارع-عبدالله-بن-إبراهيم-بن-سيف-حي-قرطبة-الرياض-منطقة-الرياض-6703195,"شقة للبيع في شارع عبدالله بن ابراهيم بن سيف, حي قرطبة, مدينة الرياض, منطقة الرياض",1150000,90,2,3,1,3,حي قرطبة,الرياض,شرق الرياض,"شقة مجددة بالكامل للبيع 📍 
مجمع مكين30–حي قرطبة

• شقة داخل مجمع سكني هادئ ومتكامل
• المساحة:90م² (إجمالي153م²)
• تصميم عملي وتشطيبات راقية

المواصفات:
• غرفتان نوم (ماستر مع فناء خاص)
• مطبخ حديث من ايكيا مجهز بالكامل
• غرفة غسيل مؤثثة
• 3 دورات مياه
• مكيفات سبليت
• صالة واسعة للمعيشة والطعام
• دخول ذكي (بصمة+رقم سري)
•إنتركوم مع كاميرا
• باب خارجي خاص للمبنى (بصمة + رقم سري)
• موقف سيارة خاص بمظلة

المرافق:
• مسبح+نادي رياضي (يوجد أيام مخصصه للعوائل )
• منطقة ألعاب أطفال
• لاونج : يتيح اللاونج ايضًا خدمة اسقبال مناسباتكم واجتماعاتكم الشخصية، ويتسع لأكثر من 25 شخص بدون أي رسوم إضافية.

الموقع:
• دقيقتين من بارك أفنيو مول
• باص نقل ترددي للمترو
• 8 دقائق لمحطة سابك
⸻
Fully Renovated Apartment for Sale
 📍Makin30–
Qurtubah

• Quiet fully serviced compound
• Size:90sqm (Total153sqm)

Features:
• 2bedrooms (master with patio)
• Fully equipped IKEA kitchen
• Laundry room
• 3bathrooms
• Split AC
• Spacious living area
• Smart access
• Intercom with camera
• Private door for the building 
• Private shaded parking

Facilities:
• Pool+Gym (‏designated family days available)
• Kids area
• Lounge : The lounge also welcomes your personal events and meetings, accommodating more than 25 guests at no additional charge.

Location:
• 2mins Park Avenue Mall
• Shuttle to metro
• 8mins SABIC Station",24.831718,46.741264,https://images.aqar.fm/webp/750x0/props/017066648_1779140828738.jpg | https://images.aqar.fm/webp/750x0/props/017066643_1779140828761.jpg | https://images.aqar.fm/webp/750x0/props/017066642_1779140828753.jpg | https://images.aqar.fm/webp/750x0/props/017066642_1779140828751.jpg | https://images.aqar.fm/webp/750x0/props/017066648_1779140828741.jpg | https://images.aqar.fm/webp/750x0/props/017066647_1779140828752.jpg | https://images.aqar.fm/webp/750x0/props/017066642_1779140828742.jpg | https://images.aqar.fm/webp/750x0/props/017066643_1779141584878.jpg | https://images.aqar.fm/webp/750x0/props/017066645_1779141583893.jpg | https://images.aqar.fm/webp/750x0/props/017066645_1779141584869.jpg | https://images.aqar.fm/webp/750x0/props/017066645_1779141584684.jpg | https://images.aqar.fm/webp/750x0/props/017066648_1779141584507.jpg | https://images.aqar.fm/webp/750x0/props/017066645_1779142121020.jpg | https://images.aqar.fm/webp/750x0/props/017066641_1779142121024.jpg | https://images.aqar.fm/webp/750x0/props/017066644_1779142337669.jpg | https://images.aqar.fm/webp/750x0/props/017066644_1779142337681.jpg | https://images.aqar.fm/webp/750x0/props/017066647_1779142337670.jpg | https://images.aqar.fm/webp/750x0/props/017066643_1779142337694.jpg | https://images.aqar.fm/webp/750x0/props/017066643_1779142337695.jpg | https://images.aqar.fm/webp/750x0/props/017066646_1779142337685.jpg,20,منى بن سعيد,,,2026-05-18,2026-05-19,2026-07-21,586,2026-07-22
6726388,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-الامام-عبدالله-بن-سعود-بن-عبدالعزيز-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6726388,"شقة للبيع في شارع الامام عبدالله بن سعود بن عبدالعزيز, حي القادسية, مدينة الرياض, منطقة الرياض",820000,151,3,0,0,4,حي القادسية,الرياض,شرق الرياض,"*🏷️شقة للبيع في حي القادسية*

* الدور الأول
* مجلس
* صالة
* مطبخ
* 3 غرف نوم (منها غرفة ماستر)
* 3 دورات مياه
* بلكونة
* ⁠المساحة 151 م
* موقف سيارة خاص
* دخول ذكي

*السعر: 850,000 ريال*

الموقع 📍
https://maps.app.goo.gl/DZAipLN4LoucJeEs7?g_st=ic

مناسبة للسكن العائلي بتصميم عملي ومواصفات حديثة",24.812291,46.817307,https://images.aqar.fm/webp/750x0/props/050606601_1781034487149.jpg | https://images.aqar.fm/webp/750x0/props/050606605_1781034582626.jpg | https://images.aqar.fm/webp/750x0/props/050606607_1781034582620.jpg | https://images.aqar.fm/webp/750x0/props/050606600_1781034582634.jpg | https://images.aqar.fm/webp/750x0/props/050606601_1781034582620.jpg | https://images.aqar.fm/webp/750x0/props/050606605_1781034582627.jpg | https://images.aqar.fm/webp/750x0/props/050606602_1781034582510.jpg | https://images.aqar.fm/webp/750x0/props/050606604_1781034582624.jpg | https://images.aqar.fm/webp/750x0/props/050606600_1781034582632.jpg,9,فيصل السلمان,مؤسسة فيصل عبدالملك سلمان السلمان للعقارات,1,2026-06-09,2026-07-09,2026-07-22,212,2026-07-22
6761420,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-محمد-بن-الربيع-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6761420,"شقة للبيع في شارع محمد بن الربيع, حي إشبيلية, مدينة الرياض, منطقة الرياض",1300000,115,3,,,3,حي اشبيلية,الرياض,شرق الرياض,"الشقق من تطوير شركة اسس 
المساحه 185 م
وعمرها 4 سنوات 
وعليها بنك 
والمطلوب 1300000
التفاصيل 3 غرف نوم وحده ماستر 
ومجلس وصاله ومستودع ومطبخ وحوش 
عدد دورات المياه 3 مع الغرفه المستر",24.800559,46.81161,,,عبدالرحمن بن ابراهيم بن سعد بن مصيليخ,مؤسسة تلال العاذرية,1,2026-07-05,2026-07-05,2026-07-22,14,2026-07-22
6676322,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-عبدالله-بن-قيس-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6676322,"شقة للبيع في شارع عبدالله بن قيس, حي إشبيلية, مدينة الرياض, منطقة الرياض",1045000,132,3,3,2,0,حي اشبيلية,الرياض,شرق الرياض,"تعلن اختصار العقارية
شقة  للبيع في  شرق الرياض 
فرصة مميزة لامتلاك شقة بموقع استراتيجي وتصميم عصري
المواصفات
الموقع حي المونسية  هادئ ومميز  بشرق الرياض قريب من كافة الخدمات

مصعد

مجلس 
صاله 
مطبخ
مستودع
ثلاث غرف
ثلاث دورات مياه

القرب من الخدمات:مدارس مساجدمراكز تسوق مستشفيات

السعر        1045000

البيع بدون سعي 


للتواصل والاستفسار

0541912706 

لا تفوّت الفرصة تواصل معنا لترتيب موعد للمعاينه",24.794804,46.795306,https://images.aqar.fm/webp/750x0/props/009364401_1777554808820.jpg | https://images.aqar.fm/webp/750x0/props/009364408_1777554808973.jpg | https://images.aqar.fm/webp/750x0/props/009364403_1777554808336.jpg | https://images.aqar.fm/webp/750x0/props/009364401_1777554808053.jpg | https://images.aqar.fm/webp/750x0/props/009364401_1777554808152.jpg | https://images.aqar.fm/webp/750x0/props/009364404_1777554808188.jpg | https://images.aqar.fm/webp/750x0/props/009364400_1777554808339.jpg | https://images.aqar.fm/webp/750x0/props/009364403_1777554808414.jpg | https://images.aqar.fm/webp/750x0/props/009364404_1777554808556.jpg | https://images.aqar.fm/webp/750x0/props/009364409_1777554808553.jpg | https://images.aqar.fm/webp/750x0/props/009364406_1777554808635.jpg | https://images.aqar.fm/webp/750x0/props/009364407_1777554808755.jpg,12,احمد شريف رزق السلمي,مؤسسة مكتب اختصار البناء للعقارات,1,2026-04-30,2026-06-27,2026-07-22,58,2026-07-22
6784348,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-اشبيلية/شارع-قلعة-الفسطاط-حي-إشبيلية-مدينة-الرياض-منطقة-الرياض-6784348,"شقة للبيع في شارع قلعة الفسطاط, حي إشبيلية, مدينة الرياض, منطقة الرياض",760000,87,3,0,0,2,حي اشبيلية,الرياض,شرق الرياض,"مشروع ديم بريميوم اشبيليا
* العمارة D
* الدور الثالث
* رقم الشقة: 14
* مساحة الشقة : 108
* ⁠مؤثثه
* صالة
* مطبخ 
* ٣ غرف نوم (وحدة منها ماستر)
* ٢ دورات مياه
* موقف خاص بمظلة
✨مطبخ ومكيفات وأجهزة راكبة (فرن - براده مياه  - ثلاجة - غسالة ملابس - شفاط)✨


المساحه بالصك ٨٧ والفعليه ١٠٨ 
عليه رهن تقريباً٦٦٠
الراجحي 

🧨🧨🧨البيع مع الاثاث🧨🧨🧨",24.792551,46.793737,https://images.aqar.fm/webp/750x0/props/017078270_1784654777708.jpg | https://images.aqar.fm/webp/750x0/props/017078271_1784654777710.jpg | https://images.aqar.fm/webp/750x0/props/017078276_1784654777703.jpg | https://images.aqar.fm/webp/750x0/props/017078275_1784654777701.jpg | https://images.aqar.fm/webp/750x0/props/017078271_1784654777706.jpg | https://images.aqar.fm/webp/750x0/props/017078278_1784654777702.jpg | https://images.aqar.fm/webp/750x0/props/017078278_1784654777710.jpg,7,عبدالاله معيض,مؤسسة نفوذ الإعمار للخدمات العقارية,1,2026-07-21,2026-07-21,2026-07-22,10,2026-07-22
6746930,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-أحمد-بشناق-حي-الرمال-الرياض-منطقة-الرياض-6746930,شقة للبيع في شارع أحمد بشناق ، حي الرمال ، الرياض ، منطقة الرياض,580000,133,4,3,1,0,حي الرمال,الرياض,شرق الرياض,,24.929327,46.783997,,,شفاقه دحيم ,مؤسسة ثوابت البناء للعقارات,1,2026-06-24,,2026-07-21,46,2026-07-22
6765885,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-القدس/شارع-الصحن-حي-القدس-الرياض-منطقة-الرياض-6765885,شقة للبيع في شارع الصحن ، حي القدس ، الرياض ، منطقة الرياض,1000000,108,3,3,1,0,حي القدس,الرياض,شرق الرياض,"مساحتها 108 م
ثلاث غرف وحدة ماستر
ومطبخ وثلاث دورات مياة 
وصالة
وغرفة خادمة ومستودع
مؤجرة ب 70 الف دفعة وحدة 
في مجمع نجد بالم تشطيب فندقي كميرات مراقبة وانذار حريق ودخول ذكي

حي القدس مخطط الراجحي بجوار كافور وستار بوكس ووقت اللياقة على شارع الامير محمد بن فيصل.",24.752769,46.756569,https://images.aqar.fm/webp/750x0/props/052023070_1783536168014.jpg | https://images.aqar.fm/webp/750x0/props/052023077_1783536168035.jpg | https://images.aqar.fm/webp/750x0/props/052023070_1783536168038.jpg | https://images.aqar.fm/webp/750x0/props/052023079_1783536168046.jpg | https://images.aqar.fm/webp/750x0/props/052023070_1783536168043.jpg | https://images.aqar.fm/webp/750x0/props/052023071_1783536168044.jpg | https://images.aqar.fm/webp/750x0/props/052023070_1783536280008.jpg | https://images.aqar.fm/webp/750x0/props/052023074_1783536280009.jpg | https://images.aqar.fm/webp/750x0/props/052023078_1783536279996.jpg | https://images.aqar.fm/webp/750x0/props/052023071_1783536280011.jpg | https://images.aqar.fm/webp/750x0/props/052023078_1783536280004.jpg | https://images.aqar.fm/webp/750x0/props/052023072_1783536280005.jpg | https://images.aqar.fm/webp/750x0/props/052023076_1783536280025.jpg,13,سلطان البراك ,مكتب مستقبل النمو للعقارات,1,2026-07-08,,2026-07-21,41,2026-07-22
6718878,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-الرشاد-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6718878,"شقة للبيع في شارع الرشاد, حي الرمال, مدينة الرياض, منطقة الرياض",750000,116,3,3,1,0,حي الرمال,الرياض,شرق الرياض,"للبيع شقة جديدة رقم 3 دور اول علوي 3 غرف وصالة في عمارة B في عماير مشارف 4 بحي الرمال
مساحة الشقة 116م
مكونة من 
صالة كبيرة ومطبخ مفتوح على الصالة وعدد 3 غرف نوم منهم غرف نوم ماستر  راكب مطبخ بدون مكيفات 
دخول ذكي للعمارة وللشقة 
السعر 750 الف ريال
عقد وساطة رقم 6200935378
للتواصل رقم
0504178885
0533886000",24.863628,46.811856,https://images.aqar.fm/webp/750x0/props/000812891_1780579338796.jpg | https://images.aqar.fm/webp/750x0/props/000812893_1780579338749.jpg | https://images.aqar.fm/webp/750x0/props/000812894_1780579362827.jpg | https://images.aqar.fm/webp/750x0/props/000812899_1780579362823.jpg | https://images.aqar.fm/webp/750x0/props/000812897_1780579362828.jpg | https://images.aqar.fm/webp/750x0/props/000812897_1780579391819.jpg | https://images.aqar.fm/webp/750x0/props/000812890_1780579391624.jpg | https://images.aqar.fm/webp/750x0/props/000812892_1780579391626.jpg | https://images.aqar.fm/webp/750x0/props/000812890_1780579460924.jpg | https://images.aqar.fm/webp/750x0/props/000812895_1780579460907.jpg | https://images.aqar.fm/webp/750x0/props/000812898_1780579460954.jpg | https://images.aqar.fm/webp/750x0/props/000812897_1780579460909.jpg | https://images.aqar.fm/webp/750x0/props/000812896_1780579461009.jpg | https://images.aqar.fm/webp/750x0/props/000812891_1780579460946.jpg | https://images.aqar.fm/webp/750x0/props/000812899_1780579460910.jpg | https://images.aqar.fm/webp/750x0/props/000812899_1780579491468.jpg | https://images.aqar.fm/webp/750x0/props/000812895_1780579491471.jpg | https://images.aqar.fm/webp/750x0/props/000812899_1780579577973.jpg | https://images.aqar.fm/webp/750x0/props/000812893_1780579577983.jpg | https://images.aqar.fm/webp/750x0/props/000812893_1780579577998.jpg | https://images.aqar.fm/webp/750x0/props/000812895_1780579578058.jpg | https://images.aqar.fm/webp/750x0/props/000812890_1780579577990.jpg,22,بندر ابراهيم بن عبدالكريم العبود,مؤسسة مكتب بندر ابراهيم العبود للعقارات,1,2026-06-04,2026-07-03,2026-07-22,632,2026-07-22
