listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped
6662044,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-القلاع-حي-بدر-مدينة-الرياض-منطقة-الرياض-6662044,"شقة للبيع في شارع القلاع, حي بدر, مدينة الرياض, منطقة الرياض",585000,205,6,3,1,0,حي بدر,الرياض,جنوب الرياض,"### فرصة لا تُعوّض: شقة دوبلكس رائعة ٣/أ في حي بدر!

هل تبحث عن تجربة سكنية فاخرة تتناسب مع أسلوب حياتك المتميز؟ لا تفوت فرصة امتلاك هذه الشقة الدوبلكس الفريدة!

**📍 التفاصيل:**

- **الموقع:** حي بدر، بالقرب من جميع الخدمات والمرافق.
- **المساحة:** 205 متر مربع من الفخامة والراحة.

**✨ المكونات:**

- **مجلس فسيح:** مساحة مثالية لاستقبال الضيوف.
- **مقلط:** لتناول الوجبات في أجواء مريحة.
- **صالة أنيقة:** تصميم مفتوح ملائم لجميع المناسبات.
- **مطبخ متكامل:** مجهز بأحدث التجهيزات والمرافق.
- **٤ غرف نوم:** تشمل غرفتين ماستر توفران خصوصية وراحة تامة.
- **٤ دورات مياه:** لتلبية احتياجات العائلة والضيوف.

**💰 السعر:** 570,000 ريال

**لماذا تختار هذه الشقة؟**
- **تصميم عصري مميز** يلبي جميع احتياجاتك.
- **ضمانات كاملة** من المالك على جميع المرافق.
- موقع استراتيجي يوفر سهولة الوصول إلى كل ما تحتاجه.

**📞 للتواصل:**
لديك استفسارات أو ترغب في تحديد موعد لزيارة الوحدة؟ تواصل معنا عبر واتساب على [0535003630]
اغتنم هذه الفرصة الفريدة لتعيش في منزل يجمع بين الأناقة والراحة! 

---",24.545158,46.719465,https://images.aqar.fm/webp/750x0/props/043828159_1776669785801.jpg | https://images.aqar.fm/webp/750x0/props/043828150_1776669785511.jpg | https://images.aqar.fm/webp/750x0/props/043828158_1776669781684.jpg | https://images.aqar.fm/webp/750x0/props/043828152_1776669781870.jpg | https://images.aqar.fm/webp/750x0/props/043828155_1776669782158.jpg | https://images.aqar.fm/webp/750x0/props/043828152_1776669782388.jpg | https://images.aqar.fm/webp/750x0/props/043828154_1776669782607.jpg | https://images.aqar.fm/webp/750x0/props/043828155_1776669782928.jpg | https://images.aqar.fm/webp/750x0/props/043828150_1776669783193.jpg | https://images.aqar.fm/webp/750x0/props/043828155_1776669783458.jpg | https://images.aqar.fm/webp/750x0/props/043828152_1776669783743.jpg | https://images.aqar.fm/webp/750x0/props/043828150_1776669784079.jpg | https://images.aqar.fm/webp/750x0/props/043828154_1776669784396.jpg | https://images.aqar.fm/webp/750x0/props/043828159_1776669784676.jpg | https://images.aqar.fm/webp/750x0/props/043828156_1776669784961.jpg | https://images.aqar.fm/webp/750x0/props/043828151_1776669785210.jpg,16,منيره مناحي بن جابر ال فهاد,مؤسسة درة الانشاءات والتشييد للمقاولات العامة,1,2026-04-20,2026-07-16,2026-07-22,242,2026-07-22
6570511,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-عمر-بن-أبي-بكر-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6570511,"شقة للبيع في شارع عمر بن أبي بكر, حي عكاظ, مدينة الرياض, منطقة الرياض",450000,204,4,3,1,10,حي عكاظ,الرياض,جنوب الرياض,"للبيع شقة علوية 
تتكون من 
٣ غرف نوم 
وصالة 
ومطبخ 
وحمامين 
وسطح 
المساحة ١١٨ متر
العمر ٦ سنين 
الموقع 
حي بدر الشفاء 
السوم 375
((الرقم يظهر عند الضغط على اتصال))
مكتب درب التطور العقارية 

سطح خاص بمساحة واسعه تابع للشقة .
🅿️ باركينج خاص
الموقع: الشفا حي عكاظ 📍
فضلاً التواصل واتس

نعمل في تسويق وعرض جميع العقارات و جميع المخططات
بالتالي ( أراضي سكنية - أراضي تجارية - فلل - أدوار -مزارع-استراحات-شاليهات- شقق ) 
يشرفنا خدمتكم بالتالي :
🔹استقبال العروض العقارية من المُلاك مُباشرة
🔹استقبال الطلبات من العملاء
رخصة فال : 1100282274",24.512875,46.684844,https://images.aqar.fm/webp/750x0/props/044490649_1783222900974.jpg | https://images.aqar.fm/webp/750x0/props/044490642_1783223022195.jpg | https://images.aqar.fm/webp/750x0/props/044490646_1783223022202.jpg,3,فهد هادي,,,2026-02-01,2026-05-28,2026-07-21,427,2026-07-22
6387021,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ماجد-بن-مرعيد-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6387021,"شقة للبيع في شارع ماجد بن مرعيد, حي الدار البيضاء, مدينة الرياض, منطقة الرياض",600000,127,3,3,1,0,حي الدار البيضاء,الرياض,جنوب الرياض,"للبيــــــــع شقه فاخره 
فى حى الدار البيضاء 
المساحة الإجمالية للسطح والشقة 236 م
الوجهه شماليه 
موجود بالصك
R
 مساحة السطح 108.64
مساحه  الشقة 127.37 م 
{{حد المالك 600 ألف }}
عمر العقار جديد  
* التفاصيل شقه في الدور الثالث 
* تحتوي علي مصعد 
  مجلس ودورة مياة والشقة الداخلية تتكون من صالة ومطبخ وثلاث غرف نوم وحده منها ماستر واثنين عندهم حمام خارجي يتوفر فيديو لكل شي لحالة ويتوفر فيديو لكامل الشقة 
يوجد خيمة بالسطح الخاص بالشقة مساحة الخيمة 30 متر
* {{ المميزات }}
* دخول ذكي 
*  كاميرات مراقبة 
* موقف سياره خاص للشقة 
* عداد كهرباء مستقل 
* يوجد جميع الضمانات علي الشقه 
* كم يوجد شهادة إتمام بناء 
* البيع يناسب المشتري الكاش وجميع البنوك 
*  يلزم   موعد المعاينة 
* التواصل موسسة الأعمار الذكية
((رقم المعلن يظهر عند التواصل)) واتساب",24.576717,46.798049,https://images.aqar.fm/webp/750x0/props/037868742_1758127341606.jpg | https://images.aqar.fm/webp/750x0/props/037868748_1758127341636.jpg | https://images.aqar.fm/webp/750x0/props/037868743_1758127341669.jpg | https://images.aqar.fm/webp/750x0/props/037868742_1758127341669.jpg | https://images.aqar.fm/webp/750x0/props/037868740_1758127341839.jpg | https://images.aqar.fm/webp/750x0/props/037868748_1758127341849.jpg | https://images.aqar.fm/webp/750x0/props/037868742_1758127341881.jpg | https://images.aqar.fm/webp/750x0/props/037868746_1758127341883.jpg | https://images.aqar.fm/webp/750x0/props/037868745_1758127342061.jpg | https://images.aqar.fm/webp/750x0/props/037868743_1758127342059.jpg | https://images.aqar.fm/webp/750x0/props/037868742_1758127342101.jpg | https://images.aqar.fm/webp/750x0/props/037868745_1758127342099.jpg | https://images.aqar.fm/webp/750x0/props/037868742_1758127342284.jpg | https://images.aqar.fm/webp/750x0/props/037868741_1758127342501.jpg,14,عبدالله بن حمد بن عبدالله العامر,مؤسسة الإعمار الذكيه للخدمات العقارية,1,2025-09-17,2025-09-17,2026-07-22,1382,2026-07-22
6733643,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ماجد-بن-مرعيد-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6733643,"شقة للبيع في شارع ماجد بن مرعيد, حي الدار البيضاء, مدينة الرياض, منطقة الرياض",413000,119,4,0,0,2,حي الدار البيضاء,الرياض,جنوب الرياض,"شقه للبيع  
تتكون من مجلس وصاله وثلاث غرف نوم ومطبخ وثلاث دورات مياه
مرهونه لبنك الراجحي بمبلغ ٤١٣٠٠٠ وهي قيمة العقار 
للتواصل مكتب الارقام العقاريه 
ابو ذياب ((الرقم يظهر عند الضغط على اتصال))",24.579076,46.796747,,,محمد فهاد سعيد الحارثي,,0,2026-06-15,2026-07-14,2026-07-21,81,2026-07-22
6503009,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-عبدالعزيز-السحيباني-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6503009,"شقة للبيع في شارع عبدالعزيز السحيباني, حي الدار البيضاء, مدينة الرياض, منطقة الرياض",390000,100,4,2,1,0,حي الدار البيضاء,الرياض,جنوب الرياض,"🔥🔥شقق فاخره للبيع 
على الكود السعودىالجديد 

💵اسعار من 390الف الى 505 الف 
📏مساحات من 100 متر إلى 233 متر 

🏠تتكون من:_ 
مجلس رجال مع دوره مياه ومغاسل 
صاله
مطبخ 
غرفة نوم مع دورة مياه ومغاسل 
غرفة نوم ماستر رئيسيه 

🗣🗣جميع الضمانات متاحه 
قريب من جميع الخدمات 

📢📢لدينا عروض لشقق وفلل وأدوار بصك وتاون هاوس و دوبلكساا فى مختلف المناطق والمخططات والاحياء 

📢نتعامل مع جميع البنوك والشركات التمويلية في جميع أنحاء المملكة",24.573592,46.784547,https://images.aqar.fm/webp/750x0/props/045139747_1765465620434.jpg | https://images.aqar.fm/webp/750x0/props/045139745_1765465620329.jpg | https://images.aqar.fm/webp/750x0/props/045139744_1765465620074.jpg | https://images.aqar.fm/webp/750x0/props/045139744_1765465620303.jpg | https://images.aqar.fm/webp/750x0/props/045139749_1765465620539.jpg | https://images.aqar.fm/webp/750x0/props/045139742_1765465620550.jpg,6,ورده علي احمد الناشري,مؤسسة الهرم الرابع للعقارات,1,2025-12-11,2025-12-11,2026-07-22,2379,2026-07-22
6503045,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-عبدالقادر-الجزائري-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6503045,"شقة للبيع في شارع عبدالقادر الجزائري, حي الدار البيضاء, مدينة الرياض, منطقة الرياض",440000,100,4,3,1,0,حي الدار البيضاء,الرياض,جنوب الرياض,"🔥🔥شقق فاخره للبيع 
على الكود السعودىالجديد 

💵اسعار من 400الف الى 530 الف 
📏مساحات من 100 متر إلى 233 متر 

🏠تتكون من:_ 
مجلس رجال مع دوره مياه ومغاسل 
صاله
مطبخ 
غرفة نوم مع دورة مياه ومغاسل 
غرفة نوم ماستر رئيسيه 

🗣🗣جميع الضمانات متاحه 
قريب من جميع الخدمات 

📢📢لدينا عروض لشقق وفلل وأدوار بصك وتاون هاوس و دوبلكساا فى مختلف المناطق والمخططات والاحياء 

📢نتعامل مع جميع البنوك والشركات التمويلية في جميع أنحاء المملكة",24.56477,46.781363,https://images.aqar.fm/webp/750x0/props/045139744_1765467021173.jpg | https://images.aqar.fm/webp/750x0/props/045139747_1765467020960.jpg | https://images.aqar.fm/webp/750x0/props/045139742_1765467020565.jpg | https://images.aqar.fm/webp/750x0/props/045139741_1765467020698.jpg | https://images.aqar.fm/webp/750x0/props/045139741_1765467020836.jpg | https://images.aqar.fm/webp/750x0/props/045139747_1765467020960.jpg | https://images.aqar.fm/webp/750x0/props/045139742_1765467021170.jpg | https://images.aqar.fm/webp/750x0/props/045139743_1765467021300.jpg,8,ورده علي احمد الناشري,مؤسسة الهرم الرابع للعقارات,1,2025-12-11,2025-12-11,2026-07-22,997,2026-07-22
6485932,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-ابي-صالح-الفيزاري-حي-بدر-مدينة-الرياض-منطقة-الرياض-6485932,"شقة للبيع في شارع ابي صالح الفيزاري, حي بدر, مدينة الرياض, منطقة الرياض",530000,115,5,1,0,0,حي بدر,الرياض,جنوب الرياض,"🏠شقق سكنيه فاخره

💥على الكود السعودىالجديد

🔥اسعار من 530الف حتى 560الف

مساحات 125متر

تتكون من:-

مجلس مع دوره مياه ومغاسل صاله غرفتين بدورة مياه و مغاسل غرفه ماستر (دورة مياه ) مطبخ

يوجد كافة الضمانات على أعمال السباكه و الكهرباء والعوازل

يتوفر لدينا عروض لشقق وفلل وادواردو بصك وتاون هاوس و دوبلكساا فى مختلف المناطق و الأحياء",24.536069,46.698918,https://images.aqar.fm/webp/750x0/props/049597739_1764447110839.jpg,1,وضحاء الحارثي,مؤسسة نبض الديار,1,2025-11-29,2025-11-29,2026-07-22,355,2026-07-22
6657159,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-أبي-عثمان-الناجم-حي-بدر-مدينة-الرياض-منطقة-الرياض-6657159,"شقة للبيع في شارع أبي عثمان الناجم, حي بدر, مدينة الرياض, منطقة الرياض",600000,164,4,0,0,0,حي بدر,الرياض,جنوب الرياض,"‎سعد الله جميع اوقاتكم.
‎نقدم لكم شقق  تمليك 
‎تقع في موقع حيوي 📍
‎بمساحات متنوعة ، لتجربة فريدة من نوعها .

‎ دور ارضي بموقع حيوي وممتاز

‎المساحه  | 330 متر 

‏‎احجز وحدتك الأن وكن جزء من مجتمعاتنا 
‏‎  ابومحمد | موافقة العقارية 
‏‎للتواصل | 0579682224",24.521942,46.728139,https://images.aqar.fm/webp/750x0/props/030034443_1776315406714.jpg | https://images.aqar.fm/webp/750x0/props/030034443_1776315426586.jpg | https://images.aqar.fm/webp/750x0/props/030034446_1776315426580.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1776315426589.jpg | https://images.aqar.fm/webp/750x0/props/030034443_1776315426586.jpg | https://images.aqar.fm/webp/750x0/props/030034446_1776315426579.jpg | https://images.aqar.fm/webp/750x0/props/030034449_1776315426596.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1776315426574.jpg | https://images.aqar.fm/webp/750x0/props/030034441_1776315426600.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1776315446021.jpg | https://images.aqar.fm/webp/750x0/props/030034443_1776315445957.jpg | https://images.aqar.fm/webp/750x0/props/030034448_1776315445953.jpg | https://images.aqar.fm/webp/750x0/props/030034444_1776315445954.jpg | https://images.aqar.fm/webp/750x0/props/030034448_1776315445959.jpg | https://images.aqar.fm/webp/750x0/props/030034442_1776315445961.jpg | https://images.aqar.fm/webp/750x0/props/030034447_1776315445958.jpg | https://images.aqar.fm/webp/750x0/props/030034448_1776315445964.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1776315491981.jpg | https://images.aqar.fm/webp/750x0/props/030034445_1776315491997.jpg | https://images.aqar.fm/webp/750x0/props/030034448_1776315491992.jpg | https://images.aqar.fm/webp/750x0/props/030034441_1776315491981.jpg | https://images.aqar.fm/webp/750x0/props/030034440_1776315491994.jpg | https://images.aqar.fm/webp/750x0/props/030034446_1776315491980.jpg | https://images.aqar.fm/webp/750x0/props/030034442_1776315491983.jpg,24,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1,2026-04-16,2026-07-12,2026-07-21,130,2026-07-22
6743572,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-عكاظ/شارع-الصفار-الذهبي-حي-عكاظ-مدينة-الرياض-منطقة-الرياض-6743572,"شقة للبيع في شارع الصفار الذهبي, حي عكاظ, مدينة الرياض, منطقة الرياض",750000,200,5,3,0,0,حي عكاظ,الرياض,جنوب الرياض,"🏡 وحدات جديدة للبيع في حي عكاظ – الرياض

فرصة مميزة للتملك في أحد الأحياء الواعدة جنوب الرياض، بالقرب من جميع الخدمات والمرافق الحيوية.

🔹 دور أرضي مستقل
📐 المساحة: 200 م²
🛏 عدد الغرف: 5 غرف
🚿 عدد دورات المياه: 4 دورات مياه
✨ تصميم عملي وتشطيبات حديثة تناسب احتياجات الأسرة.

✅ موقع مميز
✅ مدخل مستقل وخصوصية عالية.
✅ مناسب للسكن والاستثمار.

📞 للتواصل والاستفسار ومعاينة العقار يرجى التواصل على الخاص او الواتساب

مؤسسة بوابة الاطلس العقارية",24.506737,46.675092,https://images.aqar.fm/webp/750x0/props/023931176_1782148222148.jpg | https://images.aqar.fm/webp/750x0/props/023931170_1782148271923.jpg | https://images.aqar.fm/webp/750x0/props/023931171_1782148271948.jpg | https://images.aqar.fm/webp/750x0/props/023931172_1782148272252.jpg | https://images.aqar.fm/webp/750x0/props/023931175_1782148271930.jpg | https://images.aqar.fm/webp/750x0/props/023931173_1782148272268.jpg | https://images.aqar.fm/webp/750x0/props/023931175_1782148272250.jpg | https://images.aqar.fm/webp/750x0/props/023931170_1782148272267.jpg | https://images.aqar.fm/webp/750x0/props/023931176_1782148272253.jpg | https://images.aqar.fm/webp/750x0/props/023931170_1782148287486.jpg | https://images.aqar.fm/webp/750x0/props/023931172_1782148287497.jpg | https://images.aqar.fm/webp/750x0/props/023931174_1782148295285.jpg | https://images.aqar.fm/webp/750x0/props/023931170_1782148295274.jpg,13,فيصل فهد,مؤسسة بوابة الاطلس التجارية,1,2026-06-22,2026-07-21,2026-07-22,58,2026-07-22
6506698,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-عبدالقادر-الجزائري-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6506698,"شقة للبيع في شارع عبدالقادر الجزائري, حي الدار البيضاء, مدينة الرياض, منطقة الرياض",390000,115,4,3,1,0,حي الدار البيضاء,الرياض,جنوب الرياض,"🏢شقه للبيع بحي الدار البيضاء
🚨المميزات
قريه من طريق عرفات 

وكافه الخدمات من مدارس ومساجد وتموينات ومحطه وقود
📏المساحه تبدا من 100م الي 170 م
💸الاسعار تبدا من 390 الف الي 530الف
🏢الدور الارضي
🛗يوجد بالعماره مصعد 

🏢تتكون الشقه من مجلس رجال و وصاله و3 غرف نوم منهم غرفه ماستر مع مطبخ واسع

🏢تتميز الشقه بأن لها موقف سياره خاص وعداد مياه وكهرباء منفصل وخزانات ارضيه وعلويه منفصله

🏦نتعامل مع جميع البنوك والشركات ونوفر الدفعه المقدمه مجاناااا

🏢 يوجد شقق وأدوار بصك وفلل باسعار مساحات مختلفه في أحياء مختلفه",24.567874,46.787993,https://images.aqar.fm/webp/750x0/props/034762376_1765734304323.jpg | https://images.aqar.fm/webp/750x0/props/034762373_1765734325050.jpg | https://images.aqar.fm/webp/750x0/props/034762370_1765734325282.jpg | https://images.aqar.fm/webp/750x0/props/034762376_1765734325292.jpg | https://images.aqar.fm/webp/750x0/props/034762372_1765734325504.jpg | https://images.aqar.fm/webp/750x0/props/034762375_1765734325508.jpg | https://images.aqar.fm/webp/750x0/props/034762373_1765734325600.jpg | https://images.aqar.fm/webp/750x0/props/034762375_1765734325609.jpg | https://images.aqar.fm/webp/750x0/props/034762375_1765734325737.jpg | https://images.aqar.fm/webp/750x0/props/034762375_1765734325772.jpg | https://images.aqar.fm/webp/750x0/props/034762377_1765734325975.jpg,11,ورده علي احمد الناشري,مؤسسة الهرم الرابع للعقارات,1,2025-12-14,2025-12-14,2026-07-22,3049,2026-07-22
