listing_id,url,title,price,area_sqm,rooms,bathrooms,livings,age_years,district,city,direction,description,latitude,longitude,images,images_count,advertiser_name,advertiser_company,advertiser_type,created_at,published_at,last_update,views,date_scraped
6745325,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-الحزم/شارع-ديراب-الفرعي-حي-الحزم-مدينة-الرياض-منطقة-الرياض-6745325,"شقة للبيع في شارع ديراب الفرعي, حي الحزم, مدينة الرياض, منطقة الرياض",500000,81,3,1,0,0,حي الحزم,الرياض,غرب الرياض,"مشروع 9
السلام عليكم ورحمة الله وبركاته 
فرصة العمر لا تتكرر
بتدور على الاناقه في التصميم واستغلال المساحات
بتدور على توفير المال والمصداقيه في التعامل
ابشر باللي يطيب خاطرك
نقدم لكم مشروع أدوار كل دور بصك 
في حي: الحزم 
السعر:  ارضى 750 الف 
علوي 650 الف 
شقه 500 الف 
وجهه: شرقيه 
عرض الشارع : 20م 
نوفر سداد المديونيات والدفعه الأولى 10٪ مجانًا وبدون أي فوائد
نختصر عليك الوقت ولذالك نتعامل َع جميع البنوك والشركات التمويليه العقاريه مع إمكانية التحويل من بنك لبنك اخر وتسهيل كل الأمور
مع عليك اللي ان نتواصل معنا واتس أو اتصال
(مشروع 9)",24.525753,46.648951,https://images.aqar.fm/webp/750x0/props/011167295_1782238042658.jpg | https://images.aqar.fm/webp/750x0/props/011167297_1782238042647.jpg | https://images.aqar.fm/webp/750x0/props/011167292_1782238042709.jpg | https://images.aqar.fm/webp/750x0/props/011167296_1782238042775.jpg | https://images.aqar.fm/webp/750x0/props/011167294_1782238042778.jpg | https://images.aqar.fm/webp/750x0/props/011167295_1782238042854.jpg | https://images.aqar.fm/webp/750x0/props/011167298_1782238042889.jpg | https://images.aqar.fm/webp/750x0/props/011167291_1782238042976.jpg | https://images.aqar.fm/webp/750x0/props/011167298_1782238043021.jpg | https://images.aqar.fm/webp/750x0/props/011167295_1782238042658.jpg | https://images.aqar.fm/webp/750x0/props/011167297_1782238042647.jpg | https://images.aqar.fm/webp/750x0/props/011167292_1782238042709.jpg | https://images.aqar.fm/webp/750x0/props/011167296_1782238042775.jpg | https://images.aqar.fm/webp/750x0/props/011167294_1782238042778.jpg | https://images.aqar.fm/webp/750x0/props/011167295_1782238042854.jpg | https://images.aqar.fm/webp/750x0/props/011167298_1782238042889.jpg | https://images.aqar.fm/webp/750x0/props/011167291_1782238042976.jpg | https://images.aqar.fm/webp/750x0/props/011167298_1782238043021.jpg,18,جبر لافي عوض العتيبي,مؤسسة أوائل الرياض العقارية,1,2026-06-23,2026-06-23,2026-07-22,31,2026-07-23
6563784,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-الحسن-الأسفرائيني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6563784,"شقة للبيع في شارع أبي الحسن الأسفرائيني, حي المهدية, مدينة الرياض, منطقة الرياض",850000,140,4,3,1,0,حي المهدية,الرياض,غرب الرياض,"اسعد الله جميع اوقاتكم.
نقدم لكم شقق تمليك 
تقع في موقع حيوي 📍
بمساحات متنوعة 
تبدأ المساحات من ( 138)- ( 160)
تبدأ الاسعار من
( 915) - (975 ) الف

مواصفات الشقق : 
مجلس رجال مستقل   , مطبخ شبه مستقل  , مستودع، جناح نوم ماستر , غرفتين نوم , ثلاث دورات مياة 


مميزات الموقع الحيوي ✨
قريب من جامعة الملك سعود ، قريب من مستشفى التخصصي ، قريب من حديقة ومسجد


 وتحتوي على  •
تصاميم مميزة _ جودة ف التنفيذ _ جودة المواد المستخدمة _ مدخل سيارة  _ مواقف خاصة  _ دخول ذكي _ مصعد 

 * تأمين ملاذ على الهيكل الانشائي
 * ضمانات السباكة و الكهرباء 
 * مزودة بإجراءت السلامة وفق لأنظمة الدفاع المدني 
 
ابورهف/ موافقه العقاريه 

للتواصل/ ((رقم المعلن يظهر عند التواصل))",24.670768,46.548977,https://images.aqar.fm/webp/750x0/props/036954674_1755025854653.jpg | https://images.aqar.fm/webp/750x0/props/036954678_1755025854660.jpg | https://images.aqar.fm/webp/750x0/props/036954678_1755025854628.jpg | https://images.aqar.fm/webp/750x0/props/036954672_1755025854640.jpg | https://images.aqar.fm/webp/750x0/props/036954675_1755025854621.jpg | https://images.aqar.fm/webp/750x0/props/036954672_1755025854615.jpg | https://images.aqar.fm/webp/750x0/props/036954672_1755025854669.jpg | https://images.aqar.fm/webp/750x0/props/036954677_1755025854660.jpg | https://images.aqar.fm/webp/750x0/props/036954674_1755025871553.jpg | https://images.aqar.fm/webp/750x0/props/036954672_1755025871547.jpg | https://images.aqar.fm/webp/750x0/props/036954677_1755025871512.jpg | https://images.aqar.fm/webp/750x0/props/036954678_1755025871517.jpg | https://images.aqar.fm/webp/750x0/props/036954675_1755025871523.jpg | https://images.aqar.fm/webp/750x0/props/036954676_1755025871517.jpg | https://images.aqar.fm/webp/750x0/props/036954674_1755025871534.jpg | https://images.aqar.fm/webp/750x0/props/036954679_1755025871514.jpg | https://images.aqar.fm/webp/750x0/props/036954675_1755025890041.jpg | https://images.aqar.fm/webp/750x0/props/036954676_1755025890038.jpg | https://images.aqar.fm/webp/750x0/props/036954674_1755025890011.jpg | https://images.aqar.fm/webp/750x0/props/036954679_1755025890029.jpg | https://images.aqar.fm/webp/750x0/props/036954674_1755025889985.jpg | https://images.aqar.fm/webp/750x0/props/036954676_1755025890002.jpg | https://images.aqar.fm/webp/750x0/props/036954679_1755025890046.jpg | https://images.aqar.fm/webp/750x0/props/036954679_1755025889968.jpg,24,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1,2026-01-26,2026-01-26,2026-07-22,313,2026-07-23
6687611,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6687611,"شقة للبيع في شارع السيل الكبير, حي المهدية, مدينة الرياض, منطقة الرياض",750000,133,4,,,0,حي المهدية,الرياض,غرب الرياض,"اسعد الله جميع اوقاتكم.
نقدم لكم شقق تمليك 
تقع في موقع حيوي 📍
بمساحات متنوعة 

تبدأ المساحات من (130)- ( 230 )
تبدأ الاسعار من
( 750 الف) - (900 الف) 

مواصفات الشقق : 
مجلس رجال مستقل , صالة عائلية واسعة  , مطبخ  , ثلاث غرف نوم ,غرفه نوم ماستر  , غرفتين نوم بدوره مياه مشتركه, 3دورات مياة
-
مميزات الموقع الحيوي ✨
قريب من جامعة الملك سعود ، قريب من مستشفى التخصصي ، 


 وتحتوي على  •
تصاميم مميزة _ جودة ف التنفيذ _ جودة المواد المستخدمة _ مدخل سيارة  _ مواقف خاصة _ دخول ذكي _ مصعد 

 * تأمين ملاذ على الهيكل الانشائي
 * ضمانات السباكة و الكهرباء 
 * مزودة بإجراءت السلامة وفق لأنظمة الدفاع المدني 
 

لتجربة فريدة من نوعها , 
تبقى وحدات سكنية قليلة. 

احجز وحدتك الأن وكن جزء من مجتمعاتنا

علماً بان الموقع غير دقيق 🛑🛑🛑🛑

لتواصل / 0537228318

ابواحمد      / نسمة تلال العقارية",24.668184,46.540011,https://images.aqar.fm/webp/750x0/props/051305454_1778196922363.jpg | https://images.aqar.fm/webp/750x0/props/051305457_1778196921820.jpg | https://images.aqar.fm/webp/750x0/props/051305451_1778196922426.jpg | https://images.aqar.fm/webp/750x0/props/051305458_1778196922299.jpg | https://images.aqar.fm/webp/750x0/props/051305455_1778196922264.jpg | https://images.aqar.fm/webp/750x0/props/051305454_1778196922195.jpg | https://images.aqar.fm/webp/750x0/props/051305454_1778196922171.jpg | https://images.aqar.fm/webp/750x0/props/051305459_1778196922071.jpg | https://images.aqar.fm/webp/750x0/props/051305459_1778196921975.jpg | https://images.aqar.fm/webp/750x0/props/051305453_1778196921937.jpg | https://images.aqar.fm/webp/750x0/props/051305454_1778196921687.jpg | https://images.aqar.fm/webp/750x0/props/051305452_1778196921790.jpg | https://images.aqar.fm/webp/750x0/props/051305453_1778196921791.jpg | https://images.aqar.fm/webp/750x0/props/051305458_1778196922014.jpg | https://images.aqar.fm/webp/750x0/props/051305459_1778196922017.jpg,15,محمد عبدالرحمن,مؤسسة نسمة تلال العقارية,1,2026-05-07,2026-07-05,2026-07-21,32,2026-07-23
6556241,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-عروة-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6556241,"شقة للبيع في شارع أبي عروة, حي المهدية, مدينة الرياض, منطقة الرياض",800000,139,3,,,0,حي المهدية,الرياض,غرب الرياض,"اسعد الله جميع اوقاتكم.
نقدم لكم شقق تمليك 
تقع في موقع حيوي 📍
بمساحات متنوعة 
مساحات المشروع ( 900م) 

تبدأ المساحات من (127)- ( 166)
تبدأ الاسعار من
( 953.250) - (1.127.500) 

مواصفات الشقق : 
صالة عائلية واسعة , ثلاث بلكونات  , مطبخ  شبه مستقل ، جناح غرفة نوم ماستر , غرفتين نوم , ثلاث دورات مياة
-
مميزات الموقع الحيوي ✨
قريب من جامعة الملك سعود ، قريب من مستشفى التخصصي ، 


 وتحتوي على  •
تصاميم مميزة _ جودة ف التنفيذ _ جودة المواد المستخدمة _ مدخل سيارة  _ مواقف خاصة _ بيسمنت _ دخول ذكي _ مصعد 

 * تأمين ملاذ على الهيكل الانشائي
 * ضمانات السباكة و الكهرباء 
 * مزودة بإجراءت السلامة وفق لأنظمة الدفاع المدني 
 

لتجربة فريدة من نوعها , 
تبقى وحدات سكنية قليلة. 

احجز وحدتك الأن وكن جزء من مجتمعاتنا
((رقم المعلن يظهر عند التواصل))",24.651527,46.512554,https://images.aqar.fm/webp/750x0/props/044305571_1769002349195.jpg | https://images.aqar.fm/webp/750x0/props/044305574_1769002349203.jpg | https://images.aqar.fm/webp/750x0/props/044305577_1769002349206.jpg | https://images.aqar.fm/webp/750x0/props/044305574_1769002349204.jpg | https://images.aqar.fm/webp/750x0/props/044305575_1769002349198.jpg | https://images.aqar.fm/webp/750x0/props/044305578_1769002349206.jpg | https://images.aqar.fm/webp/750x0/props/044305573_1769002371877.jpg | https://images.aqar.fm/webp/750x0/props/044305571_1769002371870.jpg | https://images.aqar.fm/webp/750x0/props/044305575_1769002371872.jpg | https://images.aqar.fm/webp/750x0/props/044305573_1769002371877.jpg | https://images.aqar.fm/webp/750x0/props/044305573_1769002371873.jpg | https://images.aqar.fm/webp/750x0/props/044305572_1769002371884.jpg | https://images.aqar.fm/webp/750x0/props/044305574_1769002371887.jpg | https://images.aqar.fm/webp/750x0/props/044305575_1769002371883.jpg | https://images.aqar.fm/webp/750x0/props/044305577_1769002387261.jpg | https://images.aqar.fm/webp/750x0/props/044305574_1769002387278.jpg | https://images.aqar.fm/webp/750x0/props/044305573_1769002387261.jpg | https://images.aqar.fm/webp/750x0/props/044305576_1769002387271.jpg | https://images.aqar.fm/webp/750x0/props/044305571_1769002387260.jpg | https://images.aqar.fm/webp/750x0/props/044305575_1769002387261.jpg | https://images.aqar.fm/webp/750x0/props/044305573_1769002387261.jpg,21,نايف بن عبدالله بن سلطان بن سفران,مؤسسة موافقة العقارية,1,2026-01-21,2026-01-21,2026-07-22,45,2026-07-23
6767772,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-الفروسية-حي-ظهرة-لبن-الرياض-منطقة-الرياض-6767772,شقة للبيع في شارع الفروسية ، حي ظهرة لبن ، الرياض ، منطقة الرياض,850000,175,5,3,1,8,حي ظهرة لبن,الرياض,غرب الرياض,شقة الدور الثاني تتكون من ثلاث غرف نوم وصاله ومقلط ومجلس وثلاث دورات مياه الله يكرمكم,24.647854,46.578541,,,كايد مرزوق,,,2026-07-10,,2026-07-21,26,2026-07-23
6689014,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-ابن-أبي-الشكر-الفلكي-حي-المهدية-الرياض-منطقة-الرياض-6689014,شقة للبيع في شارع ابن أبي الشكر الفلكي ، حي المهدية ، الرياض ، منطقة الرياض,830000,150,4,3,1,0,حي المهدية,الرياض,غرب الرياض,,24.640123,46.503242,https://images.aqar.fm/webp/750x0/props/019334322_1778338929716.jpg | https://images.aqar.fm/webp/750x0/props/019334324_1778338929616.jpg | https://images.aqar.fm/webp/750x0/props/019334324_1778338929712.jpg | https://images.aqar.fm/webp/750x0/props/019334322_1778338929614.jpg | https://images.aqar.fm/webp/750x0/props/019334325_1778338929774.jpg | https://images.aqar.fm/webp/750x0/props/019334320_1778338929713.jpg,6,تركي بن منصور بن ناصر آل زهير,,,2026-05-09,,2026-07-21,61,2026-07-23
6723302,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-السنبلة-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6723302,"شقة للبيع في شارع السنبلة, حي السويدي, مدينة الرياض, منطقة الرياض",580000,72,3,,,0,حي السويدي,الرياض,غرب الرياض,"كودددددد 4
السلام عليكم ورحمه الله وبركاته اسعد الله اوقاتكم بكل خير  
مؤسسة وثائق التطوير العقارية 
يسعدنا أن نقدم لكم 
شقه علويه 
بحى السويدي
مساحته 240م 
شارع 15 م 
واجهه غربيه 
عليها     580   ألف
مكونه مدخل سياره صاله مطبخ ثلاث غرف نوم منهم واحده ماستر واثنين دورات مياه 
يوجد مصعد راكب 
مواقف خاصه 
عليها كافة الضمانات  المطلوبة على العوازل والخزنات والبايكه والكهرباء والسباكه  ونتعامل مع جميع البنوك والشركات وتحويل من بنك لاخر  ونسعى فى توفير الدفعه الاولى مجانا وسداد المديونية وتخليص أمور  البنك 
كودددددد 4",24.587541,46.67008,https://images.aqar.fm/webp/750x0/props/040819201_1780863998028.jpg,1,عائشه علي,مؤسسة وثائق للتطوير العقاري,1,2026-06-07,2026-07-07,2026-07-22,435,2026-07-23
6559302,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6559302,"شقة للبيع في شارع السيل الكبير, حي المهدية, مدينة الرياض, منطقة الرياض",950000,171,3,,,0,حي المهدية,الرياض,غرب الرياض,شركة نوس العقارية بأستقبال طلباتكم ونقوم بخدمتكم باسرع وقت ممكن - فلل -ادوار - دوبلكسات - بتصاميم فاخرة وعصرية - مودرن - كلاسك - نوكلاسك - وكما يتوفر لدينا جميع الحلول التمويلة - ويوجد لدينا موظفين مختصين بالحسبة على جميع البنوك - والله ولي التوفيق . للتواصل /((رقم المعلن يظهر عند التواصل)),24.660481,46.519598,https://images.aqar.fm/webp/750x0/props/050042398_1769206285206.jpg | https://images.aqar.fm/webp/750x0/props/050042392_1769206285194.jpg | https://images.aqar.fm/webp/750x0/props/050042390_1769206285219.jpg | https://images.aqar.fm/webp/750x0/props/050042391_1769206303116.jpg | https://images.aqar.fm/webp/750x0/props/050042396_1769206303143.jpg | https://images.aqar.fm/webp/750x0/props/050042392_1769206303149.jpg | https://images.aqar.fm/webp/750x0/props/050042390_1769206303132.jpg | https://images.aqar.fm/webp/750x0/props/050042391_1769206303146.jpg | https://images.aqar.fm/webp/750x0/props/050042398_1769206303158.jpg | https://images.aqar.fm/webp/750x0/props/050042399_1769206303169.jpg | https://images.aqar.fm/webp/750x0/props/050042392_1769206303227.jpg | https://images.aqar.fm/webp/750x0/props/050042399_1769206320422.jpg | https://images.aqar.fm/webp/750x0/props/050042397_1769206320414.jpg | https://images.aqar.fm/webp/750x0/props/050042396_1769206320358.jpg | https://images.aqar.fm/webp/750x0/props/050042397_1769206320383.jpg | https://images.aqar.fm/webp/750x0/props/050042392_1769206320425.jpg | https://images.aqar.fm/webp/750x0/props/050042398_1769206320422.jpg | https://images.aqar.fm/webp/750x0/props/050042393_1769206320419.jpg | https://images.aqar.fm/webp/750x0/props/050042390_1769206320430.jpg,19,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2026-01-23,2026-01-23,2026-07-21,48,2026-07-23
6566594,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أحمد-بن-هاشم-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6566594,"شقة للبيع في شارع أحمد بن هاشم, حي المهدية, مدينة الرياض, منطقة الرياض",850000,124,3,,,0,حي المهدية,الرياض,غرب الرياض,شقة راقية بتصميم عصري وتشطيبات فاخرة، تمتد على مساحة 124 متر مربع وتوفر أسلوب عيش يجمع بين الأناقة والراحة. تتميز بصالون واسع ومشرق بفضل الإضاءة الطبيعية، غرف نوم فسيحة توفر الخصوصية والهدوء، مطبخ عصري مجهز بأحدث التجهيزات، وحمامات بتشطيبات راقية تعكس الذوق الرفيع,24.661713,46.517681,https://images.aqar.fm/webp/750x0/props/049986852_1769623282511.jpg | https://images.aqar.fm/webp/750x0/props/049986856_1769623291539.jpg | https://images.aqar.fm/webp/750x0/props/049986858_1769623291229.jpg | https://images.aqar.fm/webp/750x0/props/049986856_1769623291262.jpg | https://images.aqar.fm/webp/750x0/props/049986859_1769623291238.jpg | https://images.aqar.fm/webp/750x0/props/049986858_1769623291245.jpg | https://images.aqar.fm/webp/750x0/props/049986857_1769623291276.jpg | https://images.aqar.fm/webp/750x0/props/049986855_1769623291247.jpg | https://images.aqar.fm/webp/750x0/props/049986855_1769623291548.jpg | https://images.aqar.fm/webp/750x0/props/049986854_1769623302726.jpg | https://images.aqar.fm/webp/750x0/props/049986858_1769623302948.jpg | https://images.aqar.fm/webp/750x0/props/049986854_1769623302943.jpg | https://images.aqar.fm/webp/750x0/props/049986856_1769623302732.jpg | https://images.aqar.fm/webp/750x0/props/049986852_1769623302711.jpg | https://images.aqar.fm/webp/750x0/props/049986859_1769623302722.jpg,15,يوسف جهز محمد العتيبي,شركة نوس العقارية شركة شخص واحد,1,2026-01-28,2026-01-30,2026-07-21,18,2026-07-23
6694425,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-طويق/شارع-يزيد-بن-محمد-حي-طويق-مدينة-الرياض-منطقة-الرياض-6694425,"شقة للبيع في شارع يزيد بن محمد, حي طويق, مدينة الرياض, منطقة الرياض",750000,203,5,0,0,4,حي طويق,الرياض,غرب الرياض,"فيه ثلاث غرف وصاله ومطبخ ٢ حمامات بالدور الاول 
٢ غرفه و١ حمام بالدور الثاني 
ويوجد سطوح 
ويوجد درج داخلي مع امكانية فتح السطوح داخل الدور الثاني ويصير مثلا الملحق يوجد شبكة ألياف بصريه .. يوجد شبكه مياه.. صرف صحي أكرمكم الله",24.557547,46.519233,https://images.aqar.fm/webp/750x0/props/051769199_1778608217472.jpg | https://images.aqar.fm/webp/750x0/props/051769195_1778608217558.jpg | https://images.aqar.fm/webp/750x0/props/051769198_1778608217479.jpg | https://images.aqar.fm/webp/750x0/props/051769199_1778608217555.jpg | https://images.aqar.fm/webp/750x0/props/051769193_1778608217551.jpg,5,محمد بن مساعد بن محمد العتيبي,,,2026-05-12,2026-05-12,2026-07-21,94,2026-07-23
