listing_id,url,title,district,city,direction,التوصية_النهائية,درجة_الثقة,سبب_التوصية_النهائية,نوع_العقار,price,area_sqm,rooms,bathrooms,livings,age_years,مؤثثة,yield_pct,expected_annual_rent,sakani_deals_count,price_ratio,verdict_price,strengths,risks,is_multi_unit,unit_label,llm_corrections,llm_notes,description,images,sakani_trusted,ad_price_per_sqm,comparable_sale_deals_count,comparable_median_price_per_sqm,latitude,longitude
6714350,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-الحجاز-حي-العدل-مدينة-الجبيلة-منطقة-الرياض-6714350,"شقة للبيع في شارع الحجاز, حي العدل, مدينة الجبيلة, منطقة الرياض",حي القيروان,الرياض,شمال الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,720000.0,121.0,3.0,4.0,1.0,0.0,لا,8.65,62300,204,1.01,🟢 سعر عادل,يوجد مصعد | تشطيبات حديثة مذكورة | عقار جديد | تشطيب فاخر | مدخلين منفصلين | غرفة ماستر بحمام خاص | يوجد مجلس منفصل,,False,شقة بمدخلين، مجلس، صالة، مطبخ، 3 غرف نوم (1 ماستر)، 4 حمامات,{},الوصف يؤكد 3 غرف نوم فقط وليس 4. التشطيب فندقي فاخر، العقار جديد.,"جديد. تصميم حديث و تشطيب فندقي فاخر وفي حي جديد
الشقه مكونة من مدخلين ويوجد بها مصعدمجلس ودورة مياه وصاله بدوره المياه ومطبخ و 3 غرفة نوم ( 1 غرفة نوم ماستر + غرفتين نوم و حمام)",https://images.aqar.fm/webp/750x0/props/000308544_1780274866517.jpg,True,5950,99,5908.0,24.899044,46.368861
6680986,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-جعفر-بن-أبي-بكر-لبني-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6680986,"شقة للبيع في شارع جعفر بن أبي بكر لبني, حي الرمال, مدينة الرياض, منطقة الرياض",حي الرمال,الرياض,شرق الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,500000.0,93.0,2.0,0.0,0.0,1.0,لا,6.88,34400,740,0.93,🟢 سعر عادل,يوجد قبو/مواقف سفلية | تشطيبات حديثة مذكورة | مستوى راقٍ | مكيفات مركّبة | غرفة ماستر بحمام خاص,,False,شقة بغرفتين نوم,{},الوصف لم يذكر عدد الحمامات رغم أن البيانات المسجلة تشير إلى 0,"✨ شقة مميزة في عمارة حديثة ✨

شقة راقية بتشطيب ممتاز وموقع مميز، مناسبة للسكن أو الاستثمار

🔹 المميزات:

* مكيفات راكبة
* دخول ذكي
* مواقف خاصة في القبو

🔹 تتكون من:

* غرفتين نوم (واحدة ماستر)
* صالة واسعة
* مطبخ

💰 السعر: 500,000 ريال (حد)

📞 للتواصل: 0507102730",https://images.aqar.fm/webp/750x0/props/027853381_1777882664245.jpg | https://images.aqar.fm/webp/750x0/props/027853383_1777882664241.jpg | https://images.aqar.fm/webp/750x0/props/027853386_1777882664244.jpg | https://images.aqar.fm/webp/750x0/props/027853387_1777882664254.jpg | https://images.aqar.fm/webp/750x0/props/027853381_1777882664242.jpg | https://images.aqar.fm/webp/750x0/props/027853389_1777882664259.jpg,True,5376,218,5752.0,24.851109,46.843837
6795665,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-السلامين-حي-القيروان-مدينة-الرياض-منطقة-الرياض-6795665,"شقة للبيع في شارع السلامين, حي القيروان, مدينة الرياض, منطقة الرياض",حي القيروان,الرياض,شمال الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,875000.0,168.5,3.0,3.0,1.0,0.0,لا,6.5,56900,537,0.92,🟢 سعر عادل,عقار جديد | يوجد ضمان,السعر 'يبدأ من' -- تأكد إنه يخص نفس الوحدة والمساحة المذكورة، مو وحدة أصغر,True,,{},"مشروع بيع على الخارطة - 25 شقة بمساحات متعددة (111-226 م²) وأسعار متفاوتة (875,000-1,430,000 ريال) - البيانات المسجلة تمثل وحدة واحدة ضمن المشروع","مشروع ساس القيروان
شقق سكنية
البيع على الخارطة
بتصميم مودرن منفذ بمواصفات مميزة
بأسعار تبدأ من 875,000 إلى 1,430,000
ومساحات من 111م إلى 226م
عدد الشقق ( 25 شقة )
المواصفات:
- نظام ذكي ( مدخل البيت - إضاءة - أفياش )
- عداد كهرباء مستقل
- ضمانات تصل إلى 25 سنة
-
مزايا الموقع :
- طريق الملك فهد ( 120 متر )
- طريق الملك سلمان ( 3 دقائق )
- الافنيوز ( 6 دقائق )
- المربع الجديد ( 6 دقائق )
-
تاريخ التسليم 2027/05/30
SAS Al-Qairawan Project
Residential Apartments
Off-Plan Sale
Featuring a modern design executed with premium specifications.
Prices: Starting from SAR 875,000 to SAR 1,430,000
Areas: Ranging from 111 m² to 226 m²
Total Units: 25 Apartments
Key Specifications & Amenities
Smart Home System: Smart entrance, lighting, and power outlets
Independent Electricity Meter
Warranties: Up to 25 years
Prime Location Highlights
King Fahd Road: 120 meters away
King Salman Road: 3 minutes away
The Avenues Mall: 6 minutes away
New Murabba: 6 minutes away

Delivery Date: May 30, 2027",https://images.aqar.fm/webp/750x0/props/000753644_1785309247037.jpg,True,5193,116,5627.0,24.830826,46.60976
6729850,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-النرجس/شارع-يدمه-حي-النرجس-مدينة-الرياض-منطقة-الرياض-6729850,"شقة للبيع في شارع يدمه, حي النرجس, مدينة الرياض, منطقة الرياض",حي النرجس,الرياض,شمال الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,800000.0,95.0,3.0,3.0,1.0,0.0,لا,6.5,52000,2100,0.97,🟢 سعر عادل,مدخل خاص | مكيفات مركّبة | غرفة ماستر بحمام خاص,,False,شقة في حي النرجس,{},الوصف لا يوضح عدد الحمامات بالتفصيل، فقط يذكر المواصفات العامة,"((الرقم يظهر عند الضغط على اتصال)) تواصل واتس 

شقة للبيع في حي النرجس
📍 موقع مميز شمال الرياض
🚗 دقيقتان فقط من طريق الملك سلمان
🚗 3 دقائق من طريق أبو بكر الصديق

✨ مواصفات الشقة:
🚪 مدخلان للشقة (مدخل خاص + مدخل من العمارة)
❄️ مكيفات راكبة
🛏️ غرفة نوم ماستر
🛏️ غرفة نوم إضافية
🛋️ صالة واسعة
🍽️ مطبخ

📈 مناسبة للسكن والاستثمار
📍 في أحد أفضل مواقع شمال الرياض",,True,8421,263,8695.0,24.855223,46.656443
6653486,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-حطين/شارع-التحلية-حي-حطين-الرياض-منطقة-الرياض-6653486,"شقة للبيع في شارع التحلية, حي حطين, مدينة الرياض, منطقة الرياض",حي حطين,الرياض,شمال الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,1100000.0,130.0,3.0,3.0,2.0,4.0,لا,6.25,68700,391,0.89,🟢 سعر عادل,قريب من الخدمات | تشطيبات حديثة مذكورة | تشطيب فاخر,,False,شقة فاخرة - الدور الثاني,{},جميع البيانات متطابقة مع الوصف. البيع من المالك مباشرة بدون عمولات. الموقع قريب من بوليفارد رياض سيتي.,"شقة فاخرة للبيع من المالك مباشرة في حي حطين ✨

فرصة ذهبية للتملك بدون عمولات، في أحد أرقى أحياء شمال الرياض، وعلى بُعد دقائق من بوليفارد رياض سيتي حيث الترفيه وأسلوب الحياة العصري.

تفاصيل الشقة:

* الدور الثاني
* صالة واسعة ومضيئة بتصميم مريح
* مطبخ عملي
* مخزن إضافي
* 3 غرف نوم مناسبة للعائلة
* 3 دورات مياه بتشطيبات أنيقة

المميزات:

* من المالك مباشرة (بدون وسيط أو عمولة)
* موقع استراتيجي في حي راقٍ وهادئ
* شوارع واسعة وتنظيم ممتاز
* قريبة من جميع الخدمات والمرافق الحيوية

💼 خيار مثالي للسكن العائلي أو للاستثمار في موقع مرغوب وقيمة متزايدة.

لا تفوّت الفرصة… تواصل الآن وامتلك عقارك في موقع مميز يجمع بين الهدوء والفخامة.",https://images.aqar.fm/webp/750x0/props/000400444_1776096925539.jpg | https://images.aqar.fm/webp/750x0/props/000400440_1779394829186.jpg | https://images.aqar.fm/webp/750x0/props/000400444_1779394829183.jpg | https://images.aqar.fm/webp/750x0/props/000400445_1779394829190.jpg | https://images.aqar.fm/webp/750x0/props/000400449_1779394829182.jpg | https://images.aqar.fm/webp/750x0/props/000400442_1779394829211.jpg | https://images.aqar.fm/webp/750x0/props/000400443_1779394829209.jpg,True,8462,43,9512.0,24.774218,46.608799
6743368,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/حي-الرمال-مدينة-الرياض-منطقة-الرياض-6743368,"شقة للبيع في حي الرمال, مدينة الرياض, منطقة الرياض",حي الرمال,الرياض,شرق الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,550000.0,86.0,2.0,3.0,1.0,0.0,لا,6.25,34400,740,1.05,🟢 سعر عادل,تشطيبات حديثة مذكورة | يوجد مجلس منفصل | يوجد ضمان,,False,شقة بغرفتي نوم في مشروع الصدفة 27,{},جميع البيانات متطابقة مع الوصف. العقار جديد (عمر 0 سنة) مع شهادة إتمام بناء وضمانات شاملة.,"✨ **شقة مميزة للبيع | مشروع الصدفة 27 | حي الرمال** ✨

🏡 **فرصة رائعة للتملك في مشروع سكني حديث يجمع بين الجودة، الموقع المميز، والسعر المناسب**

إذا كنت تبحث عن شقة عملية بتصميم مريح وتشطيبات عالية الجودة في أحد الأحياء الواعدة شرق الرياض، فإن هذه الشقة توفر لك كل ما تحتاجه للسكن والاستثمار.

📍 **حي الرمال – مشروع الصدفة 27**
📐 **المساحة: 86 م²**
💰 **السعر: 550,000 ريال**

### 🏠 تفاصيل الشقة

▪️ غرفتا نوم
▪️ مجلس مستقل
▪️ صالة معيشة مريحة
▪️ مطبخ
▪️ 3 دورات مياه
▪️ توزيع عملي يحقق الراحة والخصوصية

### ⭐ مميزات المشروع

✔️ بناء وفق متطلبات **الكود السعودي**
✔️ إشراف هندسي معتمد خلال جميع مراحل التنفيذ
✔️ شهادة إتمام بناء
✔️ تشطيبات عالية الجودة
✔️ تصميم عصري واستغلال مثالي للمساحات
✔️ بيئة سكنية هادئة ومناسبة للعائلات

### 🛡️ الضمانات

▪️ تأمين ضد العيوب الخفية
▪️ ضمانات السباكة
▪️ ضمانات العزل الحراري والمائي
▪️ ضمانات الأعمال الكهربائية
▪️ جميع الضمانات المعتمدة متوفرة

💎 **شقة مثالية للسكن أو الاستثمار، تجمع بين جودة التنفيذ، الضمانات الشاملة، والموقع الحيوي ضمن مشروع سكني حديث في حي الرمال.**

📞 **للمعاينة والاستفسار تواصل الآن.**",https://images.aqar.fm/webp/750x0/props/051063804_1782142138058.jpg | https://images.aqar.fm/webp/750x0/props/051063807_1782142138064.jpg | https://images.aqar.fm/webp/750x0/props/051063800_1782142138072.jpg | https://images.aqar.fm/webp/750x0/props/051063808_1782142138071.jpg,True,6395,140,6065.0,24.9031,46.835686
6820894,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-605-الرمال-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6820894,"شقة للبيع في شارع 605 الرمال, حي الرمال, مدينة الرياض, منطقة الرياض",حي الرمال,الرياض,شرق الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,550000.0,86.0,4.0,3.0,1.0,0.0,لا,6.15,33800,867,1.05,🟢 سعر عادل,,,False,شقة دور ثاني,{},البيانات المسجلة مطابقة للوصف. الحي: حي الرمال - مخطط ريبال 2. الموقع قريب من طريق الجنادرية.,"السلام عليكم ورحمة الله وبركاتة 
نقدم لكم شقه دور ثاني 
بسعر 550 الف 
حي الرمال مخطط ريبال 2 
موقع ممتاز جدا وقريب من طريق الجنادرية 
للتواصل والاستفسار 
((الرقم يظهر عند الضغط على اتصال))",https://images.aqar.fm/webp/750x0/props/044777353_1786639388064.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786639387641.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1786639387635.jpg | https://images.aqar.fm/webp/750x0/props/044777359_1786639387636.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1786639387639.jpg | https://images.aqar.fm/webp/750x0/props/044777355_1786639387857.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1786639387845.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786639387849.jpg | https://images.aqar.fm/webp/750x0/props/044777353_1786639388064.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786639387641.jpg | https://images.aqar.fm/webp/750x0/props/044777351_1786639387635.jpg | https://images.aqar.fm/webp/750x0/props/044777359_1786639387636.jpg | https://images.aqar.fm/webp/750x0/props/044777354_1786639387639.jpg | https://images.aqar.fm/webp/750x0/props/044777355_1786639387857.jpg | https://images.aqar.fm/webp/750x0/props/044777358_1786639387845.jpg | https://images.aqar.fm/webp/750x0/props/044777350_1786639387849.jpg,True,6395,140,6065.0,24.898274,46.831484
6649830,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-تميم-الجرجاني-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6649830,"شقة للبيع في شارع تميم الجرجاني, حي الرمال, مدينة الرياض, منطقة الرياض",حي الرمال,الرياض,شرق الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,500000.0,130.0,3.0,3.0,1.0,0.0,لا,6.02,30100,3400,0.74,🟢 سعر عادل,قريب من الخدمات | يوجد مجلس منفصل,,False,شقة علوية - 3 غرف,{},جميع البيانات متطابقة مع الوصف. العقار جديد (عمر 0 سنة),"🏡 شقة علوية للبيع – حي الرمال (الرياض)

فرصة مناسبة للسكن في حي مميز 👇

📍 الموقع: حي الرمال – الرياض  

🏡 التفاصيل:  
• 3 غرف  
• مجلس  
• مطبخ  
• دورات مياه  

✨ تصميم عملي واستغلال جيد للمساحة  
✨ موقع قريب من الخدمات",https://images.aqar.fm/webp/750x0/props/029410227_1775896056667.jpg,True,3846,423,5213.0,24.884792,46.834318
6749137,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المونسية/شارع-الفجر-حي-المونسية-مدينة-الرياض-منطقة-الرياض-6749137,"شقة للبيع في شارع الفجر, حي المونسية, مدينة الرياض, منطقة الرياض",حي المونسية,الرياض,شرق الرياض,🟢 فرصة قوية,عالية,عائد إيجاري موثّق رسميًا من سكني، وسعر بيع عادل مقارنة بصفقات وزارة العدل، وبدون أي تعارض بالبيانات,شقة,600000.0,124.0,3.0,3.0,1.0,10.0,لا,5.95,35700,2100,0.68,🟢 سعر عادل,يوجد مصعد | يوجد بلكونة | مطبخ راكب | مكيفات مركّبة | غرفة ماستر بحمام خاص | يوجد مجلس منفصل,,False,شقة في الدور الثاني، شارع الفجر، حي المونسية,{},الشقة مفروشة جزئيًا، واجهة جنوبية على شارع 20م، مصعد في العمارة، كاش فقط,"المسؤول عن الإعلان/ عبدالرحمن محمد المجاهد
جوال ((الرقم يظهر عند الضغط على اتصال))

شقة للبيع في شارع الفجر بحي المونسية شرق الرياض

الدور: الثاني
الواجهة: جنوبية على شارع 20 م
المساحة: 124 م²

مواصفات الشقة:
3 غرف نوم (واحدة منها ماستر) - 3 دورات مياه - صالة - مطبخ - مجلس - بلكونة صغيرة
يوجد مصعد في العمارة
المكيفات راكبة
المطبخ راكب: فيه برادة وميكرويف وثلاجة وفرن كهربائي وجهاز تحلية
فيها بعض الأثاث: غرف نوم ودواليب وكنبات
المساحة 124م²

سعر البيع: 600,000 ريال سعودي
(كاش فقط)
السعي على المشتري",https://images.aqar.fm/webp/750x0/props/051981839_1782503695509.png | https://images.aqar.fm/webp/750x0/props/051981830_1782503695509.png | https://images.aqar.fm/webp/750x0/props/051981834_1782503695503.png | https://images.aqar.fm/webp/750x0/props/051981836_1782503695512.png | https://images.aqar.fm/webp/750x0/props/051981830_1782503695509.png | https://images.aqar.fm/webp/750x0/props/051981831_1782503695508.png | https://images.aqar.fm/webp/750x0/props/051981839_1782503695517.png | https://images.aqar.fm/webp/750x0/props/051981834_1782503695532.png,True,4839,93,7108.0,24.815132,46.76375
6766879,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-عبدالله-العنبري-حي-الرمال-مدينة-الرياض-منطقة-الرياض-6766879,"شقة للبيع في شارع عبدالله العنبري, حي الرمال, مدينة الرياض, منطقة الرياض",حي الرمال,الرياض,شرق الرياض,🟡 تحتاج مراجعة,متوسطة,السعر عادل، لكن فيه تعارض بين بيانات الإعلان والوصف -- تأكد من التفاصيل الفعلية,شقة,400000.0,71.0,2.0,2.0,0.0,3.0,لا,7.72,30100,3400,0.66,🟢 سعر عادل,مدخل خاص | يوجد سطح/ملحق | مكيفات مركّبة | يوجد مجلس منفصل,تعارض بيانات اكتشفه التحليل الآلي: rooms=2 بالوصف (مسجّل عندنا 3.0),False,شقة مع سطح في حي الرمال,"{""rooms"": 2}",السعر في الوصف 400 ألف (شامل المكيفات) مختلف عن المسجل 390 ألف. عدد الغرف في الوصف غرفتين فقط بدون المجلس، مختلف عن المسجل 3 غرف.,"🏠🏠🏠

●حي الرمال ريبال 
○للبيــــــــع شقه مع سطح 
○حره يفضل كاش○
●○او غير مدعوم●
●○لا يوجد اتمام بنا○●
○مدخل خاص مستقل 
○مجلس 
○غرفتين
○- صاله 
○ مطبخ 
  ○ مجلس ○
○ دورتين مياه 
○ يوجد سطح
○عمر العقار: ٣ سنوات
○مساحة العقار: 71
○مدخل مستقل - مقابل مرفق عام
○البيع: ٤٠٠ شامل المكيفات

كما نستقبل عروضكم وطلباتكم 
مؤسسة احكام الرمال العقاريه 
للتواصل
((الرقم يظهر عند الضغط على اتصال))
ابوتركي",https://images.aqar.fm/webp/750x0/props/001566184_1783605692530.jpg | https://images.aqar.fm/webp/750x0/props/001566180_1783605719528.jpg | https://images.aqar.fm/webp/750x0/props/001566182_1783605719457.jpg | https://images.aqar.fm/webp/750x0/props/001566185_1783605746992.jpg | https://images.aqar.fm/webp/750x0/props/001566186_1783605746967.jpg | https://images.aqar.fm/webp/750x0/props/001566189_1783605747067.jpg | https://images.aqar.fm/webp/750x0/props/001566180_1783605747251.jpg | https://images.aqar.fm/webp/750x0/props/001566189_1783605747048.jpg | https://images.aqar.fm/webp/750x0/props/001566185_1783605747027.jpg | https://images.aqar.fm/webp/750x0/props/001566188_1783605747076.jpg | https://images.aqar.fm/webp/750x0/props/001566181_1783605747264.jpg | https://images.aqar.fm/webp/750x0/props/001566183_1783605821626.jpg | https://images.aqar.fm/webp/750x0/props/001566183_1783605821821.jpg | https://images.aqar.fm/webp/750x0/props/001566185_1783605821699.jpg | https://images.aqar.fm/webp/750x0/props/001566187_1783605821755.jpg | https://images.aqar.fm/webp/750x0/props/001566183_1783605821670.jpg | https://images.aqar.fm/webp/750x0/props/001566181_1783605821683.jpg,True,5493,62,8312.0,24.86532,46.842621
