listing_id,url,title,نوع_العقار,district,direction,price,area_sqm,rooms,bathrooms,age_years,actual_annual_rent,yield_pct,key_features,description
6772985,https://sa.aqar.fm/فلل-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-ثابت-بن-أقرم-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6772985,"فيلا للبيع في شارع ثابت بن أقرم, حي أم الحمام الغربي, مدينة الرياض, منطقة الرياض",فيلا,حي ام الحمام الغربي,غرب الرياض,"2,800,000",271.0,5.0,1.0,0.0,"530,040",18.93%,عداد ماء مستقل | صك مستقل,"فرصة استثمارية

فيلا دبلكس استثمارية جديدة – حي أم الحمام الغربي
- المساحة الإجمالية: 542 م² (كل دبلكس 271 م²).
- تقع على شارعين: 10م غربي و10م شمالي.
- 6 عدادات كهرباء وعدادا مياه (لكل دبلكس 3 عدادات كهرباء وعداد مياه مستقل).
- مؤجرة بالكامل بعقود إيجار موثقة.
- الدخل السنوي: 530,040 ريال.
- صك مستقل لكل دبلكس، مما يمنح مرونة في التملك أو البيع مستقبلًا.

ملاحظة : المسجل بالعرض دلكس واحد
البيع على الشور للدبلكسين 5,300,000"
6762138,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الفيصلية/شارع-ابن-شاشة-حي-الفيصلية-مدينة-الرياض-منطقة-الرياض-6762138,"فيلا للبيع في شارع ابن شاشة, حي الفيصلية, مدينة الرياض, منطقة الرياض",فيلا,حي الفيصلية,وسط الرياض,"1,625,000",300.0,,0.0,0.0,"250,000",15.38%,,"مجمع سكن عزاب وسط الرياض للبيع الفيصليه الغربي يبعد عن طريق النهضه  ١٥٠ متر وعن طريق المدينه ٥٠٠ متر شارع الامير سلمان سابقا المجمع على  ٣ شوارع شرقي شمالي غربي راس بلك مؤجر جزء منه حاليا بمبلغ يقارب  ٢٥٠ الف في السنه وبعد اكتمال تاجيره يتجاوز  ٦٥٠ الف في السنه مساحته  ١٢٧٠ متر المبلغ المطلوب  ٥٠٠٠ ريال للمتر شامل ثمن الارض والمباني الي عليها المجمع على ٤ صكوك محدثه والكترونيه ومعتمده من السجل العيني للعقار البيع كامل للصكوك كلها وليست متفرقة للتواصل ((الرقم يظهر عند الضغط على اتصال))
للتواصل ((الرقم يظهر عند الضغط على اتصال))"
6762085,https://sa.aqar.fm/فلل-للبيع/الرياض/وسط-الرياض/حي-الفيصلية/شارع-ابن-شاشة-حي-الفيصلية-مدينة-الرياض-منطقة-الرياض-6762085,"فيلا للبيع في شارع ابن شاشة, حي الفيصلية, مدينة الرياض, منطقة الرياض",فيلا,حي الفيصلية,وسط الرياض,"1,625,000",300.0,,0.0,11.0,"250,000",15.38%,,"مجمع سكن عزاب وسط الرياض للبيع الفيصليه الغربي يبعد عن طريق النهضه  ١٥٠ متر وعن طريق المدينه ٥٠٠ متر شارع الامير سلمان سابقا المجمع على  ٣ شوارع شرقي شمالي غربي راس بلك مؤجر جزء منه حاليا بمبلغ يقارب  ٢٥٠ الف في السنه وبعد اكتمال تاجيره يتجاوز  ٦٥٠ الف في السنه مساحته  ١٢٧٠ متر المبلغ المطلوب  ٥٠٠٠ ريال للمتر شامل ثمن الارض والمباني الي عليها المجمع على ٤ صكوك محدثه والكترونيه ومعتمده من السجل العيني للعقار 
للتواصل ((الرقم يظهر عند الضغط على اتصال))
((الرقم يظهر عند الضغط على اتصال)) التواصل"
6756312,https://sa.aqar.fm/دور-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/طريق-بور-سعيد-حي-الدار-البيضاء-الرياض-منطقة-الرياض-6756312,دور للبيع في طريق بور سعيد ، حي الدار البيضاء ، الرياض ، منطقة الرياض,دور,حي الدار البيضاء,جنوب الرياض,"200,000",299.0,5.0,5.0,4.0,"30,000",15.00%,موقف خاص | دور أرضي,"للتقبيل 
موقف خاص لسيارة كراج مجلس و مقلط بدورة المياه صاله كبيرة و غرفتين واحده  منهم ماستر و يوجد درج داخلي يطلعك ع غرفتين واحده منهم ماستر و صاله و سطحين واحد  كبير للدور العلوي و سطح صغير  مشترك بين الدور الأرضي  و العلوي   
حاليا الدور مؤجر ب30 الف في سنه شهريا 2500 باقي ع نهاية العقد 6 شهور ينتهي في تاريخ 2027/2/1

الاقساط شهرية 5630
الدعم سكني 1026.55
الاجمالي تمويل العقاري 1119324

 
للاستفسار اكثر تواصل ع واتس أو اتصال"
6828583,https://sa.aqar.fm/عمائر-للبيع/الرياض/وسط-الرياض/حي-ثليم/شارع-ممر1-حي-المرقب-مدينة-الرياض-منطقة-الرياض-6828583,"عمارة للبيع في شارع ممر1, حي المرقب, مدينة الرياض, منطقة الرياض",عمارة,حي ثليم,وسط الرياض,"1,100,000",110.0,,,8.0,"144,000",13.09%,قريب من الخدمات,"🏠 فرصة استثمارية مميزة - حي المرقب، الرياض

عقار مؤجر بالكامل بدخل إيجاري سنوي مؤكد 144,000 ريال (يعادل 12,000 ريال شهرياً)

📍 الموقع: حي المرقب - قريب من محطة مترو وشارع أبي أيوب الأنصاري، قرب المواصلات والطرق والخدمات

تفاصيل العقار:

	•	🏗️ عمر العقار: 9 سنوات
	•	📐 المساحة: 110 م²
	•	🚪 عدد الوحدات: 16 غرفة
	•	⚡ عدادات الكهرباء: 6 عدادات مستقلة
	•	✅ حالة العقار: مؤجر بالكامل حالياً

💰 عقار مناسب للمستثمر الباحث عن دخل إيجاري ثابت ومستقر، بموقع حيوي وقريب من الخدمات.
((الرقم يظهر عند الضغط على اتصال))"
6836639,https://sa.aqar.fm/عمائر-للبيع/الرياض/وسط-الرياض/حي-منفوحة-الجديدة/شارع-اليسع-بن-عيسى-حي-منفوحة-الجديدة-مدينة-الرياض-منطقة-الرياض-6836639,"عمارة للبيع في شارع اليسع بن عيسى, حي منفوحة الجديدة, مدينة الرياض, منطقة الرياض",عمارة,حي منفوحة الجديدة,وسط الرياض,"650,000",100.0,,,11.0,"84,000",12.92%,قريب من الخدمات,"عمارة سكنية عوائل للبيع – منفوحة الجديدة

🏢 عمارة سكنية عوائل للبيع بموقع مميز في حي منفوحة الجديدة

📍 الموقع: حي منفوحة الجديدة – موقع ممتاز وقريب من الخدمات 

مواصفات العقار:

* 📐 مساحة الأرض: 100 م²
* 🏠 عدد الوحدات: 6 شقق سكنية
* 💰 الدخل السنوي: 84,000 ريال
* 👨‍👩‍👧‍👦 مؤجرة بالكامل لعوائل
* ✨ جميع الوحدات مجددة بالكامل
* ❄️ مكيفة بتكييف جديد

⭐ مميزات الموقع:

* 🚇 بالقرب من محطة مترو منفوحة
* 🛣️ بالقرب من شارع البطحاء
* 🛍️ بالقرب من أسواق الذهب
* 🏪 محاطة بجميع الخدمات والمرافق
* 📍 موقع مميز مناسب للسكن والاستثمار

فرصة استثمارية بدخل سنوي قائم ومستقر، والعمارة مؤجرة بالكامل.

للتواصل والاستفسار:
[((الرقم يظهر عند الضغط على اتصال))5556130]"
6761400,https://sa.aqar.fm/عمائر-للبيع/الرياض/وسط-الرياض/حي-منفوحة/شارع-الخضرة-حي-منفوحة-مدينة-الرياض-منطقة-الرياض-6761400,"عمارة للبيع في شارع الخضرة, حي منفوحة, مدينة الرياض, منطقة الرياض",عمارة,حي منفوحة,وسط الرياض,"1,300,000",214.0,,,11.0,"165,000",12.69%,,"للبيــــــــع عماره بحي منفوحه زاوية 

مساحه ٢١٤ متر 
شارعين ١٠ شمالي وغربي
في ٧ شقه 
عمره العقار ٢٠

العماره مؤجرة بالكامل 
بي ١٦٥ الف ريال في سنه 
عليه دفعتين 
بدت العقد شهر ٤ عام ٢٠٢٥
حد البيــــــــــــــــع مليون ٦٠٠ الف ريال
اتصال  ((الرقم يظهر عند الضغط على اتصال))"
6804490,https://sa.aqar.fm/دور-للبيع/الرياض/جنوب-الرياض/حي-المناخ/شارع-أبي-بكر-الوكيل-حي-المناخ-مدينة-الرياض-منطقة-الرياض-6804490,"دور للبيع في شارع أبي بكر الوكيل, حي المناخ, مدينة الرياض, منطقة الرياض",دور,حي المناخ,جنوب الرياض,"1,350,000",876.0,,0.0,11.0,"162,000",12.00%,,"فرصة استثمارية مميزة
للبيع حي المناخ
مبنى سكن عمال

عقار سكني مؤجر بعقود رسمية.

يتكون من

فيلا دور + ملحق.
استراحة مستقلة.
دخل سنوي 162,000 ريال.
26 غرفة.
10 دورات مياه.
موقع مميز.
 مواقف تتسع لأكثر من 30 سيارة.

السوم: 1,100,000 ريال
البيع قريب
التواصل (((الرقم يظهر عند الضغط على اتصال)))"
6839569,https://sa.aqar.fm/عمائر-للبيع/الرياض/وسط-الرياض/حي-الخالدية/شارع-ابن-نعمة-حي-الخالدية-مدينة-الرياض-منطقة-الرياض-6839569,"عمارة للبيع في شارع ابن نعمة, حي الخالدية, مدينة الرياض, منطقة الرياض",عمارة,حي الخالدية,وسط الرياض,"2,050,000",170.0,,,11.0,"238,000",11.61%,,"� عمارة سكنية للبيع – الصناعية القديمة

📍 الموقع: الصناعية القديمة
📐 مساحة الأرض: 170 م²
🏠 نوع العقار: عمارة سكنية
🔢 عدد الوحدات: 18 وحده
💰 الدخل السنوي: 238,000 ريال
💵 السعر: على السوم

⭐ فرصة استثمارية مميزة
عمارة سكنية في موقع مميز، تضم 20 وحدة، وتحقق دخلًا سنويًا قدره 238,000 ريال.

📌 مناسبة للاستثمار وتحقيق دخل سنوي ثابت.

للمهتمين الجادين والاستفسار والتفاوض: السعر على السوم"
6811559,https://sa.aqar.fm/عمائر-للبيع/الرياض/شرق-الرياض/حي-الخليج/شارع-الامام-محمد-اسماعيل-الصنفاني-حي-الخليج-مدينة-الرياض-منطقة-الرياض-6811559,"عمارة للبيع في شارع الامام محمد اسماعيل الصنفاني, حي الخليج, مدينة الرياض, منطقة الرياض",عمارة,حي الخليج,شرق الرياض,"3,900,000",375.0,,,1.0,"450,000",11.54%,دور أرضي | رهن عقاري,"📢 إعلان بيع – عمارة سكنية تجارية | حي الخليج – الرياض

🔹 الموقع: حي الخليج – شارع 30 غربي
🔹 المساحة: 375 م²
🔹 المكونات:
	•	الدور الأرضي: محلين + 3 استديو + شقة
	•	الدور الأول: 6 استديو + شقة
	•	السطح: 2 استديو + شقة

💰 الدخل السنوي: 450,000 ريال (بنظام الدفعات الشهرية)
🏢 الوضع التأجيري: مؤجرة بالكامل
🏗️ العمر: 40 سنة (مرممة بالكامل قبل سنة ترميم فندقي فاخر)
📄 متوفر رخصة بناء
🏦 عليها رهن مصرف الراجحي 750 ألف

💵 السعر المطلوب: 4,000,000 ريال (شامل الرهن)"
