listing_id,url,title,published_at,district,direction,price,area_sqm,rooms,bathrooms,age_years,actual_annual_rent,yield_pct,key_features,من_المالك_مباشرة,owner_detection_reason,description,نوع_العقار
6766168,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/حي-الملقا-الرياض-منطقة-الرياض-6766168,"شقة للبيع في شارع 26301325, حي الملقا, مدينة الرياض, منطقة الرياض",2026-07-08,حي الملقا,شمال الرياض,"1,700,000",138.0,3.0,4.0,0.0,"174,000",10.24%,نادي رياضي | مسبح | بلكونة | مؤثثة,نعم,عمود الشركة فاضي (فرد),"فرصة استثمارية بعائد قائم ومثبت، مناسبة للمستثمر الباحث عن دخل فوري.

* مؤجرة لدخل إيجاري حالي: 14,500 ريال شهريًا.
* الدخل السنوي المتوقع: 174,000 ريال.
* العائد السنوي (ROI) المتوقع: حوالي 9.94% (بناءً على القيمة الايجارية الحاليه).
* يوجد عقد إيجار ساري يثبت قيمة الإيجار الحالية.
* تم تأجير الشقة قبل 4 أيام فقط، والمستأجر الحالي يرغب في تجديد العقد.
* تدار وتؤجر من خلال شركة متخصصة في إدارة وتشغيل الوحدات السكنية.

مميزات الشقة

* جديدة بالكامل، والمستأجر الحالي هو أول ساكن لها.
* مؤثثة ومجددة(مرممه) بتكلفة تتجاوز 300,000 ريال.
* استخدام رخام طبيعي وخشب طبيعي فاخر بأعلى مستويات الجودة.
* اغلب فواتير التأثيث والتشطيبات متوفرة لإثبات التكاليف.

مميزات المشروع

* مجمع سكني راقٍ يضم مسابح، نادي رياضي (جيم)، حدائق، ومجالس للسكان.
* بلكونة خاصة.
* موقفان خاصان في القبو.

وحدة استثمارية جاهزة تحقق دخلاً من اليوم الأول بعد نقل الملكية.",شقة
6596605,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الروضة/شارع-عبادة-بن-الصامت-حي-الروضة-مدينة-الرياض-منطقة-الرياض-6596605,"شقة للبيع في شارع عبادة بن الصامت, حي الروضة, مدينة الرياض, منطقة الرياض",2026-02-19,حي الروضة,شرق الرياض,"1,150,000",148.0,4.0,3.0,2.0,"108,000",9.39%,دخول ذكي | مطبخ راكب | مكيفات راكبة | مؤثثة | رهن عقاري,لا,,"‎📍 شقة فاخرة للبيع بحي الروضة – فرصة استثمارية جاهزة بدخل ثابت

‎للبيع شقة فاخرة مؤجرة حاليًا بعقد شهري بقيمة 9,000 ريال، والعقد موثّق في منصة إيجار.
‎الشقة تتميز بموقعها المميز وقربها من طريق خريص والشوارع الرئيسية ومحطة المترو، كما تقع بالقرب من جميع الخدمات الحيوية (المدارس، المساجد، الأسواق، والمطاعم).

‎🔹 تفاصيل الشقة:
‎	•	3 غرف نوم (إحداها ماستر)
‎	•	3 دورات مياه
‎	•	صالة فسيحة
‎	•	مطبخ راكب
‎	•	مكيفات راكبة
‎	•	دخول ذكي
‎	•	مفروشة بالكامل
‎	•	ديكورات وتشطيبات راقية

‎🔹 الموقع والمميزات:
‎	•	موقع متميز بحي الروضة
‎	•	قريب جدًا من طريق خريص
‎	•	حي راقٍ وهادئ ومناسب للسكن أو الاستثمار

‎💰 تفاصيل البيع:
‎	•	البيع كاش فقط لكون العقار مرهونًا لبنك
‎	•	مؤجرة حاليًا بعقد موثّق يدر دخلًا شهريًا ثابتًا

‎🏷️ فرصة مميزة لمن يبحث عن استثمار جاهز بعائد شهري مضمون",شقة
6744461,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العقيق/شارع-أوس-بن-عوف-حي-العقيق-مدينة-الرياض-منطقة-الرياض-6744461,"شقة للبيع في شارع أوس بن عوف, حي العقيق, مدينة الرياض, منطقة الرياض",2026-07-22,حي العقيق,شمال الرياض,"1,749,000",116.0,2.0,2.0,1.0,"160,000",9.15%,مطبخ راكب | تشطيب فاخر,لا,,"✨ **فرصة استثمارية استثنائية | شقتان تمليك بصك واحد | مشروع فاليو 5** ✨

📍 **حي العقيق – شمال الرياض**
📐 **المساحة الإجمالية: 126 م²**
📅 **عمر العقار: سنة واحدة فقط**
💰 **سعر البيع: 1,749,000 ريال**
📈 **العائد السنوي: 9.15%**

🏢 **فرصة استثمارية جاهزة تحقق دخلاً سنوياً مستقراً ضمن مشروع فاليو 5 المميز، في أحد أكثر المواقع السكنية طلباً في شمال الرياض.**

### ⭐ مميزات العقار

▪️ شقتان تمليك بصك واحد
▪️ تصميم فاخر مستوحى من الفنادق ذات الخمس نجوم
▪️ مؤثثتان بالكامل بأثاث راقٍ
▪️ تكييف مخفي
▪️ مطابخ مودرن فاخرة بتشطيبات خشبية عالية الجودة
▪️ عمر العقار سنة واحدة فقط
▪️ يقع ضمن مشروع **فاليو 5**
▪️ موقع مميز في قلب حي العقيق

### 🏠 تفاصيل كل شقة

🛏️ غرفة نوم رئيسية (ماستر) مع دورات مياه خاصة

غرفة نوم مشتركة مع دورة مياه

🛋️ صالة معيشة واسعة

🍳 مطبخ راكب ومجهز بالكامل

### 💰 العوائد الاستثمارية

🏠 **الشقة الأولى**
▪️ مؤجرة بعقد سنوي
▪️ دخل سنوي: 85,000 ريال
▪️ السداد على دفعتين

🏠 **الشقة الثانية**
▪️ مؤجرة بعقد سنوي
▪️ دخل سنوي: 75,000 ريال
▪️ السداد دفعة واحدة

### 📊 ملخص الاستثمار

💵 **سعر الشراء:** 1,749,000 ريال

💰 **إجمالي الدخل السنوي:** 160,000 ريال

📈 **العائد السنوي على الاستثمار:** 9.15%

### 💎 لماذا تعتبر فرصة مميزة؟

✔️ دخل إيجاري قائم ومؤكد من اليوم الأول

✔️ عائد استثماري مرتفع مقارنة بالمتوسط السوقي

✔️ مشروع حديث بعمر سنة واحدة فقط

✔️ موقع استراتيجي في حي العقيق بالقرب من أهم الطرق والخدمات

✔️ تشطيبات فاخرة وتجهيزات متكاملة تقلل تكاليف التشغيل والصيانة

📞 **للمعاينة والاستفسار وحجز موعد زيارة، تواصل الآن.** ترجم",شقة
6425736,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-العقيق/شارع-محمد-بن-دخيل-حي-العقيق-مدينة-الرياض-منطقة-الرياض-6425736,"شقة للبيع في شارع محمد بن دخيل, حي العقيق, مدينة الرياض, منطقة الرياض",2025-10-15,حي العقيق,شمال الرياض,"1,900,000",125.0,3.0,3.0,2.0,"171,000",9.00%,دخول ذكي | مؤثثة,لا,,"خطوة المستقبل لإدارة الأملاك 
دائماً تقدم لكم العروض المميزة
((فرصة ذهبية))

شقه فاخرة VIP مفروشه فرش كامل جديده في مجمع الرمز حي العقيق يعتبر من أرقي احياء الرياض. يتسم بالهدوء والحيوية يتوفر فيه جميع الخدمات وقريب من الاماكن الترفيهية والخدمية مثال المدينة المالية والبوليفار وورلد وبوليفارد سيتي والأسواق التجارية والمطاعم والكافيهات.
مجمع ستون كومبلكس الرمز من المجمعات السكنية التي تشعرك بالحياة الفندقية ذات المستوى العالي من حيث التصميم والبناء والامان للسكان حيث يوفر كاميرات المراقبة الدخول الذكي من البوابات. استقبال فاخر. لاونج مكتبي مجهز بوسائل الاتصالات الحديثة يمكن للساكن استخدامه عند الحاجة كمركز اعمال. يوجد ساحة خارجيه للاستخدام المناسبات وحفلات التخرج والميلاد وغيره. الشقة
مؤثثة بشكل فاخر وتصميم مميز من ناحية تنسيق الالوان ونوع الاثاث وجودته استغلال المساحات بطريقه ذكيه 
مطبخ مفتوح عصري فاخر جدا مجهز تجهيز بأحدث الأجهزة الإلكترونية 
سمارت هوم. غرفة غسيل مجهزه بأحدث الأجهزة غساله نشافه اجهزة الكي واماكن التخزين. مكنسة كهربائية مركزيه لكامل الشقة.
3غرف نوم وصالة كبيرة و3دورات مياه. بلكونه ذات اطلاله مميزه.
الشقة مكيفة بالكامل تكيف مركزي. 
بيع 1900000 شامل الضريبة 
ومؤجرة حاليا حتى مايو 2026 
9% من قيمة البيع 
وبقية التفاصيل في الصور
للتواصل
920022299
0112522299
((رقم المعلن يظهر عند التواصل))
((رقم المعلن يظهر عند التواصل))
رقم ترخيص الإعلان
7200568519",شقة
6638758,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المنار/شارع-إدريس-السنوسي-حي-المنار-مدينة-الرياض-منطقة-الرياض-6638758,"شقة للبيع في شارع إدريس السنوسي, حي المنار, مدينة الرياض, منطقة الرياض",2026-05-30,حي المنار,شرق الرياض,"840,000",136.0,2.0,2.0,0.0,"72,000",8.57%,,نعم,advertiser_type = 0 (بدون شركة مسجّلة),"شقة للبيع موقع مميزة في جميع الخدمات بحي المنار

عبارة عن غرفتين و صالة ودورتين مياة 

مؤجرة ب ٧٢ الف سنوي دفع شهري ٦٠٠٠ ريال 

ملاحظة البيع كاش فقط

للمعاينة / التنسيق مسبقاً",شقة
6812665,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-عرقة/شارع-الصلاح-حي-عرقة-مدينة-الرياض-منطقة-الرياض-6812665,"شقة للبيع في شارع الصلاح, حي عرقة, مدينة الرياض, منطقة الرياض",2026-08-09,حي عرقة,غرب الرياض,"920,000",95.0,3.0,3.0,4.0,"78,000",8.48%,موقف خاص,نعم,عمود الشركة فاضي (فرد),"فرصة استثمارية للبيع في حي عرقة 
شقة مؤجرة ب78,000 الف سنويا
في موقع مميز مقابل مسك مدينة الامير محمد بن سلمان غير الربحية 

السعر 920,000
المساحة : 95 متر
صالة 
مطبخ 
غرفه غسيل 
3 غرف نوم 
3 دورات مياة
موقف خاص",شقة
6713251,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ديراب/شارع-عبدالله-بن-مسرور-حي-ديراب-مدينة-الرياض-منطقة-الرياض-6713251,"شقة للبيع في شارع عبدالله بن مسرور, حي ديراب, مدينة الرياض, منطقة الرياض",2026-05-30,حي ديراب,غرب الرياض,"500,000",145.0,5.0,3.0,3.0,"42,000",8.40%,دخول ذكي | حوش خاص | دور أرضي,نعم,عمود الشركة فاضي (فرد),"شقة دور أرضي للبيع – ديراب ✨

145م | 3 غرف + مجلس + مقلط + مطبخ

(غرفة ماستر + غرفتين بدورة مياه مشتركة)

✔️ دخول ذكي 🔐
✔️ حوش خلفي (ارتداد) 🌿
✔️ موقع ممتاز جداً
✔️ سكان هادئون وراقون
✔️ عمارة صغيرة (7 شقق)
✔️ عمرها سنتين + شهادة إتمام بناء
✔️ المبنى عليه تأمين 10 سنوات من شركة ملاذ للتأمين 🏢
✔️ عداد مستقل + خزانين

💰 مؤجرة 42 ألف سنوي (دخل ثابت)
السعر المسجل سوم والبيع قريب",شقة
6699595,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-نمار/شارع-عائش-بن-الصامت-بن-دريد-حي-العوالي-مدينة-الرياض-منطقة-الرياض-6699595,"شقة للبيع في شارع عائش بن الصامت بن دريد, حي العوالي, مدينة الرياض, منطقة الرياض",2026-07-18,حي ظهرة نمار,غرب الرياض,"599,000",110.0,3.0,0.0,1.0,"50,000",8.35%,,لا,,"شقة للبيع مشروع أوج 10 
مؤجرة بعقد 50.000 
راكب مكيفات ومطبخ",شقة
6628835,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الرمال/شارع-ممر107-حي-الرمال-الرياض-منطقة-الرياض-6628835,"شقة للبيع في شارع عبادة بن عمرو الأنصاري, حي الرمال, مدينة الرياض, منطقة الرياض",2026-03-24,حي الرمال,شرق الرياض,"1,150,000",129.0,2.0,3.0,0.0,"94,000",8.17%,موقف خاص | مطبخ راكب | مؤثثة,نعم,عمود الشركة فاضي (فرد),"🏠 فرصة استثمارية وسكنية فاخرة | حي الرمال
للبيع شقة مؤثثة جديدة بالكامل بعائد استثماري مرتفع وموقع استراتيجي.

📋 مواصفات العقار:
 * المساحة: 129 متر مربع.
 * الموقع: حي الرمال، بالقرب من طريق الأمير محمد بن سلمان.
 * التجهيزات: مؤثثة بالكامل (أثاث مودرن) + مطبخ متكامل بجميع الأجهزة الكهربائية.
 * المميزات: موقف خاص مخصص في القبو، قريبة جداً من الخدمات والشارع التجاري.
تجمع الشقة بين الموقع الذهبي في أحد أسرع أحياء الرياض نمواً، وبين العائد المادي المرتفع والمضمون للمستثمر بالإضافة إلى جاهزيتها التامة دون الحاجة لأي مصاريف إضافية للسكن او الاستثمار. 

💰 الحالة الاستثمارية:
 * مؤجرة حالياً: بمبلغ 94,000 ريال (عقد إلكتروني).
 * تفاصيل الدفع: متبقي دفعة تستحق في 10 أغسطس 2026 (تنتقل للمشتري الجديد)

⚠️ ملاحظات هامة للمعاينة:
حرصاً على وقت المالك والمستأجر، وتجنباً للإزعاج، نرجو مراعاة الآتي:
 * للزبون الجاد فقط.
 * يشترط دفع عربون مسترد قبل موعد المعاينة، يُسترجع فوراً في حال عدم الرغبة في الشراء بعد المعاينة أو يُخصم من القيمة الإجمالية عند الاتفاق.
> لماذا العربون؟
> نظراً لأن الشقة مؤجرة حالياً، نهدف للحفاظ على خصوصية المستأجر وضمان جدية المتقدمين للمعاينة فقط.",شقة
6620918,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الأمير-يزيد-بن-عبدالله-بن-عبدالرحمن-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6620918,"شقة للبيع في شارع الأمير يزيد بن عبدالله بن عبدالرحمن, حي الملقا, مدينة الرياض, منطقة الرياض",2026-03-10,حي الملقا,شمال الرياض,"1,265,000",115.0,2.0,3.0,3.0,"102,000",8.06%,موقف خاص | بلكونة,لا,,"🏷️ شقة مؤجرة للبيع في الماجدية فيليج – حي الملقا
🏷️ Tenanted Apartment for Sale in Al Majidiah Village – Al Malqa
🏷️ 位于Al Majidiah Village（Al Malqa）的带租约公寓出售

📌 تفاصيل العقار

شقة ضمن مجمع سكني راقٍ

مساحة: ١١٥ م²

٢ غرف نوم

٣ دورات مياة

صالة معيشة

مطبخ

بلكونة

موقف خاص

مرافق وخدمات المجمع السكني

الوضع الحالي

الشقة مؤجرة حاليًا بعقد سنوي ١٠٢,٠٠٠ ريال

المستأجر الحالي يسكن في الوحدة

موعد توفر الشقة: ١٥ أبريل

💰 السعر
1,300,000
🏢 لماذا علامة العقارية
✔ دعم محلي احترافي
✔ عروض عقارية مختارة بدقة
✔ تواصل واضح بدون تعقيد
✔ تجربة راقية ومناسبة للمهنيين والمقيمين

📌 Property Details

Apartment within a premium gated community

Size: 115 sqm

2 bedrooms

3 bathrooms

Living room

Kitchen

Balcony

Private parking

Community amenities and facilities

Current Status

Currently rented for 102,000 SAR annually

Unit is occupied by the tenant

Available starting 15 April

💰 Price
1,300,000
🏢 Why Alama Realty
✔ Professional local support
✔ Carefully curated property listings
✔ Clear and transparent communication
✔ Premium experience tailored for professionals and expats

📌 中文摘要
该公寓位于Al Malqa区的Al Majidiah Village高端社区，面积115㎡，两卧三卫，带阳台和停车位。目前年租金为102,000里亚尔，租客在住，预计4月15日可腾空，适合投资或自住。",شقة
