الفترة الزمنية,المدينة ,المنطقة,استخدام العقار,نوع الوحدة,الحي,متوسط السعر اربع غرف,عدد الصفقات اربع غرف ,متوسط السعر ثلاث غرف,عدد الصفقات ثلاث غرف,متوسط السعر غرفتين,عدد الصفقات غرفتين,اجمالي الصفقات
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الشفاء,22.10,208,20.2,535,17.2,188,1700
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الجزيرة,33.7,99,31.4,283,24.3,124,1000
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,المصيف ,38.8,230,38.8,458,34.3,479,3000
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,القيروان,62.3,204,56.9,537,53.4,190,54400
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الربوة,32.5,192,40.2,531,36,353,2100
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الملقا,58.1,924,54.8,1400,49.4,640,8300
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الرمال ,33.8,867,30.1,3400,34.4,740,10400
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الخير ,24.1,5,22,12,23.9,8,119
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الفلاح,41.1,130,40.1,249,35.9,222,1400
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الروابي,33.5,221,29.7,771,24.7,344,2800
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,المرسلات,43.3,103,40.7,245,34,132,110
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,السفارات,189.1,5,88.1,49,90.2,77,299
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الملك فهد,39.1,108,37,211,34.5,186,1200
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الربيع ,50.1,217,48,389,49,233,2000
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,المونسية ,39.3,684,35.7,2100,35.1,832,9000
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,المعذر,33.5,60,30.2,214,29.5,329,1300
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,المحمدية,53.4,54,50.4,82,51,54,489
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الريان,41.9,195,40.3,372,32.8,215,1700
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الندى,68.1,104,55.8,199,51.4,117,909
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,النهضة,30.8,402,28.3,1400,25.2,649,5000
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,التعاون,47.3,216,45.5,426,37.7,264,1900
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,غرناطة,38.2,227,36,487,35.6,289,2400
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الإزدهار,46.1,198,40.7,437,44.2,324,2300
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,النخيل,57.9,206,54.5,314,51.1,153,1400
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,النرجس,57.6,863,52,2100,45.7,861,9400
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الوادي,38.8,215,40.9,462,36.2,332,2500
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,العارض,49.4,554,44.6,1600,41.6,600,6800
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الشهداء,48.4,194,63.5,473,53.1,296,2500
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,العليا ,53.1,620,47.5,1300,43.3,954,7100
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الياسمين,55.2,457,49.8,1000,47,452,4600
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,النفل ,43.7,160,41.5,435,38.1,245,1900
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,حطين,60,258,68.7,391,57.3,208,2300
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,قرطبة ,49.2,642,47.5,1400,44.2,561,6000
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,مغرزات ,47.5,120,43.5,273,37.7,130,1400
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الغدير,53.2,156,49.4,274,47.9,101,1100
Q1 - Q2 ,الرياض,الرياض,سكني,شقة,الملك سلمان,49.6,93,49.4,214,41,101,1000
