رقم الصفقة,التصنيف,النوع,سعر الصفقة (ريال),المساحة (متر مربع),سعر المتر المربع (ريال),تاريخ الصفقة,المنطقة,المدينة,الحي,المخطط,القطعة,نظام البناء,معامل البناء,استخدام الأرض,الارتفاع عن سطح البحر,خط الطول,خط العرض,تصنيف دقة الموقع,الملاحظات,مصدر البيانات,السنة_المصدر
34238257,سكني,قطعة أرض,1131273.0,400.0,2828,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2186,,,سكنى / سكني / فيلا أسرة واحدة,630.8,46.767083,24.674801,0,,وزارة العدل,2025
34238037,سكني,قطعة أرض,1696910.0,600.0,2828,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2178,,,سكنى / سكني / فيلا أسرة واحدة,631.8,46.769162,24.673285,0,,وزارة العدل,2025
34237940,سكني,قطعة أرض,1414092.0,500.0,2828,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2139,,,سكنى / سكني / فيلا أسرة واحدة,631.6,46.769683,24.674497,0,,وزارة العدل,2025
34237705,سكني,قطعة أرض,1131273.0,400.0,2828,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2131,,,سكنى / سكني / فيلا أسرة واحدة,631.1,46.769256,24.675346,0,,وزارة العدل,2025
34237626,سكني,قطعة أرض,1131273.0,400.0,2828,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2135,,,سكنى / سكني / فيلا أسرة واحدة,631.2,46.769421,24.675018,0,,وزارة العدل,2025
34237526,سكني,قطعة أرض,1187837.0,420.0,2828,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2137,,,سكنى / سكني / فيلا أسرة واحدة,631.4,46.769505,24.67485,0,,وزارة العدل,2025
34237379,سكني,قطعة أرض,2940000.0,600.0,4900,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,1267,,,سكنى / سكني / فيلا أسرة واحدة,614.8,46.768792,24.665043,0,,وزارة العدل,2025
34237121,سكني,قطعة أرض,751754.0,290.0,2592,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2098,,,سكنى / سكني / فيلا أسرة واحدة,620.9,46.764175,24.668265,0,,وزارة العدل,2025
34236871,سكني,قطعة أرض,1036902.0,400.0,2592,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2084,,,سكنى / سكني / فيلا أسرة واحدة,622.6,46.763491,24.669624,0,,وزارة العدل,2025
34236466,سكني,قطعة أرض,761475.0,293.75,2592,31/12/2025,الرياض,الرياض,الصفاء,3203 / 1,2081,,,سكنى / سكني / فيلا أسرة واحدة,623.3,46.7636,24.669843,0,,وزارة العدل,2025
