listing_id,url,district,price,area_sqm,rooms,age_years,predicted_annual_rent,expected_yield_pct
6714776,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-الأمير-عبدالمحسن-بن-عبدالعزيز-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6714776,حي الصفا,455000.0,113.0,2.0,0.0,68077.22553002556,14.96
6741468,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-السليمانية/شارع-ابن-القزاز-حي-السليمانية-الرياض-منطقة-الرياض-6741468,حي السليمانية,660000.0,169.0,4.0,4.0,93204.38216855959,14.12
6789596,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-ابن-نعيم-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6789596,حي طيبة,350000.0,250.0,3.0,0.0,47020.513154438115,13.43
6748337,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-طيبة/شارع-النسور-حي-طيبة-مدينة-الرياض-منطقة-الرياض-6748337,حي طيبة,380000.0,201.0,4.0,0.0,46506.64933769932,12.24
6624824,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-البسالة-حي-القادسية-مدينة-الرياض-منطقة-الرياض-6624824,حي القادسية,495000.0,142.0,3.0,0.0,59842.29962918396,12.09
6759502,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-السيل-الكبير-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6759502,حي المهدية,600000.0,112.0,2.0,0.0,72060.32926914493,12.01
6692042,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الملقا/شارع-الإعتماد-حي-الملقا-مدينة-الرياض-منطقة-الرياض-6692042,حي الملقا,863000.0,125.0,3.0,2.0,103598.60297260244,12.0
6748408,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-بدر/شارع-الإعتدال-حي-بدر-الرياض-منطقة-الرياض-6748408,حي بدر,370000.0,131.0,3.0,14.0,44299.31624394124,11.97
6746271,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ام-الحمام-الغربي/شارع-العمارات-حي-أم-الحمام-الغربي-مدينة-الرياض-منطقة-الرياض-6746271,حي ام الحمام الغربي,910000.0,72.0,3.0,0.0,108774.1032276612,11.95
6768447,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-خشم-العان/حي-خشم-العان-الرياض-منطقة-الرياض-6768447,حي خشم العان,250000.0,220.0,3.0,3.0,29562.68148749401,11.83
6774154,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-الصهيد-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6774154,حي الصفا,550000.0,105.37,2.0,0.0,64771.41990786992,11.78
6745288,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-الربيع/شارع-ابي-بن-معاذ-الانصاري-حي-الربيع-مدينة-الرياض-منطقة-الرياض-6745288,حي الربيع,900000.0,138.0,3.0,3.0,105456.49719533583,11.72
6598083,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-هبة-الله-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6598083,حي المهدية,650000.0,129.0,3.0,0.0,75215.76160569728,11.57
6369836,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الفيحاء/شارع-الرداح-حي-الفيحاء-مدينة-الرياض-منطقة-الرياض-6369836,حي الفيحاء,564000.0,131.0,3.0,0.0,65239.35869063714,11.57
6660108,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-ظهرة-لبن/شارع-العشيرة-حي-ظهرة-لبن-الرياض-منطقة-الرياض-6660108,حي ظهرة لبن,700000.0,149.0,3.0,3.0,80183.34031420431,11.45
6783178,https://sa.aqar.fm/شقق-للبيع/الرياض/وسط-الرياض/حي-اليمامة/شارع-سعيد-بن-نافع-حي-اليمامة-مدينة-الرياض-منطقة-الرياض-6783178,حي اليمامة,320000.0,57.0,3.0,5.0,36560.725553150536,11.43
6662067,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ابن-حجر-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6662067,حي الدار البيضاء,257000.0,114.0,3.0,11.0,29206.426645576637,11.36
6612250,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-القيروان/شارع-نجد-حي-نجد-مدينة-الجبيلة-منطقة-الرياض-6612250,حي القيروان,450000.0,54.0,3.0,5.0,51063.40830280829,11.35
6639051,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-الحزم/شارع-تميم-بن-بشر-حي-الحزم-مدينة-الرياض-منطقة-الرياض-6639051,حي الحزم,390000.0,88.0,4.0,0.0,44108.605276205286,11.31
6747925,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-السعادة/شارع-البقيع-حي-السعادة-مدينة-الرياض-منطقة-الرياض-6747925,حي السعادة,500000.0,100.0,3.0,0.0,55586.19451680934,11.12
6356129,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الجنادرية/شارع-خليفه-ابن-حمد-آل-ثاني-حي-الجنادرية-مدينة-الرياض-منطقة-الرياض-6356129,حي الجنادرية,450000.0,168.0,5.0,0.0,49960.58206700705,11.1
6555611,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-هبة-الله-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6555611,حي المهدية,670000.0,129.0,3.0,0.0,73603.61253994823,10.99
6788268,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-الأمير-عبدالمحسن-بن-عبدالعزيز-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6788268,حي الصفا,455000.0,64.0,2.0,0.0,49714.92069504569,10.93
6785947,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-الصفا/شارع-الأمير-عبدالمحسن-بن-عبدالعزيز-حي-الصفاء-مدينة-الرياض-منطقة-الرياض-6785947,حي الصفا,455000.0,64.0,2.0,0.0,49714.92069504569,10.93
6771069,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-السويدي/شارع-اللوز-الهندي-حي-السويدي-مدينة-الرياض-منطقة-الرياض-6771069,حي السويدي,380000.0,82.0,2.0,0.0,41383.924627224624,10.89
6586299,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أحمد-بن-الحسن-الأنصاري-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6586299,حي المهدية,550000.0,110.0,3.0,0.0,59809.26184278683,10.87
6474856,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-المعيزلة/شارع-الرياحين-حي-المعيزيلة-مدينة-الرياض-منطقة-الرياض-6474856,حي المعيزلة,550000.0,139.0,4.0,0.0,59312.95699257718,10.78
6670799,https://sa.aqar.fm/شقق-للبيع/الرياض/شمال-الرياض/حي-المرسلات/شارع-الامير-مقرن-بن-عبدالعزيز-حي-المرسلات-مدينة-الرياض-منطقة-الرياض-6670799,حي المرسلات,899000.0,205.0,2.0,0.0,95460.8066008922,10.62
6738383,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الغربي/شارع-عبدالله-العبدالقادر-حي-النسيم-الغربي-مدينة-الرياض-منطقة-الرياض-6738383,حي النسيم الغربي,550000.0,109.0,3.0,0.0,58368.244727693425,10.61
6763815,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الغربي/شارع-سلمة-بن-الاكوع-حي-النسيم-الغربي-مدينة-الرياض-منطقة-الرياض-6763815,حي النسيم الغربي,560000.0,103.0,4.0,0.0,59427.656122629814,10.61
6612926,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-ابي-هريرة-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6612926,حي النسيم الشرقي,585063.0,118.0,3.0,0.0,61884.05366597733,10.58
6694946,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-ابي-هريرة-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6694946,حي النسيم الشرقي,585000.0,118.0,3.0,0.0,61884.05366597733,10.58
6478770,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-النسيم-الشرقي/شارع-ابي-هريرة-حي-النسيم-الشرقي-مدينة-الرياض-منطقة-الرياض-6478770,حي النسيم الشرقي,585000.0,118.0,3.0,0.0,61884.05366597733,10.58
6669169,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-عمر-بن-عبدالقادر-مفتي-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6669169,حي المهدية,670000.0,130.0,3.0,0.0,70605.34676868244,10.54
6506192,https://sa.aqar.fm/شقق-للبيع/الرياض/جنوب-الرياض/حي-الدار-البيضاء/شارع-ماجد-بن-مرعيد-حي-الدار-البيضاء-مدينة-الرياض-منطقة-الرياض-6506192,حي الدار البيضاء,390000.0,127.0,4.0,0.0,41082.447680615674,10.53
6561799,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-محمد-بن-هبة-الله-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6561799,حي المهدية,700000.0,129.0,3.0,0.0,73603.61253994823,10.51
6435821,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-أبي-الحسن-الأسفرائيني-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6435821,حي المهدية,600000.0,110.0,4.0,0.0,62982.089668664674,10.5
6501989,https://sa.aqar.fm/شقق-للبيع/الرياض/شرق-الرياض/حي-القادسية/شارع-جبل-تدوم-حي-القادسية-الرياض-منطقة-الرياض-6501989,حي القادسية,495000.0,115.0,4.0,3.0,51804.30000596719,10.47
6575944,https://sa.aqar.fm/شقق-للبيع/الرياض/غرب-الرياض/حي-المهدية/شارع-عمر-بن-عبدالقادر-مفتي-حي-المهدية-مدينة-الرياض-منطقة-الرياض-6575944,حي المهدية,675000.0,130.0,3.0,0.0,70605.34676868244,10.46
