date,total_site,total_scraped,coverage_pct,site_شمال الرياض,scraped_شمال الرياض,site_شرق الرياض,scraped_شرق الرياض,site_غرب الرياض,scraped_غرب الرياض,site_جنوب الرياض,scraped_جنوب الرياض,site_وسط الرياض,scraped_وسط الرياض
2026-07-26 12:20,8334,8326,99.9,1953,1951,2863,2861,2720,2716,759,759,39,39
2026-07-27 10:08,10462,10390,99.3,2408,2389,3691,3663,3457,3435,867,864,39,39
2026-07-30 00:04,10548,10482,99.4,2428,2416,3748,3706,3468,3457,863,862,41,41
2026-07-31 01:04,10339,10331,99.9,2410,2410,3643,3642,3387,3381,858,857,41,41
2026-08-01 00:45,10294,10289,100.0,2384,2384,3631,3631,3377,3375,862,859,40,40
2026-08-01 23:50,10224,10180,99.6,2352,2340,3602,3591,3368,3353,862,856,40,40
2026-08-04 00:44,10217,10135,99.2,2356,2341,3586,3542,3384,3366,850,846,41,40
2026-08-05 01:08,10207,10122,99.2,2367,2338,3590,3554,3362,3345,849,846,39,39
2026-08-06 00:58,9901,9857,99.6,2367,2348,3560,3545,3145,3136,791,790,38,38
2026-08-07 06:52,10047,10042,100.0,2358,2356,3532,3529,3273,3273,845,845,39,39
2026-08-07 23:03,10050,10043,99.9,2359,2357,3534,3531,3272,3270,845,845,40,40
2026-08-08 23:07,10048,10003,99.6,2360,2343,3530,3515,3273,3261,845,844,40,40
2026-08-09 22:27,9925,9848,99.2,2364,2335,3403,3379,3265,3252,853,842,40,40
